,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
27,24090,KOSPI,디씨엠,1차 철강 제조업,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매",1999-08-18,12월,정연택,http://www.dcmcorp.co.kr,경상남도,2022-08-16,11400434.0,76218368060.0,12492270385.0,10190882169.0,17641506537.0,17641506537.0,16.39,13.37,23.15,70999110927.0,8135711789.0,10806927082.0,15319760455.0,15319760455.0,11.46,15.22,21.58,6188.0,57917820549.0,5913434595.0,-1175437339.0,8986722235.0,8986722235.0,10.21,-2.03,15.52,44832539014.0,1991155543.0,-905138286.0,3569553795.0,34362677947.0,4.44,-2.02,7.96,3152.0,250829059873.0,34887867459.0,15806800753.0,50754929691.0,4452.0,22872.0,20661.0,21.21,17.69,27.05,21.55,6.18,7.0200000000000005,31.597438124449546,
28,4000,KOSPI,롯데정밀화학,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",1976-04-15,12월,김용석,http://www.lottefinechem.com,울산광역시,2022-08-16,25798337.0,652348003050.0,110346564628.0,223252834426.0,29573277578.0,0.0,16.92,34.22,4.53,522558212712.0,84939517536.0,165496095241.0,225937440724.0,0.0,16.25,31.67,43.24,4584.0,343935896409.0,35519397622.0,42039561193.0,40493898353.0,0.0,10.33,12.22,11.77,303740508982.0,28461178115.0,33158286916.0,66606868596.0,0.0,9.37,10.92,21.93,6276.0,1780293056795.0,244513587616.0,308521791730.0,585458461667.0,22693.0,92917.0,85223.0,3.8,21.5,4.93,26.63,6.590000000000002,6.880000000000001,89.6713922161367,
29,9580,KOSPI,무림P&P,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",1989-06-20,12월,이도균,http://www.moorimpnp.co.kr,울산광역시,2022-08-16,62366443.0,162205555518.0,10400102402.0,38533576509.0,4216107772.0,0.0,6.41,23.76,2.6,169207566056.0,10266563978.0,176527577.0,6933703515.0,0.0,6.07,0.1,4.1,268.0,137881812421.0,-8886804439.0,15114200001.0,-6632728402.0,0.0,-6.45,10.96,-4.81,132875648507.0,-5368705131.0,-18629214130.0,-9090870422.0,0.0,-4.04,-14.02,-6.84,-424.0,613699105829.0,29386707735.0,-15328185220.0,18590124909.0,298.0,10067.0,9924.0,1.11,1.25,2.66,3.0,12.86,10.11,17.641009114916006,
30,3650,KOSPI,미창석유,석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",1989-09-27,12월,유재순,http://www.michang.co.kr,부산광역시,2022-08-12,1739709.0,102503179947.0,11799101548.0,10357056597.0,7562479890.0,0.0,11.51,10.1,7.38,112926452869.0,11319011709.0,12994870032.0,9591525770.0,0.0,10.02,11.51,8.49,17384.0,90783857119.0,6314765102.0,-4869264154.0,6326881150.0,0.0,6.96,-5.36,6.97,76025846526.0,3644812310.0,10345787408.0,4313083901.0,0.0,4.79,13.61,5.67,14544.0,406292672739.0,35450218335.0,15235779430.0,33138620865.0,19048.0,180274.0,173581.0,8.15,9.53,9.64,10.97,4.55,5.2299999999999995,12.909038236432547,-94.3720582144217
31,1340,KOSPI,백광산업,기초 화학물질 제조업,"가성소다,합성염산 제조,판매",1976-06-10,12월,김성훈,http://www.pkic.co.kr,전라북도,2022-08-12,44151807.0,54362623785.0,8076419183.0,3730143016.0,7042402581.0,7042402581.0,14.86,6.86,12.95,51596804210.0,4739825181.0,14337944093.0,4726257829.0,4726257829.0,9.19,27.79,9.16,636.0,46396524104.0,4447914331.0,1784811105.0,3462045734.0,3462045734.0,9.59,3.85,7.46,42886409500.0,1916879941.0,11022544812.0,2846792976.0,7597200179.0,4.47,25.7,6.64,312.0,191117728512.0,17929801315.0,36597135742.0,14896324686.0,337.0,4499.0,4292.0,7.23,4.15,14.13,7.86,5.27,4.72,17.16960447973131,
32,207940,KOSPI,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업,바이오의약품,2016-11-10,12월,임존종보 (Rim John Chongbo),http://www.samsungbiologics.com,인천광역시,2022-08-16,73704285.0,511303826776.0,176416807153.0,212955175510.0,146942732022.0,0.0,34.5,41.65,28.74,444313685644.0,128842730424.0,114469129963.0,79317937814.0,0.0,29.0,25.76,17.85,7972.0,260797315576.0,74295866136.0,-72492268938.0,60975536258.0,0.0,28.49,-27.8,23.38,375306554056.0,92576031108.0,-142631708706.0,96221726169.0,0.0,24.67,-38.0,25.64,3308.0,1568006928039.0,537309408072.0,454596217269.0,393589467655.0,5340.0,59696.0,67717.0,7.02,4.94,13.35,7.89,6.010000000000002,4.329999999999998,96.05409881107418,
33,68290,KOSPI,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",2002-08-05,12월,김진용,http://www.samsungbooks.com,서울특별시,2022-08-16,10000211.0,51338029603.0,4276511281.0,9423986954.0,1473886223.0,0.0,8.33,18.36,2.87,56829981111.0,6092621730.0,16326104462.0,1692269727.0,0.0,10.72,28.73,2.98,588.0,42609406383.0,701250761.0,12712011031.0,510848036.0,0.0,1.65,29.83,1.2,41550284266.0,-1215494140.0,4157771590.0,50106018799.0,0.0,-2.93,10.01,120.59,204.0,187479540147.0,7997004015.0,44630629478.0,3159352601.0,315.0,26880.0,22339.0,1.52,0.93,2.19,1.41,6.68,13.65,20.485202590108095,
34,2420,KOSPI,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",1968-12-27,12월,조영준,http://daehancinema.com,서울특별시,2022-08-16,4275935.0,6705871227.0,-269878755.0,-785893266.0,-419224583.0,0.0,-4.02,-11.72,-6.25,7039028159.0,-443161892.0,251704329.0,-557224844.0,0.0,-6.3,3.58,-7.92,-392.0,343009096.0,-335202639.0,-351376459.0,-412143232.0,0.0,-97.72,-102.44,-120.16,443542434.0,-378992605.0,-320583573.0,-426369296.0,0.0,-85.45,-72.28,-96.13,-384.0,17880222962.0,-1552340389.0,-1855023272.0,-1944921160.0,-454.0,4569.0,4347.0,-3.58,-4.19,-8.58,-10.46,93.7,79.15,1855.012652783995,
35,306200,KOSPI,세아제강,1차 철강 제조업,강관,2018-10-05,12월,"이휘령, 김석일",http://www.seahsteel.co.kr,서울특별시,2022-08-16,2836115.0,448817049225.0,59920752661.0,15326440678.0,45949532991.0,0.0,13.35,3.41,10.24,452244233590.0,43777313493.0,5941942542.0,24121694272.0,0.0,9.68,1.31,5.33,64804.0,321772601038.0,15750094843.0,16365333356.0,13199912005.0,0.0,4.89,5.09,4.1,301572487024.0,2155496504.0,-5000056547.0,-4666195728.0,0.0,0.71,-1.66,-1.55,18616.0,1497360775818.0,131945673869.0,22030620316.0,91395255230.0,32225.0,260717.0,239621.0,14.48,7.44,24.86,13.45,8.46,8.969999999999999,39.48268055675647,
36,3030,KOSPI,세아제강지주,기타 금융업,경영컨설팅업,1969-05-13,12월,"이주성, 김태현",http://www.seahsteel.co.kr/company/holdings/,서울특별시,2022-08-16,4141521000.0,916089648698.0,110970128965.0,4816662416.0,70888327178.0,0.0,12.11,0.53,7.74,820153117204.0,67998109952.0,-65765711783.0,35402466800.0,0.0,8.29,-8.02,4.32,68.0,584720291255.0,36939184443.0,12996941575.0,44729538626.0,0.0,6.32,2.22,7.65,573119686518.0,3811362223.0,38908082948.0,-35488433067.0,0.0,0.67,6.79,-6.19,40.0,2841722127579.0,298952263629.0,-165692653993.0,220656030829.0,53.0,411.0,383.0,8.93,7.61,16.51,13.91,5.789999999999999,7.619999999999999,56.67143117810629,
37,4430,KOSPI,송원산업,기타 화학제품 제조업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",1977-06-25,12월,김충식 대표이사,http://www.songwon.com,울산광역시,2022-08-12,24000258.0,338433000000.0,57195000000.0,-22882000000.0,43427000000.0,0.0,16.9,-6.76,12.83,283475000000.0,36584000000.0,2602000000.0,26100000000.0,0.0,12.91,0.92,9.21,7236.0,222487000000.0,17343000000.0,-11103000000.0,10001000000.0,0.0,7.8,-4.99,4.5,203843000000.0,17955000000.0,15970000000.0,2791000000.0,0.0,8.81,7.83,1.37,1664.0,998190000000.0,105714000000.0,-18297000000.0,72273000000.0,3011.0,25693.0,22635.0,13.75,6.48,28.16,13.3,9.099999999999998,4.1,52.11360663769119,
38,4920,KOSPI,씨아이테크,그외 기타 제품 제조업,"컴퓨터 소프트웨어,하드웨어 서버,도매",1989-11-30,12월,김대영,http://www.citech.kr,서울특별시,2022-08-16,40809663.0,12421473585.0,1241035042.0,3852774806.0,3701765807.0,0.0,9.99,31.02,29.8,17972421539.0,2179875446.0,2394705138.0,4773675614.0,990882676.0,12.13,13.32,26.56,360.0,9058945790.0,-2863277673.0,905411563.0,-4587632350.0,0.0,-31.61,9.99,-50.64,13386670748.0,-675808780.0,1640213311.0,-3289994394.0,-7612846163.0,-5.05,12.25,-24.58,-448.0,47230072502.0,871731347.0,-3648266232.0,-6310819169.0,-154.0,1425.0,1171.0,14.92,-7.93,25.26,-13.2,41.6,17.18,37.11831236159765,
39,20560,KOSPI,아시아나항공,항공 여객 운송업,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",2008-03-28,12월,정성권,http://www.flyasiana.com,서울특별시,2022-08-12,74421036.0,1246250096086.0,143524227260.0,428878751970.0,-11117158239.0,-46551582964.0,11.52,34.41,-0.89,1444454848053.0,118250407897.0,489010003141.0,237241043423.0,157049982473.0,8.19,33.85,16.42,-596.0,847160379434.0,-88608585312.0,176194381878.0,-319388249709.0,-345030903231.0,-10.46,20.8,-37.7,921472664680.0,-32290702555.0,-211080693890.0,166954705614.0,14651452255.0,-3.5,-22.91,18.12,-17164.0,4339706411421.0,93203600406.0,1008216924639.0,-362476384455.0,-4870.0,8491.0,7002.0,-0.34,-2.77,-7.02,-69.56,21.98,11.69,47.109110192173716,
40,10780,KOSPI,아이에스동서,"내화, 비내화 요업제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",1986-01-27,12월,"허석헌, 정원호, 김갑진(각자 대표이사)",http://www.isdongseo.co.kr,서울특별시,2022-08-16,30894384.0,589898548325.0,111697236169.0,142472347491.0,79166864100.0,0.0,18.93,24.15,13.42,645383360400.0,166501555439.0,119154068786.0,64050120062.0,0.0,25.8,18.46,9.92,10248.0,310227453764.0,40300810573.0,-55706521707.0,11937952126.0,0.0,12.99,-17.96,3.85,338254292082.0,52438901559.0,3582629121.0,13032116945.0,0.0,15.5,1.06,3.85,1544.0,1608440924896.0,310765130275.0,224248467500.0,104971578755.0,3397.0,49953.0,47156.0,9.1,2.99,20.52,7.21,5.9399999999999995,10.3,90.15033684728458,1026.6499343197443
41,70960,KOSPI,용평리조트,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",2016-05-27,12월,"신달순, 임학운 공동대표",http://www.yongpyong.co.kr,강원도,2022-08-16,48129444.0,34197869646.0,1885589260.0,-4317045569.0,-755005932.0,0.0,5.51,-12.62,-2.21,29482913779.0,7173109652.0,-12586514885.0,-3763486799.0,0.0,24.33,-42.69,-12.76,-60.0,27869494401.0,-2151326254.0,2076253091.0,-2562589243.0,0.0,-7.72,7.45,-9.19,26668014335.0,-3421411289.0,-7422162355.0,-7943219522.0,0.0,-12.83,-27.83,-29.79,-212.0,236330114660.0,30731092865.0,-11543045467.0,8673406976.0,180.0,7949.0,8025.0,-0.37,1.03,-0.75,2.25,13.23,37.16,22.70717636259999,
42,700,KOSPI,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,지주사업,1956-03-03,12월,송영규,http://www.eusu-holdings.com,서울특별시,2022-08-16,26041210.0,22224973309.0,8167237636.0,7392117407.0,8134748785.0,0.0,36.75,33.26,36.6,24203516608.0,8953773444.0,25429444585.0,7951793540.0,0.0,36.99,105.07,32.85,1248.0,16628491072.0,2125833695.0,-28127009495.0,4539588796.0,0.0,12.78,-169.15,27.3,10912171282.0,-12181814931.0,2056723660.0,73418863952.0,0.0,-111.64,18.85,672.82,696.0,81047873322.0,20347476590.0,-10889446999.0,24026921535.0,922.0,16255.0,15669.0,6.18,4.79,7.68,5.89,23.97,148.63,33.65598365340362,
43,7660,KOSPI,이수페타시스,전자부품 제조업,"P.C.B(인쇄회로기판),M.L.B 제조",2003-10-07,12월,서영준,http://www.petasys.com,대구광역시,2022-08-16,63248030.0,140471680986.0,18866104822.0,8796332880.0,14152224135.0,13903906504.0,13.43,6.26,10.07,123938240114.0,16495208735.0,-2612652979.0,425159190.0,10126194248.0,13.31,-2.11,0.34,892.0,98770992999.0,1904605064.0,6975211176.0,-2313453817.0,2546856383.0,1.93,7.06,-2.34,97719630807.0,2484671715.0,566538791.0,-9890409334.0,30387649072.0,2.54,0.58,-10.12,-144.0,469621094131.0,46875580199.0,3972190584.0,-3603718792.0,-56.0,3249.0,1984.0,11.55,-0.8,27.45,-2.87,11.5,10.77,42.21956945134914,
44,3120,KOSPI,일성신약,의약품 제조업,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매",1985-01-14,12월,"윤석근, 윤종욱",http://www.ilsung-ph.co.kr,서울특별시,2022-08-16,2660006.0,15067047231.0,333502139.0,-23234616.0,530579390.0,0.0,2.21,-0.15,3.52,12571395168.0,-84998414.0,-634088979.0,3372736481.0,0.0,-0.68,-5.04,26.83,796.0,8789169665.0,-523644009.0,2573547874.0,-5645514643.0,0.0,-5.96,29.28,-64.23,10216859411.0,-1108131531.0,-2635290655.0,1993341103.0,0.0,-10.85,-25.79,19.51,-8488.0,42089835817.0,-1797410519.0,5704073471.0,-1367510424.0,-514.0,129836.0,130040.0,0.57,-0.37,0.61,-0.4,8.17,10.17,71.42742494776951,
45,1550,KOSPI,조비,"비료, 농약 및 살균, 살충제 제조업","복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역",1976-12-28,12월,이승연,http://www.chobi.co.kr,서울특별시,2022-08-16,5192317.0,43685817343.0,9568259374.0,-25064093152.0,8239538843.0,0.0,21.9,-57.37,18.86,18304148960.0,770097670.0,-5942655737.0,606852836.0,0.0,4.21,-32.47,3.32,6344.0,19799064371.0,1486964068.0,-12140422957.0,1440691068.0,0.0,7.51,-61.32,7.28,7963157130.0,-424772026.0,3900590418.0,-225021153.0,0.0,-5.33,48.98,-2.83,1108.0,84597515362.0,3077405830.0,-7973100192.0,1851220426.0,356.0,12028.0,10257.0,21.95,1.78,52.74,3.48,14.389999999999999,9.54,120.64586752385785,
46,18470,KOSPI,조일알미늄,1차 비철금속 제조업,"알루미늄판 제조,도매",1988-11-22,12월,"이영호,성원모",http://www.choilal.co.kr,경상북도,2022-08-16,125848716.0,165996555138.0,20788313368.0,-18694878454.0,19050156792.0,0.0,12.52,-11.26,11.48,143122873248.0,8602267124.0,-25280431785.0,8556670430.0,0.0,6.01,-17.66,5.98,604.0,96997441966.0,3101993129.0,-8567502856.0,2513219411.0,0.0,3.2,-8.83,2.59,90854922030.0,207619232.0,528609614.0,-429271388.0,0.0,0.23,0.58,-0.47,76.0,466932503112.0,18279237886.0,-28053513184.0,15675523934.0,124.0,1788.0,1325.0,18.09,4.51,33.77,9.39,9.32,5.779999999999999,71.13498229797224,
47,88790,KOSPI,진도,기타 전문 도매업,"모피제품 제조,가공",2006-03-28,12월,임병남,http://www.jindofand.co.kr,서울특별시,2022-08-16,12447056.0,17860841731.0,2852565998.0,15524483279.0,2107236069.0,0.0,15.97,86.92,11.8,27148227474.0,3951559894.0,4404184621.0,3539189279.0,0.0,14.56,16.22,13.04,676.0,14642736158.0,963364415.0,10706336765.0,1038630662.0,0.0,6.58,73.12,7.09,22454810616.0,522444592.0,5608187908.0,-594512502.0,0.0,2.33,24.98,-2.65,332.0,58961462990.0,3775884191.0,10690116847.0,3568236830.0,286.0,8495.0,8087.0,6.14,2.62,7.96,3.54,9.39,12.23,21.977487938562636,
