,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
10,10,56730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,박종승,http://www.cnt85.com,경기도,2022-08-16,35354428.0,4546925772.0,-1391242699.0,5288551406.0,2623246646.0,0.0,-30.6,116.31,57.69,4121662654.0,-739808117.0,5048088471.0,-1131950261.0,-1131950261.0,-17.95,122.48,-27.46,296.0,1880358984.0,-651831383.0,-1263555495.0,-1300369897.0,0.0,-34.67,-67.2,-69.16,6999382566.0,-39014419.0,-2543128259.0,-205688073.0,-205688073.0,-0.56,-36.33,-2.94,-144.0,38625451420.0,-214726600.0,-4140390422.0,-5014115163.0,-141.0,1116.0,515.0,9.09,-7.84,26.51,-27.5
11,11,56000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,이승훈,http://www.nesm.co.kr,서울특별시,2022-08-16,19728844.0,483551813.0,-972997692.0,-587399875.0,-890105357.0,0.0,-201.22,-121.48,-184.08,710941298.0,-1702282894.0,-416138909.0,-1390374185.0,0.0,-239.44,-58.53,-195.57,-180.0,1523751227.0,-1848006706.0,-23141324405.0,-1702400409.0,0.0,-121.28,-1518.71,-111.72,2490630623.0,-1202670449.0,-22410675057.0,-1301770068.0,0.0,-48.29,-899.8,-52.27,-344.0,6800959182.0,-6203980662.0,-23908137172.0,-5510707219.0,-279.0,2123.0,1158.0,-6.23,-18.02,-8.48,-24.11
12,12,65770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도,2022-08-16,19409362.0,6986841261.0,-998168472.0,-4763508372.0,-4736906.0,0.0,-14.29,-68.18,-0.07,940648747.0,-1789821694.0,-3344548679.0,-1774248672.0,0.0,-190.28,-355.56,-188.62,0.0,10446791901.0,-287848146.0,-81771075.0,-216224956.0,0.0,-2.76,-0.78,-2.07,6790383916.0,-151645541.0,-705735430.0,-208120758.0,0.0,-2.23,-10.39,-3.06,-44.0,41091897059.0,228076588.0,3507027340.0,-2383876876.0,-122.0,2020.0,1099.0,0.0,-6.92,0.0,-11.17
13,13,83660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시,2022-08-16,39448979.0,16145392363.0,-1462794505.0,-4674150279.0,-2473953464.0,0.0,-9.06,-28.95,-15.32,14634978714.0,-761991495.0,-1552476496.0,-851381117.0,0.0,-5.21,-10.61,-5.82,-248.0,11359486952.0,-53721256.0,-1936221969.0,-110859346.0,0.0,-0.47,-17.04,-0.98,11234543254.0,-2323572727.0,-665176841.0,-2378994298.0,0.0,-20.68,-5.92,-21.18,-8.0,60297016695.0,1999698281.0,6642355693.0,-393070577.0,-9.0,661.0,361.0,-11.95,-0.85,-37.51,-2.76
14,14,68790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도,2022-08-12,24570396.0,77271645931.0,13786218963.0,13511698150.0,9770184035.0,0.0,17.84,17.49,12.64,57729050858.0,9644754893.0,5881645816.0,9519417064.0,0.0,16.71,10.19,16.49,1588.0,61775591566.0,8361346429.0,9437597905.0,10255245017.0,0.0,13.54,15.28,16.6,38771874787.0,3897301965.0,4840789151.0,7470426265.0,0.0,10.05,12.49,19.27,1668.0,225393632210.0,32010203266.0,24810140816.0,33093321332.0,1346.0,24482.0,11590.0,4.51,7.87,6.49,11.62
15,15,245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"각자대표이사 신상철, 조성민",http://www.edgc.com,인천광역시,2022-08-16,84074630.0,24184546891.0,-2183505798.0,-11914946818.0,-4171060534.0,0.0,-9.03,-49.27,-17.25,22269123341.0,-3565896257.0,-12041897141.0,-5573125468.0,0.0,-16.01,-54.07,-25.03,-196.0,19485807086.0,-4345303693.0,-3346961788.0,3108472709.0,0.0,-22.3,-17.18,15.95,20709660940.0,-2785692763.0,4039827502.0,-3444142432.0,0.0,-13.45,19.51,-16.63,144.0,89282114475.0,-15602204704.0,-1730430987.0,-20666748769.0,-245.0,1368.0,701.0,-4.26,-11.06,-14.32,-35.03
16,16,37370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도,2022-08-12,8623866.0,17345416971.0,135830292.0,-3127598261.0,1145244818.0,0.0,0.78,-18.03,6.6,15669584477.0,-1044791420.0,-3994767848.0,-951524671.0,0.0,-6.67,-25.49,-6.07,528.0,29410313207.0,2972002760.0,-14914721457.0,1972941706.0,0.0,10.11,-50.71,6.71,17858063886.0,97704433.0,-13697700350.0,-16730846.0,0.0,0.55,-76.7,-0.09,912.0,95693333644.0,7577496321.0,-211958049.0,4785199273.0,554.0,13689.0,6801.0,1.54,3.29,3.86,8.16
17,17,79190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,"이승준, LLOYD YEONSU LEE (각자 대표이사)",http://emw.co.kr,인천광역시,2022-08-12,31787696.0,13335662101.0,-261335650.0,-1293303519.0,2839613182.0,2814490199.0,-1.96,-9.7,21.29,12997090758.0,-922555508.0,-1824192733.0,-1735990584.0,-1738627308.0,-7.1,-14.04,-13.36,356.0,8546975703.0,-186017304.0,297740236.0,463877911.0,434154931.0,-2.18,3.48,5.43,8876226813.0,-844529829.0,525995867.0,1060281802.0,632314319.0,-9.51,5.93,11.95,56.0,38949658749.0,-4040784840.0,-3349169375.0,-2916178515.0,-91.0,1451.0,762.0,9.33,-4.93,24.52,-12.03
18,18,50120,KOSDAQ,ES큐브,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,신희민,http://www.escube.co.kr,서울특별시,2022-08-12,13565529.0,22349581068.0,5266977802.0,-65043502525.0,7520786048.0,0.0,23.57,-291.03,33.65,21404769531.0,-722861788.0,-69570697761.0,2349096970.0,0.0,-3.38,-325.02,10.97,2216.0,31610408815.0,1734408106.0,5058846654.0,976238027.0,0.0,5.49,16.0,3.09,28184332021.0,7544064198.0,208282005365.0,7714703069.0,0.0,26.77,739.0,27.37,284.0,125787292841.0,283187246.0,69284860728.0,8969522598.0,661.0,15099.0,8540.0,13.21,0.83,14.68,7.74
19,19,214270,KOSDAQ,FSN,소프트웨어 개발 및 공급업,카울리,2015-03-25,12월,"이상석, 서정교 (각자 대표이사)",http://fsn.co.kr,서울특별시,2022-08-12,27925492.0,51516230761.0,714204802.0,2806967136.0,-2654702158.0,0.0,1.39,5.45,-5.15,45533727295.0,-433288819.0,-2835586293.0,751821195.0,0.0,-0.95,-6.23,1.65,-380.0,54717964755.0,3877959537.0,-962911567.0,2123542221.0,0.0,7.09,-1.76,3.88,46242261876.0,2263099213.0,-2089096751.0,-2417173298.0,0.0,4.89,-4.52,-5.23,304.0,211830639031.0,10174967331.0,8878859400.0,87568597.0,3.0,10088.0,4908.0,-2.15,0.04,-3.77,0.06
