,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2018_12,Quarter_Operating_Profit2018_12,Quarter_Cashflow2018_12,Quarter_Earn2018_12,Quarter_Continue_Earn2018_12,Quarter_Percent_Operating_Profit2018_12,Quarter_Percent_Cashflow2018_12,Quarter_Percent_Earn2018_12,Quarter_Revenue2018_9,Quarter_Operating_Profit2018_9,Quarter_Cashflow2018_9,Quarter_Earn2018_9,Quarter_Continue_Earn2018_9,Quarter_Percent_Operating_Profit2018_9,Quarter_Percent_Cashflow2018_9,Quarter_Percent_Earn2018_9,Quarter_Full_EPS,Last_Revenue2017_12,Last_Operating_Profit2017_12,Last_Cashflow2017_12,Last_Earn2017_12,Last_Continue_Earn2017_12,Last_Percent_Operating_Profit2017_12,Last_Percent_Cashflow2017_12,Last_Percent_Earn2017_12,Last_Revenue2017_9,Last_Operating_Profit2017_9,Last_Cashflow2017_9,Last_Earn2017_9,Last_Continue_Earn2017_9,Last_Percent_Operating_Profit2017_9,Last_Percent_Cashflow2017_9,Last_Percent_Earn2017_9,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
3,3,134790,KOSPI,시디즈,가구 제조업,의자,2011-01-25,12월,대표이사 이상배,http://www.sidiz.com,경기도,2019-04-01,48702368980.0,1547028642.0,1756042443.0,1300134958.0,0.0,3.18,3.61,2.67,40878225683.0,970299977.0,5034865347.0,803128071.0,0.0,2.37,12.32,1.96,2600.0,2326642121.0,-55236535.0,-851775215.0,-36387678.0,0.0,-2.37,-36.61,-1.56,2358219965.0,-45893898.0,54307791.0,117718912.0,0.0,-1.95,2.3,4.99,-72.0,12520488308.0,-237673335.0,-797467424.0,308326900.0,154.0,12566.0,10885.0,7.22,1.32,20.69,1.42,5.550000000000001,4.32,1993.247110950933,
93,93,1800,KOSPI,오리온홀딩스,기타 금융업,자회사 관리 지주사업 등,1975-06-27,12월,허인철,http://www.oriongroup.co.kr,서울특별시,2019-04-01,533766427538.0,62359160950.0,66566401728.0,-44839954948.0,17122687335.0,11.68,12.47,-8.4,494790747478.0,52508028806.0,283948835029.0,12544371984.0,12544371984.0,10.61,57.39,2.54,-2860.0,30193183733.0,1654361145.0,14415499656.0,-54824692656.0,107392414961.0,5.48,47.74,-181.58,57615231396.0,11022972193.0,-23199525024.0,13690749931.0,18176666457.0,19.13,-40.27,23.76,-3500.0,112748277933.0,4900910146.0,-8784025368.0,1480312927908.0,23627.0,50701.0,49765.0,-4.13,34.4,-5.64,47.48,6.199999999999999,-8.52,1667.8375101417796,2755.6559160697225
15,15,5720,KOSPI,넥센,고무제품 제조업,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입",1987-12-19,12월,"강병중, 강호찬, 배중열",http://www.nexencorp.co.kr,경상남도,2019-03-29,555163413506.0,56223042394.0,14556159407.0,975134695.0,0.0,10.13,2.62,0.18,587667390739.0,55138849908.0,121049546126.0,30951717880.0,0.0,9.38,20.6,5.27,72.0,89615875015.0,14052475062.0,1125920925.0,17251590639.0,0.0,15.68,1.26,19.25,73950934963.0,20913226616.0,-15199553984.0,31763706486.0,0.0,28.28,-20.55,42.95,1288.0,314030027354.0,73407302896.0,-14073633059.0,81842411147.0,1528.0,35163.0,17127.0,0.1,7.54,0.2,8.92,-5.549999999999999,-18.9,519.4922645268778,
14,14,9160,KOSPI,SIMPAC,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,최진식,http://www.simpac.co.kr,인천광역시,2019-04-01,116952984282.0,3760436749.0,-7355083837.0,12032917082.0,0.0,3.22,-6.29,10.29,96704596308.0,4207862220.0,44715325718.0,54481904709.0,0.0,4.35,46.24,56.34,732.0,44355975435.0,854739386.0,-10387202312.0,7732090355.0,0.0,1.93,-23.42,17.43,57317701401.0,2360806855.0,843653095.0,2862951338.0,0.0,4.12,1.47,4.99,472.0,230634812062.0,11697915242.0,-9543549217.0,12895698937.0,197.0,6649.0,3680.0,7.03,3.38,11.01,5.35,1.2900000000000005,0.2299999999999995,163.66906180066965,
0,0,37270,KOSPI,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,http://www.ygplus.com,서울특별시,2019-03-29,31172291842.0,1171318643.0,8584339875.0,2775842310.0,3037950672.0,3.76,27.54,8.9,27677257883.0,914303254.0,553578226.0,-650036349.0,-650036349.0,3.3,2.0,-2.35,172.0,19093452382.0,-2343802127.0,-4039884950.0,-5847416126.0,2948365985.0,-12.28,-21.16,-30.63,17326693482.0,-1219376977.0,-1063302799.0,-1112430245.0,-1232437273.0,-7.04,-6.14,-6.42,-368.0,72462525143.0,-6011798387.0,-5103187749.0,-8154974317.0,-128.0,1821.0,1799.0,7.43,-6.0,9.44,-7.15,16.04,10.34,63.26168373503318,
57,57,77970,KOSPI,STX엔진,일반 목적용 기계 제조업,"엔진,터빈,내연기관 제조,도매",2004-05-10,12월,박기문,http://www.stxengine.co.kr,경상남도,2019-03-29,275822000000.0,24867000000.0,17758000000.0,29117000000.0,0.0,9.02,6.44,10.56,121359000000.0,1660000000.0,-76938000000.0,-1712000000.0,0.0,1.37,-63.4,-1.41,5060.0,169238000000.0,932000000.0,30876000000.0,-6604000000.0,0.0,0.55,18.24,-3.9,104807000000.0,-793000000.0,35568000000.0,-2107000000.0,0.0,-0.76,33.94,-2.01,-1148.0,470149000000.0,10714000000.0,66444000000.0,-6016000000.0,-261.0,9614.0,4347.0,13.47,-0.74,52.63,-6.01,8.469999999999999,2.13,62.97876363464469,
54,54,181710,KOSPI,NHN,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도,2019-04-01,368308645326.0,16566837637.0,37693493392.0,-25599046758.0,0.0,4.5,10.23,-6.95,338881488926.0,21797012541.0,369070506.0,26064480225.0,0.0,6.43,0.11,7.69,-5232.0,237750609677.0,10068056290.0,-3075443739.0,-8156703249.0,0.0,4.23,-1.29,-3.43,219737830867.0,5523312454.0,-40399077639.0,2683418645.0,0.0,2.51,-18.39,1.22,-1664.0,909115708183.0,34732711952.0,-43474521378.0,16601028540.0,848.0,93029.0,84741.0,-4.1,0.78,-5.62,1.0,0.2699999999999996,3.92,54.913859453976485,
2,2,1820,KOSPI,삼화콘덴서,전자부품 제조업,콘덴서(축전기) 제조,1976-06-26,12월,"오영주, 박진",http://www.samwha.com,경기도,2019-03-29,79665916403.0,20807072404.0,23515336428.0,14791557086.0,0.0,26.12,29.52,18.57,74006156704.0,26002683817.0,37393057538.0,20088434463.0,0.0,35.14,50.53,27.14,5688.0,52662757972.0,5239496727.0,3155648132.0,3367927887.0,0.0,9.95,5.99,6.4,52430235792.0,7916348145.0,17554661584.0,5621450614.0,0.0,15.1,33.48,10.72,1292.0,199316582434.0,22049380992.0,20710309716.0,15519396634.0,1492.0,12252.0,6638.0,26.87,11.27,46.42,22.49,16.17,20.04,51.27562526322145,
25,25,44820,KOSPI,코스맥스비티아이,기타 금융업,"화장품,의약부외품 제조,도매",2006-11-13,12월,"이완경, 이윤종",http://www.cosmax.com,경기도,2019-04-01,121977937833.0,6455253471.0,5045406598.0,934265853.0,0.0,5.29,4.14,0.77,113659341192.0,6209532355.0,-6403798936.0,993915680.0,0.0,5.46,-5.63,0.87,388.0,82042980616.0,3005943435.0,5303932952.0,1128715044.0,0.0,3.66,6.46,1.38,77362284739.0,3227421334.0,5586534742.0,267732200.0,0.0,4.17,7.22,0.35,468.0,298287327227.0,10135190610.0,10890467694.0,3844182712.0,400.0,37473.0,35789.0,0.42,0.52,1.04,1.12,1.63,1.29,48.675653806282966,
24,24,192820,KOSPI,코스맥스,기타 화학제품 제조업,화장품,2014-04-07,12월,"이병만, 심상배",http://www.cosmax.com,경기도,2019-04-01,328839882095.0,10106297656.0,-25772885935.0,11099075881.0,0.0,3.07,-7.84,3.38,314642929648.0,13246666451.0,-28819146717.0,4214603872.0,0.0,4.21,-9.16,1.34,3908.0,224012090961.0,6382151594.0,-1957397341.0,1621060316.0,0.0,2.85,-0.87,0.72,208528655189.0,5024391762.0,-4659159495.0,3275156872.0,0.0,2.41,-2.23,1.57,568.0,883950013573.0,35140124481.0,-6616556836.0,18855174648.0,1660.0,21301.0,20116.0,4.18,2.02,18.35,8.26,0.2199999999999997,1.7999999999999998,46.79559513251911,
