,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
417,126340,KOSDAQ,비나텍,일차전지 및 축전지 제조업,초고용량 커패시터(슈퍼커패시터),2020-09-23,12월,성도경,http://www.vina.co.kr,전라북도,2022-08-12,6164893,21184937157,4772882082,4487741914,5784892276,0,22.53,21.18,27.31,16237685474,1899336076,3350200316,2604580145,0,11.7,20.63,16.04,3752,11679233260,723324397,3120925074,371707662,0,6.19,26.72,3.18,11613280958,1543523984,1229703516,2550866533,0,13.29,10.59,21.97,240,48958076351,5625405971,4325311201,7495331220,1215,17518,8149,9.46,7.61,21.42,14.92
418,121800,KOSDAQ,비덴트,통신 및 방송 장비 제조업,방송용 LCD모니터,2011-12-01,12월,김영만,http://www.vidente.co.kr,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,148140,KOSDAQ,비디아이,일반 목적용 기계 제조업,"탈황설비, 전기집진기, 회처리 및 회정제설비",2017-11-09,12월,안승만,http://www.bdindustry.co.kr/,경기도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,82800,KOSDAQ,비보존 헬스케어,반도체 제조업,백색발광다이오드(LED),2005-11-18,12월,"한재관,오동훈(각자대표)",http://www.lumimicro.com,경기도,2022-08-16,234038838,11321464430,-5162420317,-3029460896,-7580070081,0,-45.6,-26.76,-66.95,20835572935,-3339005924,-561447124,-8582153807,0,-16.03,-2.69,-41.19,-128,13200743873,-4436829690,-8383796555,-1155706550,0,-33.61,-63.51,-8.75,14194952858,-1732931265,-4485263456,-6225165516,0,-12.21,-31.6,-43.85,-16,57729536054,-17931574321,-17496244924,-69456962184,-296,881,369,-7.03,-35.72,-14.52,-80.26
421,318410,KOSDAQ,비비씨,그외 기타 제품 제조업,덴탈 케어용 소재(테이퍼모 등),2020-09-21,12월,강기태,http://bestbristle.com,대전광역시,2022-08-12,5555248,12095214754,1571930036,1239460254,1335005204,0,13.0,10.25,11.04,10594502933,-209267357,825527338,111980246,0,-1.98,7.79,1.06,960,8486667901,1082588788,-7267711863,828831675,0,12.76,-85.64,9.77,9569312347,1882120061,-6788241208,2013385665,0,19.67,-70.94,21.04,596,36791403623,3117057602,-8321173443,3764246330,677,25961,12883,3.0,4.19,3.7,5.26
422,146320,KOSDAQ,비씨엔씨,반도체 제조업,반도체용 합성쿼츠 포커스링,2022-03-03,12월,김돈한,http://www.bcnc.co.kr,경기도,2022-08-16,12368300,20740705378,3365381648,0,2895808016,0,16.23,0.0,13.96,18412721193,1446513044,0,1244829583,0,7.86,0.0,6.76,936,15151123195,2056455011,0,1834662169,0,13.57,0.0,12.11,14591882445,2522243011,0,1948981782,0,17.29,0.0,13.36,592,64278026361,9232485665,0,7340163822,593,10549,2414,5.6,10.53,8.87,24.58
423,200780,KOSDAQ,비씨월드제약,의약품 제조업,"마취통증약, 순환계약, 항생제, 기타처방약",2014-12-15,12월,홍성한,http://www.bcwp.co.kr,경기도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,141000,KOSDAQ,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비,2012-05-04,12월,김 형 준,http://www.viatrontech.com,경기도,2022-08-12,12117542,19774991740,2806121857,3499275609,6643795608,0,14.19,17.7,33.6,4106654318,12882894,-4726468212,1175898161,0,0.31,-115.09,28.63,2192,33699273337,5589330872,21023762631,4601306276,0,16.59,62.39,13.65,8557722867,626271132,11204661840,1774652230,0,7.32,130.93,20.74,1516,79868088602,11459871290,20073107027,13912003796,1148,26755,13095,6.76,7.33,8.19,8.77
425,90460,KOSDAQ,비에이치,전자부품 제조업,연성인쇄회로기판(FPCB),2007-01-26,12월,이경환,http://www.bhe.co.kr,인천광역시,2022-08-16,34471736,339065954561,24052463879,100703506144,33043214899,0,7.09,29.7,9.75,366235811066,22387093945,33659714721,29356802256,0,6.11,9.19,8.02,3832,162373028509,-1010779514,-6448009626,4619105656,0,-0.62,-3.97,2.84,138799235819,-15045837163,-8773296188,-9317189772,0,-10.84,-6.32,-6.71,532,1036962656916,71085420062,33141443920,81735535426,2371,26536,11835,7.94,10.3,14.44,20.03
426,83650,KOSDAQ,비에이치아이,일반 목적용 기계 제조업,"보일러,열교환기등",2005-12-02,12월,"우종인, 조원래 (각자 대표이사)",http://www.bhi.co.kr,경상남도,2022-08-16,25993581,70455194914,-509827421,1533382231,-10719998641,-10720353225,-0.72,2.18,-15.22,85855207544,738188179,-25488418667,-1922159060,-1921611502,0.86,-29.69,-2.24,-1648,61704989737,-4242996874,-17295915080,-4721143721,-4720877459,-6.88,-28.03,-7.65,56828441277,-5344269932,-11926375078,-4349408979,-4359925889,-9.4,-20.99,-7.65,-724,234883716342,-30610880045,-17568809782,-34575469862,-1330,4694,2477,-4.9,-8.86,-35.11,-53.69
