,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
10,10,56730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,박종승,http://www.cnt85.com,경기도,2022-05-16,4121662654.0,-739808117.0,5048088471.0,-1131950261.0,-1131950261.0,-17.95,122.48,-27.46,20424176014.0,790918460.0,-8525909672.0,187268073.0,188326575.0,3.87,-41.74,0.92,-128.0,6999382566.0,-39014419.0,-2543128259.0,-205688073.0,-205688073.0,-0.56,-36.33,-2.94,822073043.0,-2530971284.0,-2438734177.0,656378486.0,5108151668.0,-307.88,-296.66,79.84,-20.0,38634051420.0,-230558533.0,-4090390422.0,-2404846001.0,-68.0,568.0,589.0,-9.79,-3.64,-22.51,-11.53
11,11,56000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,이승훈,http://www.nesm.co.kr,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,65770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도,2022-05-13,940648747.0,-1789821694.0,-3344548679.0,-1774248672.0,0.0,-190.28,-355.56,-188.62,14327182214.0,144122718.0,5129687757.0,-1741961952.0,0.0,1.01,35.8,-12.16,-364.0,6790383916.0,-151645541.0,-705735430.0,-208120758.0,0.0,-2.23,-10.39,-3.06,13602323925.0,456068895.0,-126405637.0,33057131.0,0.0,3.35,-0.93,0.24,-40.0,41091897059.0,228076588.0,3507027340.0,-2383876876.0,-122.0,882.0,1099.0,-24.44,-6.92,-41.26,-11.17
13,13,83660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시,2022-05-16,14634978714.0,-761991495.0,-1552476496.0,-851381117.0,0.0,-5.21,-10.61,-5.82,26657824482.0,5218468336.0,8827478678.0,4263677594.0,0.0,19.58,33.11,15.99,-84.0,11234543254.0,-2323572727.0,-665176841.0,-2378994298.0,0.0,-20.68,-5.92,-21.18,11639506136.0,-1587136145.0,-481268587.0,-14296375643.0,0.0,-13.64,-4.13,-122.83,-240.0,60297016695.0,1999698281.0,6642355693.0,-393070577.0,-9.0,520.0,361.0,-6.01,-0.85,-16.14,-2.76
14,14,68790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도,2022-05-16,57729050858.0,9644754893.0,5881645816.0,9519417064.0,0.0,16.71,10.19,16.49,65486440983.0,11772475585.0,8562149360.0,4049609851.0,0.0,17.98,13.07,6.18,1548.0,38771874787.0,3897301965.0,4840789151.0,7470426265.0,0.0,10.05,12.49,19.27,54997502776.0,8789684372.0,23881609657.0,23683913743.0,0.0,15.98,43.42,43.06,1216.0,225393632210.0,32010203266.0,24810140816.0,33093321332.0,1346.0,12298.0,11590.0,8.72,7.87,12.59,11.62
15,15,245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"각자대표이사 신상철, 조성민",http://www.edgc.com,인천광역시,2022-05-16,22269123341.0,-3565896257.0,-12041897141.0,-5573125468.0,0.0,-16.01,-54.07,-25.03,24792072912.0,-4208996284.0,66897517.0,-21113405039.0,0.0,-16.98,0.27,-85.16,-264.0,20709660940.0,-2785692763.0,4039827502.0,-3444142432.0,0.0,-13.45,19.51,-16.63,26863843899.0,-1093787782.0,700070459.0,-9685147163.0,0.0,-4.07,2.61,-36.05,-160.0,89282114475.0,-15602204704.0,-1730430987.0,-20666748769.0,-245.0,601.0,702.0,-12.85,-11.06,-43.92,-35.03
16,16,37370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도,2022-05-16,15669584477.0,-1044791420.0,-3994767848.0,-951524671.0,0.0,-6.67,-25.49,-6.07,26781708762.0,2092710018.0,-198809813.0,480277488.0,0.0,7.81,-0.74,1.79,-456.0,17858063886.0,97704433.0,-13697700350.0,-16730846.0,0.0,0.55,-76.7,-0.09,16246378848.0,-3062136704.0,1130385547.0,-1012356653.0,0.0,-18.85,6.96,-6.23,-8.0,95693333644.0,7577496321.0,-211958049.0,4785199273.0,577.0,7353.0,7078.0,-2.56,3.29,-6.2,8.16
17,17,79190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,"이승준, LLOYD YEONSU LEE (각자 대표이사)",http://emw.co.kr,인천광역시,2022-05-13,12997090758.0,-922555508.0,-1824192733.0,-1735990584.0,-1738627308.0,-7.1,-14.04,-13.36,11264570109.0,-1771609831.0,-3323524200.0,-4099865685.0,-4102230238.0,-15.73,-29.5,-36.4,-216.0,8876226813.0,-844529829.0,525995867.0,1060281802.0,632314319.0,-9.51,5.93,11.95,6352400971.0,-2472125594.0,-4560648011.0,-2003564232.0,867517435.0,-38.92,-71.79,-31.54,132.0,38949658749.0,-4040784840.0,-3349169375.0,-2916178515.0,-91.0,566.0,762.0,-10.99,-4.93,-38.11,-12.03
18,18,50120,KOSDAQ,ES큐브,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,신희민,http://www.escube.co.kr,서울특별시,2022-05-16,21404769531.0,-722861788.0,-69570697761.0,2349096970.0,0.0,-3.38,-325.02,10.97,33605357259.0,-11359199436.0,38703176388.0,-1812092339.0,0.0,-33.8,115.17,-5.39,692.0,28184332021.0,7544064198.0,208282005365.0,7714703069.0,0.0,26.77,739.0,27.37,19837196599.0,6906597361.0,-112027258279.0,-10370978606.0,0.0,34.82,-564.73,-52.28,2272.0,125787292841.0,283187246.0,69284860728.0,8969522598.0,661.0,9805.0,8540.0,4.01,0.83,7.06,7.74
19,19,214270,KOSDAQ,FSN,소프트웨어 개발 및 공급업,카울리,2015-03-25,12월,"이상석, 서정교 (각자 대표이사)",http://fsn.co.kr,서울특별시,2022-05-13,45533727295.0,-433288819.0,-2835586293.0,751821195.0,0.0,-0.95,-6.23,1.65,54982181916.0,2556185835.0,5943417806.0,-838062981.0,0.0,4.65,10.81,-1.52,104.0,46242261876.0,2263099213.0,-2089096751.0,-2417173298.0,0.0,4.89,-4.52,-5.23,50271737657.0,2526187898.0,7058680325.0,-6313921812.0,0.0,5.03,14.04,-12.56,-344.0,211830639031.0,10174967331.0,8878859400.0,87568597.0,3.0,5637.0,4914.0,1.19,0.04,1.84,0.06
20,20,130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.ghglobal.co.kr,경상북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,83450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도,2022-05-13,57186249109.0,9527423578.0,11351232578.0,8722572972.0,0.0,16.66,19.85,15.25,86489395372.0,10670353593.0,-2334243055.0,7709640359.0,0.0,12.34,-2.7,8.91,3744.0,67269394262.0,10788079101.0,2959008995.0,9176438020.0,0.0,16.04,4.4,13.64,38762259090.0,2951530678.0,-2038299865.0,1921411654.0,0.0,7.61,-5.26,4.96,3936.0,304487495915.0,46406987615.0,25550968576.0,37746419195.0,4051.0,17845.0,16244.0,15.88,18.3,20.98,24.94
22,22,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,2022-04-28,28145432242.0,3012535770.0,-36603662242.0,3812401351.0,0.0,10.7,-130.05,13.55,17823562355.0,1428940038.0,-8691265216.0,4624904313.0,0.0,8.02,-48.76,25.95,912.0,6089401246.0,-1872162881.0,-9851689970.0,-1861269697.0,0.0,-30.74,-161.78,-30.57,7774411221.0,392329788.0,4221241566.0,-233762206.0,0.0,5.05,54.3,-3.01,-444.0,46773127251.0,667762433.0,-23280140107.0,6084585788.0,364.0,7027.0,6215.0,7.37,3.83,12.98,5.86
23,23,78150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도,2022-05-13,49800604975.0,1882641177.0,-3516269363.0,2913034843.0,2919524049.0,3.78,-7.06,5.85,41008324463.0,-3527384713.0,-13601179412.0,22494534845.0,22499550400.0,-8.6,-33.17,54.85,144.0,49028308474.0,-5082260562.0,-8373650079.0,-621739092.0,-2437894450.0,-10.37,-17.08,-1.27,62388659997.0,-6825584143.0,16229301245.0,-10201776549.0,-1826837905.0,-10.94,26.01,-16.35,-28.0,158891163240.0,-22453000633.0,-19094882521.0,11534757769.0,146.0,2267.0,2284.0,3.97,4.13,6.35,6.39
24,24,195940,KOSDAQ,HK이노엔,의약품 제조업,"전문의약품, 숙취해소음료",2021-08-09,12월,곽달원,http://www.inno-n.com,서울특별시,2022-05-16,180212675175.0,4230235284.0,-11173228817.0,7396828643.0,0.0,2.35,-6.2,4.1,209381864424.0,17256107855.0,14877514945.0,9039401794.0,0.0,8.24,7.11,4.32,1020.0,186838260894.0,13034622711.0,4421760466.0,8316499130.0,0.0,6.98,2.37,4.45,183441682790.0,44083739170.0,56003607075.0,12694451408.0,0.0,24.03,30.53,6.92,1148.0,769785555465.0,50322840434.0,26795888949.0,24735951932.0,855.0,39334.0,39809.0,1.67,1.35,2.59,2.15
25,25,28300,KOSDAQ,HLB,선박 및 보트 건조업,"구명정, GRP/GRE PIPPE",1996-07-27,12월,"진양곤, 김동건 (각자대표)",http://www.hlbkorea.com,울산광역시,2022-05-16,65512783818.0,-6497821044.0,-14217861830.0,-15755070640.0,0.0,-9.92,-21.7,-24.05,43730812301.0,-36077937210.0,-10013496641.0,-57671264279.0,0.0,-82.5,-22.9,-131.88,-588.0,7563784790.0,-18763640333.0,-13731789649.0,-18409055992.0,0.0,-248.07,-181.55,-243.38,22776157157.0,-25617894123.0,-17778063864.0,-22568545455.0,0.0,-112.48,-78.06,-99.09,-688.0,69825991454.0,-101018424284.0,-54765398832.0,-98125465674.0,-920.0,4262.0,4803.0,-7.75,-13.19,-13.79,-19.16
26,26,67630,KOSDAQ,HLB생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업","ESCO 사업, 신재생에너지 사업",2008-11-25,12월,"진양곤, 남상우 (각자대표)",http://www.hlb-ls.com,경기도,2022-05-16,15959356038.0,-1053822111.0,-1144544510.0,-10367498490.0,0.0,-6.6,-7.17,-64.96,15514257043.0,-10109722303.0,-4500554135.0,-64396254314.0,0.0,-65.16,-29.01,-415.08,-432.0,10605785834.0,-2652366739.0,3521188257.0,-15473935138.0,0.0,-25.01,33.2,-145.9,19315537352.0,-1899744378.0,9391057489.0,-43641983901.0,0.0,-9.84,48.62,-225.94,-648.0,53494248129.0,-18480404264.0,-14084072136.0,-49151656070.0,-514.0,1882.0,2582.0,-21.34,-18.15,-22.95,-19.93
