,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2020_6,Quarter_Operating_Profit2020_6,Quarter_Cashflow2020_6,Quarter_Earn2020_6,Quarter_Continue_Earn2020_6,Quarter_Percent_Operating_Profit2020_6,Quarter_Percent_Cashflow2020_6,Quarter_Percent_Earn2020_6,Quarter_Revenue2020_3,Quarter_Operating_Profit2020_3,Quarter_Cashflow2020_3,Quarter_Earn2020_3,Quarter_Continue_Earn2020_3,Quarter_Percent_Operating_Profit2020_3,Quarter_Percent_Cashflow2020_3,Quarter_Percent_Earn2020_3,Quarter_Full_EPS,Last_Revenue2019_6,Last_Operating_Profit2019_6,Last_Cashflow2019_6,Last_Earn2019_6,Last_Continue_Earn2019_6,Last_Percent_Operating_Profit2019_6,Last_Percent_Cashflow2019_6,Last_Percent_Earn2019_6,Last_Revenue2019_3,Last_Operating_Profit2019_3,Last_Cashflow2019_3,Last_Earn2019_3,Last_Continue_Earn2019_3,Last_Percent_Operating_Profit2019_3,Last_Percent_Cashflow2019_3,Last_Percent_Earn2019_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2020-08-14,306352844926,8674990527,-26730381708,3455704679,0,2.83,-8.73,1.13,316655908554,11983300695,-17494685261,1159762726,0,3.78,-5.52,0.37,292,296840237855,10864428649,-38236105195,-29929138074,0,3.66,-12.88,-10.08,277533069068,7028058594,-22131669556,126279218681,0,2.53,-7.97,45.5,-2556,1202793723694,17844099386,-37909433941,45969636300,981,14290,7418,0.39,2.55,2.04,13.23
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2020-08-14,537602420708,-69374826124,-180113736046,-103052779699,0,-12.9,-33.5,-19.17,793899394494,-34580511432,-225226503667,-84173432426,0,-4.36,-28.37,-10.6,-31104,890728177941,10064393168,198695389669,2974840356,0,1.13,22.31,0.33,996841859461,97400377205,168249966105,69738517601,0,9.77,16.88,7.0,896,3759542062510,131336891859,274189797509,57377832577,4330,189839,107911,-4.96,1.33,-16.38,4.01
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2020-08-14,55648155478,5497956838,19647117562,10614977961,8747838916,9.88,35.31,19.08,47128160669,-2343314549,1165019067,-2245752973,-4190349738,-4.97,2.47,-4.77,440,65456062073,9956179619,14112893805,12867168306,12233836369,15.21,21.56,19.66,50560983935,363694027,-360814386,3578719064,2022782450,0.72,-0.71,7.08,536,240314527185,29385396571,13834576609,26870739807,280,31649,15965,1.28,1.62,1.39,1.76
3,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2020-08-14,46987039723,8476067393,12761054034,8565086401,0,18.04,27.16,18.23,33434894356,2263683900,-644026089,108881338,0,6.77,-1.93,0.33,159160,40409172324,6182099187,18594796968,6211097105,0,15.3,46.02,15.37,39225789153,5125631174,-3222552665,2457784476,0,13.07,-8.22,6.27,115416,170589026967,23393686890,18715998757,27772828234,129023,4068627,2017743,2.46,4.0,3.91,6.39
5,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2020-08-14,7793995214000,358750834000,946031632000,27465437000,0,4.6,12.14,0.35,7840010949000,264264280000,-44142869000,152375577000,0,3.37,-0.56,1.94,3764,8453696547000,365213888000,1271696455000,215115627000,0,4.32,15.04,2.54,7794949406000,343270016000,753972752000,48347252000,0,4.4,9.67,0.62,29492,33779706665000,1509154524000,3864576582000,267148987000,9156,1038043,500940,0.13,0.66,0.36,1.83
6,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2020-08-14,41593592855,-130534892626,-163111024359,-143168951343,0,-313.83,-392.15,-344.21,243308483990,-71619126300,-75041600970,-95518136371,0,-29.44,-30.84,-39.26,-15124,481933711127,23460602407,150531134034,-8821607520,0,4.87,31.23,-1.83,464613501779,23514703158,99359626794,-6924879193,0,5.06,21.39,-1.49,-932,1942279329129,121975391246,283339456559,-152642285534,-4031,20245,15877,-6.55,-3.37,-74.7,-25.39
7,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시,2020-08-14,2649997545568,83860105118,40856426142,33440537236,0,3.16,1.54,1.26,2515360835746,58188336853,-159883651315,15758618224,0,2.31,-6.36,0.63,5860,2534844925742,71788277232,156435736287,13569213643,0,2.83,6.17,0.54,2432724848781,45346970499,82778447922,-15031640046,0,1.86,3.4,-0.62,2376,10415108625820,307186346174,849229005556,39726701152,1741,325041,160216,0.71,0.44,1.8,1.09
8,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2020-08-14,33064231849,627638300,6294286344,522858210,0,1.9,19.04,1.58,38380725224,1663075505,2054180277,1007416979,0,4.33,5.35,2.62,56,35004565034,619714204,3887032392,657967792,0,1.77,11.1,1.88,37282184090,209921255,1334557519,-435435813,0,0.56,3.58,-1.17,72,149168950259,3700345257,7282740903,1827957679,50,3623,1781,0.81,1.44,1.55,2.84
9,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2020-08-14,5920879356000,384860000000,616534648000,158017419000,0,6.5,10.41,2.67,5830942047000,275935495000,-85100134000,451924437000,0,4.73,-1.46,7.75,38584,5515310216000,175299866000,496216261000,39492700000,0,3.18,9.0,0.72,5017753362000,179063297000,239997346000,40940401000,0,3.57,4.78,0.82,9640,22352462296000,896857873000,2143095681000,191028303000,11661,1235512,578788,1.18,0.73,3.12,2.01
