,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
724,7160,KOSPI,사조산업,어로 어업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",1989-07-25,12월,"이창주, 김치곤 (각자대표)",http://www.sajo.co.kr,서울특별시,2022-08-16,5000096.0,178280557175.0,20291809514.0,19402995149.0,19422673818.0,0.0,11.38,10.88,10.89,139016450481.0,15278291131.0,3432036882.0,11615523023.0,0.0,10.99,2.47,8.36,15536.0,129718535442.0,11103765080.0,29714198538.0,8273028681.0,0.0,8.56,22.91,6.38,136830645302.0,9754995156.0,12852626676.0,10717690526.0,0.0,7.13,9.39,7.83,6616.0,590393764176.0,49237466179.0,49291294354.0,44837082103.0,8967.0,235441.0,113147.0,3.43,4.03,6.6,7.93,2.8200000000000003,3.86,37.436455451436345,,47050,235254516800,3.03,64000,9.67,7.14,5.41,149.75,60.04,2021-06-08,43.58,36.03,2021-08-17
729,6660,KOSPI,삼성공조,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매",1987-11-28,12월,고호곤,http://www.samsungcc.co.kr,경상남도,2022-08-16,8125946.0,23346881094.0,1705689629.0,4177817768.0,3354108552.0,0.0,7.31,17.89,14.37,21304502220.0,507537853.0,815125303.0,3812461751.0,0.0,2.38,3.83,17.9,1648.0,20793013794.0,-467730249.0,7552416160.0,1360385104.0,0.0,-2.25,36.32,6.54,18343845074.0,264022257.0,1335100846.0,2200006735.0,0.0,1.44,7.28,11.99,668.0,79578435154.0,1170697408.0,9677173848.0,-2485568412.0,-305.0,55232.0,27043.0,2.58,-0.97,2.98,-1.13,9.56,0.94,12.282333505386026,,10800,87760216800,6.55,24600,36.83,-80.66,3.56,356.76,168.98,2021-07-23,125.96,127.78,2021-09-10
740,520,KOSPI,삼일제약,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",1985-05-29,12월,"허승범, 김상진 (각자 대표이사)",http://www.samil-pharm.com,서울특별시,2022-08-12,13699838.0,44966180926.0,2297696021.0,12659365262.0,-274102908.0,0.0,5.11,28.15,-0.61,45850300778.0,2347482522.0,1157714972.0,335803412.0,0.0,5.12,2.52,0.73,-80.0,33932923667.0,171287382.0,-1084741172.0,-1153280437.0,0.0,0.5,-3.2,-3.4,32220159325.0,1576259451.0,1137287343.0,608437152.0,0.0,4.89,3.53,1.89,-336.0,134246777887.0,399740768.0,1416861154.0,-5346662644.0,-390.0,9943.0,4799.0,-0.21,-2.36,-0.8,-8.13,4.61,0.2300000000000004,32.51490312852092,,8090,110831689420,-101.12,9980,-29.7,-25.59,2.3,58.22,59.46,2020-09-07,27.8,23.36,2021-08-12
741,390,KOSPI,삼화페인트,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",1993-09-10,12월,"오진수,류기붕(각자대표)",http://www.samhwa.com,경기도,2022-08-16,27200186.0,176065112836.0,11221200154.0,-3440474853.0,7456406861.0,0.0,6.37,-1.95,4.24,149577216567.0,2301434292.0,-18746859190.0,1069381535.0,0.0,1.54,-12.53,0.71,1096.0,179542626951.0,675072287.0,-40787765884.0,-1443982229.0,0.0,0.38,-22.72,-0.8,130050288197.0,263660308.0,-28207465615.0,282441067.0,0.0,0.2,-21.69,0.22,-212.0,631605900694.0,823659928.0,-27003473097.0,-2447636571.0,-89.0,22070.0,10879.0,2.33,-0.4,4.97,-0.83,5.99,1.34,-1.9368738076607668,,8180,222497521480,7.46,11000,-51.89,-123.6,3.92,252.23,112.71,2020-12-21,44.07,34.47,2021-09-10
765,17550,KOSPI,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,"김병현, 정석현(각자 대표이사)",http://www.soosan.co.kr,경기도,2022-08-16,53982236.0,71855452303.0,4417248537.0,-6237231671.0,4860249158.0,0.0,6.15,-8.68,6.76,67912875146.0,2836137768.0,-8035650016.0,1791051645.0,0.0,4.18,-11.83,2.64,360.0,59964664772.0,2750068958.0,-20583490173.0,-267472521.0,0.0,4.59,-34.33,-0.45,42897639468.0,1411185274.0,-11943137508.0,1667597982.0,0.0,3.29,-27.84,3.89,-16.0,252992405856.0,14273592746.0,-467360959.0,11393232917.0,211.0,4687.0,2260.0,3.81,4.83,7.68,9.33,1.5600000000000005,0.8899999999999997,19.829657309369807,,3115,168154665140,8.65,4450,-278.12,21.09,5.38,375.32,141.09,2021-04-12,71.81,42.86,2022-05-19
766,11930,KOSPI,신성이엔지,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",1996-07-31,12월,"이지선, 안윤수",http://www.shinsungeng.com,경기도,2022-08-16,205875266.0,176109772013.0,10244875232.0,-1834539380.0,9650043402.0,7298759894.0,5.82,-1.04,5.48,137902788526.0,2868049866.0,-4105423913.0,-4908629849.0,0.0,2.08,-2.98,-3.56,184.0,99099462926.0,-5376195216.0,-26692962791.0,-6149230533.0,-6141969931.0,-5.43,-26.94,-6.21,75556779621.0,-1420606587.0,-22680936746.0,-2403128049.0,0.0,-1.88,-30.02,-3.18,-116.0,454523692263.0,2386598711.0,-21302798420.0,-15904395825.0,-77.0,1940.0,1010.0,3.92,-3.34,9.48,-7.64,11.25,3.96,77.71011750538496,,2380,489983133080,12.93,2615,-22.54,-33.96,8.59,338.37,71.85,2020-11-10,44.88,9.87,2021-09-09
769,31430,KOSPI,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14,12월,"장재영, 이길한, 손문국 (각자대표)",http://www.sikorea.co.kr,서울특별시,2022-08-16,35703443.0,383930032176.0,38709310194.0,77899832815.0,33210080299.0,0.0,10.08,20.29,8.65,352182563649.0,33106636459.0,14884853755.0,26714618028.0,0.0,9.4,4.23,7.59,3720.0,340713473261.0,26506421856.0,92014867620.0,19088652917.0,0.0,7.78,27.01,5.6,341921578786.0,21278953323.0,23272436275.0,23417432610.0,0.0,6.22,6.81,6.85,2136.0,1450778572821.0,91971396487.0,153285247445.0,82096014919.0,2299.0,42191.0,20155.0,5.53,7.08,8.82,11.41,2.3,3.1800000000000006,12.68413558799725,,31250,1115732593750,8.4,40800,19.1,17.75,3.65,76.77,68.0,2020-01-13,40.69,30.56,2021-09-06
770,5800,KOSPI,신영와코루,봉제의복 제조업,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조",1976-12-28,12월,"이의평, 이성원",http://www.shinyoungwacoal.co.kr/,서울특별시,2022-08-16,9000387.0,61471168575.0,2999263926.0,4814792073.0,3104912371.0,0.0,4.88,7.83,5.05,45000944131.0,2862509477.0,-565489689.0,2765566227.0,0.0,6.36,-1.26,6.15,1376.0,53816813283.0,1442413923.0,3264860290.0,2194404763.0,0.0,2.68,6.07,4.08,42705666394.0,1356733563.0,-1637979145.0,1444162149.0,0.0,3.18,-3.84,3.38,972.0,189412826757.0,3690487329.0,16652334925.0,6491809139.0,721.0,72331.0,35878.0,1.57,1.67,1.9,2.01,2.2,3.18,14.222981304650952,,12200,109804721400,8.87,14750,15.17,20.46,2.63,59.63,20.9,2022-04-04,27.71,20.9,2022-04-04
773,8700,KOSPI,아남전자,영상 및 음향기기 제조업,"칼라TV,오디오,비디오 제조,도매",1984-08-11,12월,김태수,http://www.aname.co.kr,서울특별시,2022-08-16,77147840.0,101507213.0,4571539.0,-1033727.0,3479959.0,3525419.0,4.5,-1.02,3.43,79366437.0,4819051.0,2609559.0,4147331.0,4147331.0,6.07,3.29,5.23,0.0,66041733.0,1519917.0,-6488076.0,1223499.0,1223499.0,2.3,-9.82,1.85,76948291.0,2852217.0,-1588673.0,2239425.0,2239425.0,3.71,-2.06,2.91,0.0,314437329.0,13225147.0,-24696663.0,11607606.0,0.0,1.0,0.0,0.0,5.06,0.0,17.56,2.2,2.3600000000000003,53.70161924733259,,2780,214470995200,0,2850,0,0,3.56,99.16,28.6,2021-02-03,27.8,2.52,2022-08-11
774,267850,KOSPI,아시아나IDT,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23,12월,서근식,http://www.asianaidt.com,서울특별시,2022-08-12,11099448.0,46751080489.0,2566570472.0,3560969385.0,2017366054.0,0.0,5.49,7.62,4.32,51583120589.0,2483869079.0,-10203546141.0,1867912955.0,0.0,4.82,-19.78,3.62,724.0,39596409115.0,1774991963.0,-7458659830.0,25524721047.0,0.0,4.48,-18.84,64.46,41134437034.0,549450999.0,-1538954012.0,-216343808.0,0.0,1.34,-3.74,-0.53,9196.0,174722677584.0,7289230391.0,5612920535.0,26361899660.0,2375.0,27547.0,14016.0,1.92,11.87,2.63,16.94,1.0099999999999998,3.4800000000000004,18.068990430977365,,14300,158722106400,19.75,23900,2.6,10.06,3.78,126.2,157.1,2020-12-01,63.7,67.13,2021-09-23
