,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2019_6,Quarter_Operating_Profit2019_6,Quarter_Cashflow2019_6,Quarter_Earn2019_6,Quarter_Continue_Earn2019_6,Quarter_Percent_Operating_Profit2019_6,Quarter_Percent_Cashflow2019_6,Quarter_Percent_Earn2019_6,Quarter_Revenue2019_3,Quarter_Operating_Profit2019_3,Quarter_Cashflow2019_3,Quarter_Earn2019_3,Quarter_Continue_Earn2019_3,Quarter_Percent_Operating_Profit2019_3,Quarter_Percent_Cashflow2019_3,Quarter_Percent_Earn2019_3,Quarter_Full_EPS,Last_Revenue2018_6,Last_Operating_Profit2018_6,Last_Cashflow2018_6,Last_Earn2018_6,Last_Continue_Earn2018_6,Last_Percent_Operating_Profit2018_6,Last_Percent_Cashflow2018_6,Last_Percent_Earn2018_6,Last_Revenue2018_3,Last_Operating_Profit2018_3,Last_Cashflow2018_3,Last_Earn2018_3,Last_Continue_Earn2018_3,Last_Percent_Operating_Profit2018_3,Last_Percent_Cashflow2018_3,Last_Percent_Earn2018_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2019-08-14,296840237855,10864428649,-38236105195,-29748431307,0,3.66,-12.88,-10.02,277533069068,7028058594,-22131669556,127477125156,0,2.53,-7.97,45.93,-2540,254464921024,1702931102,-93722942464,-5504216209,0,0.67,-36.83,-2.16,258787776363,4250327841,-23469830203,6122863783,0,1.64,-9.07,2.37,-468,1056691254095,-21281686850,-74845911546,1133299467,24,17722,10503,-3.48,0.04,-14.33,0.23
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2019-08-14,890728177941,10064393168,198695389669,2974840356,0,1.13,22.31,0.33,996841859461,97400377205,168249966105,69738517601,0,9.77,16.88,7.0,896,893620123297,56118566278,153452452302,53698267040,0,6.28,17.17,6.01,916581626996,97492598230,87092804426,70614284027,0,10.64,9.5,7.7,16208,3711183102751,269717896055,317257800609,206620398931,15592,227399,111229,0.14,6.08,0.39,14.02
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2019-08-14,65456062073,9956179619,14112893805,12233836369,0,15.21,21.56,18.69,50560983935,363694027,-360814386,2022782450,0,0.72,-0.71,4.0,508,59596768674,12364453860,-34498409990,13824946079,0,20.75,-57.89,23.2,42975651931,562663438,2234924647,14383329420,0,1.31,5.2,33.47,576,220593918847,29473341965,-29202164098,48268947949,504,32176,15834,1.47,2.97,1.58,3.18
3,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2019-08-14,40409172324,6182099187,18594796968,6213298645,0,15.3,46.02,15.38,39225789153,5125631174,-3222552665,2463229578,0,13.07,-8.22,6.28,115456,49016250993,5524286118,21908899492,5736166673,0,11.27,44.7,11.7,49783600612,3473265612,15489462041,6398229070,0,6.98,31.11,12.85,106592,197864080352,21346820739,49052410181,9099713398,42274,3829507,1892663,1.72,1.23,3.01,2.23
5,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2019-08-14,8453696547000,365213888000,1271696455000,290381887000,0,4.32,15.04,3.43,7794949406000,343270016000,753972752000,114251468000,0,4.4,9.67,1.47,39812,7062540200000,301290904000,378986937000,363498469000,0,4.27,5.37,5.15,6974159438000,341537892000,336687841000,86674329000,0,4.9,4.83,1.24,49836,29523435477000,1332475208000,1541092351000,276055458000,9461,954830,429192,1.45,0.87,4.17,2.2
6,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2019-08-14,481933711127,23460602407,150494617333,-9834835271,0,4.87,31.23,-2.04,464613501779,23514703158,122232761458,-8572301298,0,5.06,26.31,-1.85,-1036,404803579516,265581478,59239427384,-17012722182,0,0.07,14.63,-4.2,441179496219,19175702246,26200712563,-5308423998,0,4.35,5.94,-1.2,-1796,1769356467477,77706738825,108733820274,-140652921745,-3715,28156,14534,-0.46,-6.3,-3.68,-25.56
7,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시,2019-08-14,2534844925742,71788277232,156432343087,17629919987,0,2.83,6.17,0.7,2432724848781,45346970499,82778447922,-12536212507,0,1.86,3.4,-0.52,3088,2284607837550,57109877657,-41890503793,5256903462,0,2.5,-1.83,0.23,2001464084617,45309840533,-16177234818,34150384146,0,2.26,-0.81,1.71,920,9219680477069,242686925620,61914215815,52667426926,2308,307089,137226,0.39,0.67,1.01,1.68
8,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2019-08-14,35004565034,619714204,3887032392,657967792,0,1.77,11.1,1.88,37282184090,209921255,1334557519,-435435813,0,0.56,3.58,-1.17,72,35232237088,841681251,-4504914881,430054735,0,2.39,-12.79,1.22,38216055861,1557788352,-4811672371,717543113,0,4.08,-12.59,1.88,44,150703085038,4134078737,-1044998091,2154613534,59,3451,1709,1.02,1.7,2.09,3.49
9,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2019-08-14,5515310216000,175299866000,496216261000,39492700000,0,3.18,9.0,0.72,5017753362000,179063297000,239997346000,40940401000,0,3.57,4.78,0.82,9640,4453748788000,184606408000,-62273905000,783380630000,0,4.14,-1.4,17.59,4348588146000,210257123000,84591963000,72149886000,0,4.84,1.95,1.66,191280,18670059989000,832709680000,471425123000,925388625000,56489,1044350,446123,0.32,4.75,0.92,12.66
