,Unnamed: 0,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
89,89,1109,94360,KOSDAQ,칩스앤미디어,반도체 제조업,비디오 IP,2015-08-05,12월,김상현,http://www.chipsnmedia.com,서울특별시,2022-05-16,5055793590.0,1066319527.0,4783063455.0,1015691637.0,1015691637.0,21.09,94.61,20.09,7476189787.0,2907668146.0,4459949638.0,3419642847.0,3419642847.0,38.89,59.66,45.74,420.0,4010310704.0,371440698.0,1665441116.0,663238950.0,663238950.0,9.26,41.53,16.54,4193402403.0,999450284.0,2969468892.0,211656445.0,4551552825.0,23.83,70.81,5.05,272.0,19979567098.0,5199382483.0,9852851202.0,6268250917.0,650.0,4198.0,3938.0,7.55,13.64,10.0,16.51,11.83,15.060000000000002,26.06987246542281,
129,129,110,43650,KOSDAQ,국순당,알코올음료 제조업,탁주 및 약주,2000-08-24,12월,배상민,http://www.ksdb.co.kr,강원도,2022-05-16,19275415624.0,3372170495.0,4874126493.0,3728041389.0,0.0,17.49,25.29,19.34,17343643298.0,1366281257.0,2607227293.0,7932233325.0,0.0,7.88,15.03,45.74,832.0,15299373142.0,2232902095.0,4586905332.0,3536330164.0,0.0,14.59,29.98,23.11,13515219622.0,952019893.0,6437057599.0,10323144292.0,0.0,7.04,47.63,76.38,792.0,65221439846.0,8467426184.0,5759119225.0,21545268325.0,1206.0,14085.0,13596.0,5.28,8.06,5.91,8.87,2.8999999999999986,0.8399999999999999,25.988270533025474,
302,302,1246,58530,KOSDAQ,파나케이아,생활용품 도매업,"PCB생산 장비 제조(로더, 언로더, 레이업시스템 등)",2002-02-05,12월,정인철,http://www.supexbnp.com,경기도,2022-05-16,6728464366.0,759887051.0,197686152.0,617209232.0,0.0,11.29,2.94,9.17,6421431179.0,379791285.0,1850648375.0,224581660.0,0.0,5.91,28.82,3.5,136.0,5343388937.0,68151201.0,-2512635230.0,-700370900.0,0.0,1.28,-47.02,-13.11,5949162925.0,-2292582134.0,658984933.0,-5045888480.0,0.0,-38.54,11.08,-84.82,-152.0,26178493640.0,1504845078.0,829963923.0,-655792324.0,-36.0,3765.0,3691.0,2.07,-0.54,3.61,-0.98,10.01,44.45,25.921291624667678,
19,19,333,93520,KOSDAQ,매커스,기계장비 및 관련 물품 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통,2007-02-12,12월,"신동철, 성종률",http://www.makus.co.kr,서울특별시,2022-05-12,44084700543.0,9162084747.0,9918781139.0,6472351164.0,0.0,20.78,22.5,14.68,41760452781.0,10799079724.0,-19159832572.0,10658986754.0,0.0,25.86,-45.88,25.52,1600.0,35025256168.0,5116936690.0,-3078470017.0,4580236407.0,0.0,14.61,-8.79,13.08,20504225790.0,2283526234.0,-8554184672.0,2199079821.0,0.0,11.14,-41.72,10.73,1132.0,140726734643.0,26018645884.0,14195974369.0,24964640437.0,1544.0,5853.0,4914.0,13.1,17.22,27.33,31.43,6.170000000000002,14.72,25.8654621440769,
383,383,337,215200,KOSDAQ,메가스터디교육,일반 교습 학원,"오프라인 학원, 온라인 강의",2015-05-04,12월,손성은,http://www.megastudy.net,서울특별시,2022-05-16,216098529189.0,25547280687.0,50835810161.0,21704007028.0,0.0,11.82,23.52,10.04,173814217255.0,7584252416.0,85426202532.0,9243258907.0,0.0,4.36,49.15,5.32,7316.0,172179247705.0,12897230882.0,53324203116.0,11924517322.0,0.0,7.49,30.97,6.93,125595807599.0,1791176141.0,74484378937.0,-1679030659.0,0.0,1.43,59.3,-1.34,4020.0,703869131483.0,99007256559.0,192402654159.0,81162124786.0,6841.0,30274.0,29849.0,10.07,11.21,24.17,22.92,4.33,2.9300000000000006,25.50788324923353,1269.7107431983954
215,215,261,263690,KOSDAQ,디알젬,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",2018-11-22,12월,박정병,http://www.drgem.co.kr,경기도,2022-05-16,23806175006.0,3154899115.0,-2646315048.0,3514476129.0,0.0,13.25,-11.12,14.76,25218294364.0,5315601434.0,-289893728.0,3911089751.0,0.0,21.08,-1.15,15.51,1240.0,19016418101.0,1221123058.0,4534280025.0,2436922324.0,0.0,6.42,23.84,12.81,24275522611.0,2160384193.0,5833625319.0,1674973293.0,0.0,8.9,24.03,6.9,860.0,85750357013.0,12388796344.0,10387520723.0,12552669012.0,1108.0,5721.0,5386.0,12.19,14.94,21.67,20.58,6.83,12.179999999999998,25.187482098682533,
30,30,495,86710,KOSDAQ,선진뷰티사이언스,기타 화학제품 제조업,화장품 원료,2021-01-27,12월,이성호,http://sunjinbs.co.kr,경기도,2022-05-12,16286440653.0,1958818297.0,6157269135.0,1646711818.0,0.0,12.03,37.81,10.11,12852296858.0,751993673.0,530995595.0,-1502890379.0,0.0,5.85,4.13,-11.69,536.0,13020458794.0,905759720.0,-521471336.0,1115433479.0,0.0,6.96,-4.01,8.57,10667612312.0,-57745958.0,399989387.0,-112418052.0,0.0,-0.54,3.75,-1.05,364.0,48702984011.0,3701978012.0,4962673635.0,1189661375.0,97.0,3997.0,3980.0,5.68,1.11,13.41,2.45,5.069999999999999,6.39,25.083462193398343,
20,20,343,86900,KOSDAQ,메디톡스,기초 의약물질 및 생물학적 제제 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발",2009-01-16,12월,정현호,http://www.medytox.com,충청북도,2022-05-16,39758559133.0,5468165681.0,13196242191.0,5049361201.0,0.0,13.75,33.19,12.7,39224273253.0,561393831.0,11059454282.0,-13301348646.0,0.0,1.43,28.2,-33.91,2840.0,31823410350.0,-4412797457.0,-14770467508.0,55176309186.0,0.0,-13.87,-46.41,173.38,29548355213.0,-11569209445.0,-15042683865.0,-17727545057.0,0.0,-39.15,-50.91,-60.0,31048.0,184869547955.0,34491517174.0,19965517783.0,94153921077.0,13246.0,59374.0,56776.0,3.47,16.3,4.78,23.33,27.62,40.58,24.934941590884524,
476,476,873,153490,KOSDAQ,우리이앤엘,반도체 제조업,LED 패키지,2013-02-05,12월,"차기현,박길수",http://www.wooreeenl.co.kr,경기도,2022-05-16,44544691388.0,3310377698.0,3163495344.0,3679937715.0,0.0,7.43,7.1,8.26,41775596017.0,3624044923.0,4741800803.0,6074119198.0,0.0,8.68,11.35,14.54,284.0,35672191906.0,1940214239.0,2211034085.0,3693855212.0,0.0,5.44,6.2,10.35,35986975252.0,1257920190.0,1998526498.0,-4722387961.0,0.0,3.5,5.55,-13.12,284.0,155736782930.0,13510019164.0,14678109431.0,17913833422.0,348.0,1379.0,1378.0,11.66,14.54,20.59,25.26,1.9899999999999995,5.18,24.872313720950974,
126,126,63,36540,KOSDAQ,SFA반도체,반도체 제조업,"반도체패키지(SOP,DIP,QFP)",2001-05-02,12월,김영민,http://www.sts-semi.co.kr,충청남도,2022-05-13,174290153247.0,22497365050.0,17516626346.0,16232506532.0,0.0,12.91,10.05,9.31,181125794770.0,16408150418.0,30228829487.0,13237062927.0,0.0,9.06,16.69,7.31,392.0,139748757848.0,14371614038.0,17884980587.0,10815109383.0,0.0,10.28,12.8,7.74,136786410320.0,9974480267.0,31148244114.0,1568093065.0,0.0,7.29,22.77,1.15,260.0,641108819687.0,66496309132.0,101554057612.0,52802853290.0,321.0,2807.0,2589.0,9.41,8.13,13.96,12.4,2.630000000000001,1.7700000000000005,24.71678169516863,
73,73,957,53350,KOSDAQ,이니텍,소프트웨어 개발 및 공급업,정보보안 및 인증솔루션,2001-11-15,12월,강석모,http://www.initech.com,서울특별시,2022-05-16,12664355991.0,-218946385.0,-4920240013.0,66444909.0,66444909.0,-1.73,-38.85,0.52,16338467885.0,1234472681.0,40862420.0,5003910907.0,1840490131.0,7.56,0.25,30.63,12.0,10185003274.0,-815811828.0,-5068492911.0,-660792068.0,-996824584.0,-8.01,-49.76,-6.49,10513859814.0,-21907209.0,11921715782.0,1088610098.0,1840490131.0,-0.21,113.39,10.35,-132.0,50255619333.0,-271244500.0,-288977185.0,5304427064.0,268.0,1833.0,6083.0,1.35,3.82,0.65,4.41,6.279999999999999,7.77,24.343170544964128,
371,371,268,66900,KOSDAQ,디에이피,전자부품 제조업,Build-Up PCB(인쇄회로기판),2004-05-14,12월,"권오일, 최봉윤",http://www.dapmc.co.kr,경기도,2022-05-16,82836673516.0,3510135505.0,901323197.0,3085172756.0,0.0,4.24,1.09,3.72,84392824385.0,4923909855.0,15273933660.0,4722884239.0,0.0,5.83,18.1,5.6,540.0,66637155349.0,-1152549731.0,-4554583707.0,-265930307.0,0.0,-1.73,-6.83,-0.4,74392572106.0,3017809081.0,10667315400.0,925817076.0,0.0,4.06,14.34,1.24,-44.0,307896911866.0,7692729104.0,18278943788.0,8155242531.0,358.0,5434.0,5024.0,5.69,3.63,9.94,7.13,5.970000000000001,1.7700000000000005,24.310038569560728,
187,187,1234,64760,KOSDAQ,티씨케이,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품,2003-08-18,12월,"타카하시 히로시, 김영희 (각자대표)",http://www.tck.co.kr,경기도,2022-05-16,77811665498.0,29059907416.0,9117311572.0,22791017171.0,0.0,37.35,11.72,29.29,72785931830.0,27012386799.0,37774564561.0,20678265376.0,0.0,37.11,51.9,28.41,7808.0,63039187337.0,23866816057.0,13841654653.0,18997907450.0,0.0,37.86,21.96,30.14,59678257867.0,21720437945.0,32387409797.0,14584318751.0,0.0,36.4,54.27,24.44,6508.0,270766567696.0,103400361685.0,78650104268.0,81890628054.0,7014.0,31376.0,29082.0,20.63,21.01,24.89,24.12,-0.509999999999998,0.7100000000000009,23.433801711351528,
70,70,915,192390,KOSDAQ,윈하이텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크 플레이트(건설용거푸집),2014-07-25,12월,변천섭,http://www.winhitech.co.kr,충청북도,2022-05-16,22937586212.0,3344163421.0,-4974057023.0,2308863715.0,0.0,14.58,-21.69,10.07,31779001608.0,573877909.0,-9589243518.0,-491692144.0,0.0,1.81,-30.17,-1.55,864.0,18609634753.0,1701527695.0,-1306230431.0,1306949208.0,0.0,9.14,-7.02,7.02,21178225496.0,-4081443978.0,-3334288286.0,-1831195760.0,0.0,-19.27,-15.74,-8.65,488.0,94497839269.0,1908078664.0,-24023878240.0,-131642317.0,-12.0,5406.0,5258.0,7.28,-0.11,15.98,-0.23,5.44,21.08,23.256509418070685,
84,84,1048,26040,KOSDAQ,제이에스티나,귀금속 및 장신용품 제조업,"주얼리,가죽제품,손목시계",1999-12-21,12월,"대표이사 김유미, 장호선 각자대표",http://www.jestina.co.kr,서울특별시,2022-05-16,19278994261.0,858898724.0,-135039507.0,837216587.0,0.0,4.46,-0.7,4.34,19023298234.0,1048376796.0,2281966757.0,-10707281065.0,0.0,5.51,12.0,-56.29,200.0,15676489351.0,-402307386.0,-790556512.0,-357748623.0,0.0,-2.57,-5.04,-2.28,15637410781.0,-4285608811.0,-2309420508.0,-4856118008.0,0.0,-27.41,-14.77,-31.05,-84.0,67332598457.0,1355507077.0,4416859281.0,17615824499.0,1067.0,2271.0,2954.0,6.37,27.12,8.8,36.12,7.029999999999999,32.92,22.98030400390759,
