,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_6,Quarter_Operating_Profit2021_6,Quarter_Cashflow2021_6,Quarter_Earn2021_6,Quarter_Continue_Earn2021_6,Quarter_Percent_Operating_Profit2021_6,Quarter_Percent_Cashflow2021_6,Quarter_Percent_Earn2021_6,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Full_EPS,Last_Revenue2020_6,Last_Operating_Profit2020_6,Last_Cashflow2020_6,Last_Earn2020_6,Last_Continue_Earn2020_6,Last_Percent_Operating_Profit2020_6,Last_Percent_Cashflow2020_6,Last_Percent_Earn2020_6,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2021-08-17,6496221559,-1519163744,1145673823,608012532,1014064006,-23.39,17.64,9.36,6895303260,-1959028511,1031605948,967721837,967721837,-28.41,14.96,14.03,154,6056760679,-2875523835,-2514410925,-5269573136,-5497724133,-47.48,-41.51,-87.0,5235574241,-2356519723,-10519961,-413901012,-599659468,-45.01,-0.2,-7.91,-556,25345952537,-10877059034,-8405977345,-46872920717,-2298,16476,8167,0.57,-17.03,0.93,-28.14
2,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2021-08-17,145798523625,16274752025,59119231113,11321929497,0,11.16,40.55,7.77,112719094448,12194348715,2040412186,13990103356,0,10.82,1.81,12.41,3312,128512636355,8813567840,6717033145,4662415398,0,6.86,5.23,3.63,121063859453,7936871351,8544349079,8211291126,0,6.56,7.06,6.78,1684,591795352612,46277808090,63603566505,24951026992,1632,20363,9041,6.51,6.72,16.26,18.06
3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2021-08-17,5768794042,-724787064,482113838,-688780264,0,-12.56,8.36,-11.94,5896003439,-981792965,2604569363,122590527,0,-16.65,44.18,2.08,-74,11036099824,224503240,3228478547,2495538,0,2.03,29.25,0.02,7254426867,11184636,38542687,1115308706,0,0.15,0.53,15.37,148,45379281619,4376442736,15507478599,-1361421642,-90,10568,5297,-0.5,-1.21,-0.7,-1.7
4,32790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,2021-08-30,17048839472,-7444368,-1409053346,-204426350,0,-0.04,-8.26,-1.2,12467896512,-406594036,515244417,-278971924,0,-3.26,4.13,-2.24,-32,13095893124,159602514,-1256938084,-928849526,0,1.22,-9.6,-7.09,11920989597,-1229723354,-142541874,-1750515016,0,-10.32,-1.2,-14.68,-180,54588246084,-1516977958,565554068,-6591115646,-223,2053,771,-0.95,-15.79,-1.56,-28.92
5,13720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,2021-08-30,6245450994,-388757837,-1635116878,-948994587,0,-6.22,-26.18,-15.19,5743664931,-1510677112,-737668908,-1534891158,0,-26.3,-12.84,-26.72,-120,2722231462,-717967448,-695212650,-603009403,0,-26.37,-25.54,-22.15,4683205798,-411716097,-827884873,-353969035,0,-8.79,-17.68,-7.56,-46,16710124584,-2452531875,-1040353985,-3028248235,-74,910,485,-3.35,-6.83,-13.18,-15.25
6,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2021-08-17,907916796942,85801986621,404037184052,31864975688,0,9.45,44.5,3.51,791892518197,93616824114,178056021088,73560592046,0,11.82,22.48,9.29,9614,837526668341,73380361203,195218051115,33917071890,0,8.76,23.31,4.05,810766913727,39725632258,56136204412,26875251693,0,4.9,6.92,3.31,5542,3391184002869,272067865192,566412764825,56926322621,2595,360087,172594,1.63,0.91,2.67,1.5
7,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2021-08-17,575712241085,19057041580,113498764775,13166066275,0,3.31,19.71,2.29,546068559585,3148013050,38570556826,-4429156353,0,0.58,7.06,-0.81,1470,624467603472,2708192672,379615385,-2690851574,0,0.43,0.06,-0.43,602479627165,-12612946685,18775907268,-20023494997,0,-2.09,3.12,-3.32,-3826,2478528727709,-3545694413,126251239674,-42517696613,-3581,46318,24110,0.8,-3.79,3.17,-14.85
8,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2021-08-13,17319005713,559601434,3471978374,-67279139,-67279139,3.23,20.05,-0.39,15781252914,126446654,754029112,1292503740,1292503740,0.8,4.78,8.19,16,15945189411,450376676,2921595784,885005867,885005867,2.82,18.32,5.55,14547705662,222470766,1787751589,1219380463,1219380463,1.53,12.29,8.38,30,64459891270,1822364992,2944288629,214996493,1,2629,1304,0.57,0.11,0.61,0.12
9,23460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도,2021-08-17,117046233464,41743191442,-39254909464,32346365218,32346365218,35.66,-33.54,27.64,75935815062,11308454615,-21068405405,8375266115,8375266115,14.89,-27.75,11.03,2188,62008475075,12225570643,-75735507897,7797056441,7797056441,19.72,-122.14,12.57,58047810668,-10725192635,-67475419346,-10024936409,-10024936409,-18.48,-116.24,-17.27,-118,308789569737,55610775660,-9806763425,29442437096,791,8458,3618,6.66,5.28,25.87,21.87
