,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2018_3,Quarter_Operating_Profit2018_3,Quarter_Cashflow2018_3,Quarter_Earn2018_3,Quarter_Continue_Earn2018_3,Quarter_Percent_Operating_Profit2018_3,Quarter_Percent_Cashflow2018_3,Quarter_Percent_Earn2018_3,Quarter_Revenue2017_12,Quarter_Operating_Profit2017_12,Quarter_Cashflow2017_12,Quarter_Earn2017_12,Quarter_Continue_Earn2017_12,Quarter_Percent_Operating_Profit2017_12,Quarter_Percent_Cashflow2017_12,Quarter_Percent_Earn2017_12,Quarter_Full_EPS,Last_Revenue2017_3,Last_Operating_Profit2017_3,Last_Cashflow2017_3,Last_Earn2017_3,Last_Continue_Earn2017_3,Last_Percent_Operating_Profit2017_3,Last_Percent_Cashflow2017_3,Last_Percent_Earn2017_3,Last_Revenue2016_12,Last_Operating_Profit2016_12,Last_Cashflow2016_12,Last_Earn2016_12,Last_Continue_Earn2016_12,Last_Percent_Operating_Profit2016_12,Last_Percent_Cashflow2016_12,Last_Percent_Earn2016_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
0,660,KOSPI,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,"박정호, 이석희 (각자대표)",http://www.skhynix.com,경기도,2018-05-15,8719691000000.0,4367338000000.0,4523576000000.0,3121329000000.0,0.0,50.09,51.88,35.8,9027553000000.0,4465834000000.0,4786534000000.0,3218793000000.0,0.0,49.47,53.02,35.66,17148.0,6289518000000.0,2467599000000.0,2820020000000.0,1897969000000.0,0.0,39.23,44.84,30.18,5357686000000.0,1536139000000.0,1979763000000.0,1626665000000.0,0.0,28.67,36.95,30.36,10428.0,30109434000000.0,13721326000000.0,14690614000000.0,10641512000000.0,14617.0,53978.0,46458.0,23.2,23.43,31.77,31.46,10.860000000000007,20.799999999999997,38.63846164364265,
1,12320,KOSPI,경동인베스트,기타 금융업,지주회사,1997-03-07,12월,정승진,http://www.kdinvest.co.kr,경기도,2018-05-15,60892556171.0,27683614531.0,20185140427.0,27433344321.0,27433344321.0,45.46,33.15,45.05,103403284260.0,41751150150.0,6378697781.0,14058492267.0,16744888699.0,40.38,6.17,13.6,46396.0,26366989153.0,-571238651.0,76086931015.0,9179681445.0,-835122194.0,-2.17,288.57,34.82,55976052938.0,-3114563272.0,18971672157.0,-1133297692.0,42506497976.0,-5.56,33.89,-2.02,15524.0,195069859267.0,36380461912.0,60158090480.0,49244463136.0,20822.0,198410.0,169306.0,16.5,8.22,23.38,12.3,47.63,45.940000000000005,130.9423947408562,
2,26890,KOSPI,디피씨,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전자레인지용 고압변성기,리엑터,디지탈위성방송수신기 제조",1997-11-25,12월,"도용환, 이태고",http://www.dpc.co.kr,경기도,2018-05-14,42867842722.0,5773452604.0,859149219.0,4626837867.0,4626837867.0,13.47,2.0,10.79,41831780872.0,4099076251.0,-5082360116.0,1860097865.0,2148344222.0,9.8,-12.15,4.45,444.0,35637815019.0,2584690824.0,-1622179804.0,1873901580.0,2342517979.0,7.25,-4.55,5.26,34551389224.0,697156133.0,-3120394106.0,1583314116.0,-2958757815.0,2.02,-9.03,4.58,176.0,154801276443.0,12204401725.0,-9782637231.0,6982984718.0,167.0,3388.0,3327.0,9.59,3.68,13.1,5.04,6.220000000000001,7.780000000000001,20.28751678279202,
3,6400,KOSPI,삼성SDI,일차전지 및 축전지 제조업,"2차전지, 전자재료 제조 판매",1979-02-27,12월,전영현,http://www.samsungsdi.co.kr,경기도,2018-05-15,1908874317210.0,71968640041.0,-186040044212.0,160273440564.0,0.0,3.77,-9.75,8.4,1854465695585.0,118598180772.0,40266208662.0,254036193323.0,239993715353.0,6.4,2.17,13.7,9388.0,1304805917367.0,-67324560137.0,51151788909.0,80848450127.0,0.0,-5.16,3.92,6.2,1302885124799.0,-58019732552.0,-58038137448.0,7510142684.0,1529397854005.0,-4.45,-4.45,0.58,4736.0,6321560921969.0,116894786518.0,-250114337079.0,657236340934.0,9627.0,173447.0,167758.0,3.89,4.17,5.41,5.74,8.93,10.850000000000001,46.29565146837811,
4,5930,KOSPI,삼성전자,통신 및 방송 장비 제조업,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",1975-06-11,12월,"김기남, 김현석, 고동진",http://www.sec.co.kr,경기도,2018-05-15,60563714000000.0,15642170000000.0,15616352000000.0,11688544000000.0,11688544000000.0,25.83,25.78,19.3,65978412000000.0,15146971000000.0,21691546000000.0,11412953000000.0,12255131000000.0,22.96,32.88,17.3,7704.0,50547526000000.0,9898361000000.0,10597271000000.0,7488532000000.0,7684354000000.0,19.58,20.96,14.81,53331740000000.0,9220821000000.0,10985912000000.0,6917181000000.0,26548696000000.0,17.29,20.6,12.97,4936.0,239575376000000.0,53645038000000.0,62162041000000.0,41344569000000.0,6815.0,37428.0,35356.0,14.71,13.7,20.58,19.28,6.25,5.670000000000002,19.81538720609195,
5,1820,KOSPI,삼화콘덴서,전자부품 제조업,콘덴서(축전기) 제조,1976-06-26,12월,"오영주, 박진",http://www.samwha.com,경기도,2018-05-15,55727567865.0,13130985951.0,6859029230.0,10062869588.0,0.0,23.56,12.31,18.06,52662757972.0,5239496727.0,3155648132.0,3366036793.0,0.0,9.95,5.99,6.39,3872.0,46776602334.0,4274921530.0,616552447.0,3371364132.0,0.0,9.14,1.32,7.21,45959087449.0,2374450387.0,5560646860.0,1059060983.0,0.0,5.17,12.1,2.3,1296.0,199316582434.0,22049380992.0,20710309716.0,15519396634.0,1492.0,8013.0,6638.0,25.15,11.27,48.32,22.49,14.419999999999998,4.779999999999999,19.13556155080958,
6,16590,KOSPI,신대양제지,"골판지, 종이 상자 및 종이용기 제조업","골판지용 골심지,라이너지 제조,수출입",1995-12-21,12월,"권혁홍, 권택환, 이상천 (각자 대표이사)",http://www.dygroup.co.kr,경기도,2018-05-15,173961127806.0,21065445823.0,16719096557.0,15233214189.0,15233214189.0,12.11,9.61,8.76,145344022808.0,18772489617.0,22943820009.0,23777600144.0,23604615951.0,12.92,15.79,16.36,15116.0,84232685844.0,3207027976.0,8043483832.0,2115268091.0,1796994073.0,3.81,9.55,2.51,82651100550.0,4698759910.0,-17640248465.0,1875853167.0,12979806286.0,5.69,-21.34,2.27,2096.0,512805673153.0,28760715467.0,19125410860.0,27336770943.0,6782.0,136539.0,103110.0,6.64,3.77,11.07,6.58,8.299999999999999,7.2299999999999995,106.52449350621231,
7,6740,KOSPI,영풍제지,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,지관원지,라이나원지 제조",1996-07-03,12월,이관형,http://www.yp21.co.kr,경기도,2018-05-15,28442112805.0,3781549249.0,4768010710.0,3248608800.0,0.0,13.3,16.76,11.42,27342578360.0,2433037348.0,6535434783.0,3274818681.0,0.0,8.9,23.9,11.98,584.0,24360679392.0,-263515736.0,490633237.0,183950250.0,0.0,-1.08,2.01,0.76,22701262314.0,-75122390.0,1268557188.0,67005658.0,0.0,-0.33,5.59,0.3,32.0,105060838714.0,3290591594.0,3935903035.0,3878541878.0,174.0,4668.0,4399.0,9.53,3.03,12.51,3.97,14.38,9.23,16.75418549426965,
8,700,KOSPI,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업,지주사업,1956-03-03,12월,송영규,http://www.eusu-holdings.com,서울특별시,2018-05-15,105219018549.0,16209652346.0,-9338580922.0,11338695467.0,11338695467.0,15.41,-8.88,10.78,156439090387.0,41441549626.0,31040334629.0,-15773852655.0,10828852882.0,26.49,19.84,-10.08,1740.0,76987422240.0,600756337.0,-18224260386.0,-2221574776.0,-2109066484.0,0.78,-23.67,-2.89,85615829931.0,-1781206182.0,2645859699.0,-1983226555.0,7909315583.0,-2.08,3.09,-2.32,-340.0,433552428977.0,57913544423.0,28729116272.0,-4250350577.0,-163.0,12013.0,11220.0,7.9,-0.82,14.48,-1.45,14.63,28.57,36.67040081039607,
9,6490,KOSPI,인스코비,전기 통신업,"시계,스마트그리드,도소매,소프트웨어개발",1985-01-17,12월,"유인수, 구자갑 (각자 대표이사)",http://www.inscobee.com,서울특별시,2018-05-15,14686115579.0,1883267392.0,4164167817.0,1928063578.0,0.0,12.82,28.35,13.13,15798550811.0,958679802.0,1882921091.0,1482655106.0,0.0,6.07,11.92,9.38,68.0,11739233982.0,56958261.0,-339112258.0,276426403.0,0.0,0.49,-2.89,2.35,9850101620.0,-350821680.0,-88790438.0,-3148434602.0,0.0,-3.56,-0.9,-31.96,8.0,49566496852.0,-199907612.0,1475493233.0,-511438004.0,-4.0,366.0,322.0,12.93,-1.08,18.57,-1.46,12.33,9.63,25.1028440315485,
