,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2019_3,Quarter_Operating_Profit2019_3,Quarter_Cashflow2019_3,Quarter_Earn2019_3,Quarter_Continue_Earn2019_3,Quarter_Percent_Operating_Profit2019_3,Quarter_Percent_Cashflow2019_3,Quarter_Percent_Earn2019_3,Quarter_Revenue2018_12,Quarter_Operating_Profit2018_12,Quarter_Cashflow2018_12,Quarter_Earn2018_12,Quarter_Continue_Earn2018_12,Quarter_Percent_Operating_Profit2018_12,Quarter_Percent_Cashflow2018_12,Quarter_Percent_Earn2018_12,Quarter_Full_EPS,Last_Revenue2018_3,Last_Operating_Profit2018_3,Last_Cashflow2018_3,Last_Earn2018_3,Last_Continue_Earn2018_3,Last_Percent_Operating_Profit2018_3,Last_Percent_Cashflow2018_3,Last_Percent_Earn2018_3,Last_Revenue2017_12,Last_Operating_Profit2017_12,Last_Cashflow2017_12,Last_Earn2017_12,Last_Continue_Earn2017_12,Last_Percent_Operating_Profit2017_12,Last_Percent_Cashflow2017_12,Last_Percent_Earn2017_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2019-05-15,277533069068.0,7028058594.0,-22131669556.0,127477125156.0,0.0,2.53,-7.97,45.93,274368896903.0,-36534574757.0,63353128645.0,-9007750716.0,0.0,-13.32,23.09,-3.28,10888.0,258787776363.0,4250327841.0,-23469830203.0,6122863783.0,0.0,1.64,-9.07,2.37,219049714635.0,-1645624604.0,-8093847834.0,570661087.0,0.0,-0.75,-3.69,0.26,520.0,1056691254095.0,-21281686850.0,-74845911546.0,1133299467.0,24.0,8661.0,10503.0,31.37,0.04,125.7,0.23
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2019-05-15,996841859461.0,97400377205.0,168249966105.0,69738517601.0,0.0,9.77,16.88,7.0,879645844788.0,36063540448.0,92088307605.0,20239368531.0,0.0,4.1,10.47,2.3,21048.0,916581626996.0,97492598230.0,87092804426.0,70614284027.0,0.0,10.64,9.5,7.7,910651828911.0,55942037393.0,127705005055.0,26130010299.0,0.0,6.14,14.02,2.87,21312.0,3711183102751.0,269717896055.0,317257800609.0,206620398931.0,15592.0,114341.0,111229.0,6.42,6.08,18.41,14.02
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2019-05-15,50560983935.0,363694027.0,-360814386.0,2022782450.0,0.0,0.72,-0.71,4.0,51792876008.0,2307097317.0,-943441128.0,4599322992.0,3535195856.0,4.45,-1.82,8.88,84.0,42975651931.0,562663438.0,2234924647.0,14383329420.0,0.0,1.31,5.2,33.47,42309367080.0,3867067340.0,59414262418.0,3311173288150.0,37377741235.0,9.14,140.43,7826.1,600.0,220593918847.0,29473341965.0,-29202164098.0,48268947949.0,504.0,15710.0,15834.0,0.5,2.97,0.53,3.18
3,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2019-05-15,39225789153.0,5125631174.0,-3222552665.0,2463229578.0,0.0,13.07,-8.22,6.28,51357881789.0,6576962488.0,24450555660.0,-5898064301.0,0.0,12.81,47.61,-11.48,45772.0,49783600612.0,3473265612.0,15489462041.0,6398229070.0,0.0,6.98,31.11,12.85,56018402295.0,4143047603.0,15600444949.0,-17374261.0,0.0,7.4,27.85,-0.03,118896.0,197864080352.0,21346820739.0,49052410181.0,9099713398.0,42274.0,1876362.0,1892663.0,1.38,1.23,2.44,2.23
4,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2019-05-15,7794949406000.0,343270016000.0,753972752000.0,114251468000.0,0.0,4.4,9.67,1.47,7800635964000.0,283237636000.0,927201094000.0,-911156728000.0,0.0,3.63,11.89,-11.68,15664.0,6974159438000.0,341537892000.0,336687841000.0,86674329000.0,0.0,4.9,4.83,1.24,6978877832000.0,264733543000.0,902817483000.0,-9209167000.0,0.0,3.79,12.94,-0.13,11880.0,29523435477000.0,1332475208000.0,1541092351000.0,276055458000.0,9461.0,464425.0,429192.0,1.15,0.87,3.37,2.2
5,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2019-05-15,464613501779.0,23514703158.0,122232761458.0,-8572301298.0,0.0,5.06,26.31,-1.85,450383691117.0,25615723476.0,35737033216.0,-121374994042.0,0.0,5.69,7.93,-26.95,-904.0,441179496219.0,19175702246.0,26200712563.0,-5308423998.0,0.0,4.35,5.94,-1.2,454067093253.0,42603884184.0,96858379972.0,-14922986653.0,0.0,9.38,21.33,-3.29,-560.0,1769356467477.0,77706738825.0,108733820274.0,-140652921745.0,-3715.0,15330.0,14534.0,-0.81,-6.3,-5.9,-25.56
6,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시,2019-05-15,2432724848781.0,45346970499.0,82778447922.0,-12536212507.0,0.0,1.86,3.4,-0.52,2515159483227.0,87410351540.0,6814518384.0,5937471537.0,0.0,3.48,0.27,0.24,-2196.0,2001464084617.0,45309840533.0,-16177234818.0,34150384146.0,0.0,2.26,-0.81,1.71,1934427780093.0,60031965819.0,72010358060.0,11443001417.0,0.0,3.1,3.72,0.59,5984.0,9219680477069.0,242686925620.0,61914215815.0,52667426926.0,2308.0,159541.0,137226.0,-0.56,0.67,-1.38,1.68
7,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2019-05-15,37282184090.0,209921255.0,1334557519.0,-435435813.0,0.0,0.56,3.58,-1.17,40095983362.0,1909709588.0,-8658545469.0,1202243803.0,0.0,4.76,-21.59,3.0,-48.0,38216055861.0,1557788352.0,-4811672371.0,717543113.0,0.0,4.08,-12.59,1.88,39424648477.0,2503722836.0,6134989576.0,1896343126.0,0.0,6.35,15.56,4.81,76.0,150703085038.0,4134078737.0,-1044998091.0,2154613534.0,59.0,1720.0,1709.0,-1.26,1.7,-2.79,3.49
8,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2019-05-15,5017753362000.0,179063297000.0,239997346000.0,40940401000.0,0.0,3.57,4.78,0.82,4922148208000.0,172652153000.0,379047681000.0,-50906756000.0,0.0,3.51,7.7,-1.03,9996.0,4348588146000.0,210257123000.0,84591963000.0,72149886000.0,0.0,4.84,1.95,1.66,4291089837000.0,150389606000.0,419857072000.0,15151933000.0,0.0,3.5,9.78,0.35,17616.0,18670059989000.0,832709680000.0,471425123000.0,925388625000.0,56489.0,511922.0,446123.0,0.67,4.75,1.95,12.66
9,590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도,2019-05-15,32400365565.0,3369677298.0,-269254742.0,3863645441.0,3863645441.0,10.4,-0.83,11.92,32127797297.0,3908474230.0,5454930088.0,-2900110610.0,3466575199.0,12.17,16.98,-9.03,13384.0,30158932705.0,3124463155.0,2468790988.0,1684217103.0,3438384864.0,10.36,8.19,5.58,27945447001.0,4142953246.0,6268637139.0,738527585.0,1220666872.0,14.83,22.43,2.64,5832.0,122550868578.0,13319440370.0,10186160370.0,6274463625.0,5435.0,241121.0,238002.0,5.13,2.06,5.55,2.28
