,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Full_EPS,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2022-03-21,231171942223,15256320579,-5686381096,441362225,0,6.6,-2.46,0.19,282629912166,14616152581,-5631691222,57008816525,0,5.17,-1.99,20.17,36,177672260254,-2483940918,42204489753,-781129047,0,-1.4,23.75,-0.44,235143330680,8808893582,-24478532480,-7488311923,0,3.75,-10.41,-3.18,-64,1017050375182,22952778020,17725957273,-3316812122,-70,7742,6151,0.12,-0.21,0.46,-1.15
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2022-03-21,813056493209,-44163235011,11322020902,-51881064486,0,-5.43,1.39,-6.38,832394999551,-64696959257,-21088258693,-76964276131,0,-7.77,-2.53,-9.25,-15660,643708548233,-85728772736,548413581,-24139905133,0,-13.32,0.09,-3.75,644766854810,-31870706975,-192264886597,-52944613989,0,-4.94,-29.82,-8.21,-7284,2619977218245,-221554817267,-191716473016,-265775058035,-20057,90737,93842,-4.56,-6.4,-17.26,-21.37
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2022-03-21,58086221789,1317315492,322496543,20950431992,1832573980,2.27,0.56,36.07,57977763514,7976988137,1202178052,11757116140,7828269622,13.76,2.07,20.28,872,39971706979,1705991712,-888454194,1484429162,-5577977320,4.27,-2.22,3.71,45352011259,10047333847,22238730428,17388927046,11643387959,22.15,49.04,38.34,60,154381286305,14640997513,21350276234,27242581196,284,18103,16058,4.21,1.64,4.82,1.77
3,282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시,2022-03-21,1742951326656,49669908433,116327471645,35667473798,0,2.85,6.67,2.05,1836557490898,69492697893,421820188274,49310415104,0,3.78,22.97,2.68,8252,1556280875033,35553518237,120837905557,26163559364,0,2.28,7.76,1.68,1682728482193,63611289546,386503554698,51497670068,0,3.78,22.97,3.06,6052,6181269419288,162204243583,507341460255,122711267434,7099,46826,40317,5.49,5.18,17.62,17.61
4,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2022-03-17,49507767823,9976010595,18468425497,12620010995,0,20.15,37.3,25.49,40123665950,7436130834,17239003656,5878339954,0,18.53,42.96,14.65,80824,44613422439,6357761037,16474182564,7305281470,0,14.25,36.93,16.37,36828020489,5843421672,18934528555,2311971506,0,15.87,51.41,6.28,46784,161863377007,22940934002,35408711119,18291220715,29286,771436,724773,7.38,2.69,10.48,4.04
6,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2022-03-21,9283450155000,369278183000,1440931214000,77408896000,0,3.98,15.52,0.83,8852672790000,497557299000,1912259514000,52205467000,0,5.62,21.6,0.59,10612,8140707819000,338227690000,1166981449000,-156412523000,0,4.15,14.34,-1.92,8224388965000,429097362000,1865833331000,63221767000,0,5.22,22.69,0.77,-21444,31999102947000,1390340166000,3032814780000,86650258000,2969,564297,527714,0.74,0.22,1.88,0.56
7,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2022-03-21,240086610800,-43861058987,-2555239149,671046514,0,-18.27,-1.06,0.28,162067392039,-77491187745,-169321388438,-104538759685,0,-47.81,-104.48,-64.5,64,143347123656,-89691693095,-59769645954,-296374924742,0,-62.57,-41.7,-206.75,155194591978,-96814578843,-208674223667,-100353441817,0,-62.38,-134.46,-64.66,-29052,583443792479,-388660290864,-268443869621,-635415454273,-15571,7383,7055,0.07,-14.59,0.87,-220.72
8,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,2022-03-18,3057324943498,99833363582,113490699738,56938435640,0,3.27,3.71,1.86,2846489119659,105348308581,230652574660,36816213108,0,3.7,8.1,1.29,9980,2841266796236,90751893475,105648513134,31637224116,0,3.19,3.72,1.11,2774501972656,92537225846,466699130757,42193852536,0,3.34,16.82,1.52,5544,10781127150206,325337561292,572347643891,123030232111,5392,176037,177071,2.53,1.28,5.67,3.05
9,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2022-03-21,43912888948,391790781,-6809470485,-2402426168,0,0.89,-15.51,-5.47,41279206407,933346513,17720534993,1324530241,0,2.26,42.93,3.21,-264,39047272367,400503377,-2845209435,-184763543,0,1.03,-7.29,-0.47,38557444557,1271638777,6294286344,760040102,0,3.3,16.32,1.97,-20,149049673997,3962855959,3449076909,2105551748,58,1857,1822,-7.15,1.56,-14.21,3.2
10,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2022-03-21,6947815162000,236626243000,777040960000,200947298000,0,3.41,11.18,2.89,6854085659000,433155309000,909368297000,211221770000,0,6.32,13.27,3.08,49064,6151437566000,296616905000,560752498000,-12694356000,0,4.82,9.12,-0.21,6342466685000,402139040000,1440999675000,189178038000,0,6.34,22.72,2.98,-3096,24245725654000,1359551440000,2001752173000,786425538000,48006,659691,620601,2.99,3.07,7.44,7.74
11,590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도,2022-03-17,42834957756,4164217943,-2866967903,1942932947,2369162188,9.72,-6.69,4.54,38250687403,5465617961,10980472511,5802206104,8356913211,14.29,28.71,15.17,6732,32488441206,3335928769,7541372702,-973595042,8421255634,10.27,23.21,-3.0,30142513165,3050174171,11937440063,1202968751,1878111001,10.12,39.6,3.99,-3372,131637084502,15901269821,14806587360,7637836367,6616,270437,256028,2.2,2.36,2.49,2.58
12,12030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시,2022-03-22,88609649776,2767318597,7896112601,2453271528,2453271528,3.12,8.91,2.77,84466794692,4705609304,10691412169,4803870926,4803870926,5.57,12.66,5.69,48,74586105066,6355567611,5745884258,-8005223537,7430519358,8.52,7.7,-10.73,63192449027,4166060614,12448303052,2205998939,2205998939,6.59,19.7,3.49,-156,272445840062,26874196003,18194187310,6271086203,31,2176,1559,1.6,1.33,2.21,2.0
13,16610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,2022-03-21,367855453111,138146823747,169150979699,117372295503,117372295503,37.55,45.98,31.91,328439857760,118979516396,223978135091,92666034218,92666034218,36.23,68.19,28.21,10552,227818846946,30403226651,95699925876,13565936085,164432197016,13.35,42.01,5.95,240646806647,67126286680,214282703898,47042231413,47042231413,27.89,89.04,19.55,1216,935919766484,239335181312,309982629774,166025591077,3732,24863,17862,30.29,14.09,42.44,20.89
16,139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시,2022-03-17,232445489916,12850631663,12913754234,10399212773,0,5.53,5.56,4.47,190079287198,10518241209,11935143625,8298267289,0,5.53,6.28,4.37,16568,172932543838,6075935013,20074387567,4013646069,0,3.51,11.61,2.32,164779995729,7265372906,14430651237,1211820001,0,4.41,8.76,0.74,6392,679668085533,26370789955,34505038804,19569995042,7795,228449,205808,4.19,2.22,7.25,3.79
18,210,KOSPI,DL,기타 금융업,지주회사,1976-02-02,12월,전병욱,http://www.dlholdings.co.kr,서울특별시,2022-03-17,671706495384,33945792791,55148276429,6247890894,0,5.05,8.21,0.93,622568209394,74541521721,245629864250,91133730566,0,11.97,39.45,14.64,1192,430639761275,15611497216,784193773529,-76788178486,0,3.63,182.1,-17.83,391212290032,59844891022,581991432043,203737928006,0,15.3,148.77,52.08,-14656,1566148811684,119049765679,1366185205572,504976143095,24098,216194,153252,0.3,3.63,0.55,15.72
19,1880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시,2022-03-15,634216632515,59634309932,137560610279,47022706163,0,9.4,21.69,7.41,464777328419,53101983737,-57210420019,38012339219,0,11.43,-12.31,8.18,8528,508994303368,34150384707,80751901978,15753560534,0,6.71,15.86,3.1,460162956615,53099564207,78380549643,43635449456,0,11.54,17.03,9.48,2856,1734637383766,203361674104,159132451621,149320163315,6770,43431,36356,11.27,9.97,19.64,18.62
