,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
203,9320,KOSPI,대우부품,자동차 신품 부품 제조업,"전해콘덴서,복합부품,전자튜너 제조",1989-08-25,12월,"서준교,서중호(각자 대표)",http://www.dwecc.com,전라북도,2022-08-16,47590865,26805324305,683815170,1057090048,195297248,0,2.55,3.94,0.73,27284264737,-783430726,1878091922,-1082418236,0,-2.87,6.88,-3.97,16,21906067793,480018516,1449356562,601389192,0,2.19,6.62,2.75,22516107211,-1444266219,3742740365,-3207386172,0,-6.41,16.62,-14.24,48,99183663204,1078204340,4167235988,-40457514,0,716,734,0.86,-0.04,2.23,-0.12
204,42660,KOSPI,대우조선해양,선박 및 보트 건조업,선박 제조,2001-02-02,12월,박두선,http://www.dsme.co.kr,경상남도,2022-08-16,107249965,1245450625773,-470105391572,-725825806872,-491797923196,0,-37.75,-58.28,-39.49,1355717081338,-515335493962,28365932383,-398401723833,0,-38.01,2.09,-29.39,-18340,1101761744241,-212897416778,84684705470,-234703011955,0,-19.32,7.69,-21.3,1664823384107,-232528157285,-178230978397,-178219635208,0,-13.97,-10.71,-10.71,-8752,4486585681366,-1754651375507,485786909235,-1699829429734,-15849,12742,20676,-17.65,-16.0,-143.93,-76.65
205,3090,KOSPI,대웅,기타 금융업,"지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매",1973-06-26,12월,윤재춘,http://www.daewoong.com/,경기도,2022-08-16,58142476,397540574048,47113649283,28941005016,23448544529,0,11.85,7.28,5.9,405066723613,46879831889,44530041550,30422185542,0,11.57,10.99,7.51,1612,348537037553,44288976301,11039805534,3160378390,0,12.71,3.17,0.91,344889644008,27481799141,27221126329,57207136814,0,7.97,7.89,16.59,216,1511373580813,182627158402,133175353198,78807737167,1355,21148,19899,4.63,4.08,7.62,6.81
206,69620,KOSPI,대웅제약,의약품 제조업,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",2002-11-01,12월,"전승호, 이창재",http://www.daewoong.co.kr,경기도,2022-08-16,11586681,298355703039,23048512020,24493589398,13618707385,0,7.73,8.21,4.56,303017291741,24931018183,17079207221,30673976167,0,8.23,5.64,10.12,4700,269617086210,22556821545,-870742674,-23106594288,0,8.37,-0.32,-8.57,267243035450,8718321849,22752318138,17551672335,0,3.26,8.51,6.57,-7976,1152975698170,88902176601,39994278512,24661003500,2128,64146,60621,3.7,1.74,7.33,3.51
207,430,KOSPI,대원강업,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",1977-06-22,12월,"허재철, 김항수",http://www.dwku.com,충청남도,2022-08-16,62006704,234182377795,3149378757,9473364956,-831683813,0,1.34,4.05,-0.36,217791680398,-448342446,6767737505,7782523931,0,-0.21,3.11,3.57,-52,222076700067,-1128920544,-16086017268,-1470866976,0,-0.51,-7.24,-0.66,265873250763,4010914003,17840994583,1851240097,0,1.51,6.71,0.7,-92,862222796887,-4958511406,14375102012,-6886666947,-111,9298,9305,-0.34,-0.7,-0.56,-1.19
208,6340,KOSPI,대원전선,절연선 및 케이블 제조업,"전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대",1988-05-04,12월,서명환,http://www.daewoncable.co.kr,충청남도,2022-08-12,71972498,129927903525,1722824329,2488406168,1421976993,0,1.33,1.92,1.09,137027387592,-537656723,-1095355854,-297122251,0,-0.39,-0.8,-0.22,76,101503122482,1841083960,-9430469273,1177734228,0,1.81,-9.29,1.16,106796358658,2016029113,-16221183439,740142107,0,1.89,-15.19,0.69,64,474978486706,2295663054,-9431376822,1304381307,18,1242,1217,2.14,0.54,6.12,1.49
209,3220,KOSPI,대원제약,의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",1999-12-15,12월,"백승호,백승열",http://www.daewonpharm.com,서울특별시,2022-08-16,21845535,117056615266,13920988565,9210777037,10505252315,0,11.89,7.87,8.97,100958239652,10713698733,11987065363,5748744479,0,10.61,11.87,5.69,1920,74993570919,-2270701307,-6101970534,-8080616002,0,-3.03,-8.14,-10.78,77467918283,1565361833,7534463550,2190509202,0,2.02,9.73,2.83,-1476,354176435161,19425905258,22413390635,6988825613,319,10466,9997,9.12,1.63,18.34,3.2
210,24890,KOSPI,대원화성,플라스틱제품 제조업,"합성피혁,벽지,DMF(폐용수)정제,방수투습원단,화공약 임가공,제조,도매,수출입",1997-10-28,12월,강동엽,http://www.daewon21.co.kr,서울특별시,2022-08-16,41258102,34838608393,1170533909,-5310939395,-575751549,0,3.36,-15.24,-1.65,31822500403,-8210022104,-1116198699,-7122926282,0,-25.8,-3.51,-22.38,-52,27443320018,404080088,-1545354208,91245199,0,1.47,-5.63,0.33,29882985131,-772153318,540966299,-2446827130,0,-2.58,1.81,-8.19,8,113339078287,-8431253759,-7359460547,-7005538442,-169,1547,1721,-1.57,-5.16,-3.36,-9.87
211,2880,KOSPI,대유에이텍,자동차 신품 부품 제조업,자동차부품(자동차용 시트)제조,1977-02-18,12월,권의경,http://www.dayouat.co.kr,광주광역시,2022-08-16,115101228,323716189570,-24525573034,-57744372315,-7098792252,-22747401087,-7.58,-17.84,-2.19,475278623566,17526984756,55306040238,-16712809902,-4528512416,3.69,11.64,-3.52,-244,366262143006,-594120971,-63906449896,3415766763,1374207819,-0.16,-17.45,0.93,439537807018,24463521622,87287736343,-8761537565,-9528031417,5.57,19.86,-1.99,116,1655785868294,42271370549,-22033419709,-15036669095,-130,928,1648,-2.29,-1.14,-26.27,-7.93
212,300,KOSPI,대유플러스,통신 및 방송 장비 제조업,"유,무선 통신장비",1975-06-09,12월,조상호,http://www.dayouplus.co.kr,광주광역시,2022-08-16,121010528,119275094771,6066718243,-27769446684,3517636111,0,5.09,-23.28,2.95,145410722433,2904290924,12158722554,-2761892498,0,2.0,8.36,-1.9,116,123325577333,3065098524,-11328423191,2583013839,0,2.49,-9.19,2.09,114112274187,4592032940,23098004194,-1254260003,0,4.02,20.24,-1.1,84,511973797943,13157340613,-13743011381,1985111466,16,1120,1147,2.28,0.33,10.36,1.43
