,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
0,7700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,2022-08-16,39113363.0,371741621084.0,73954859405.0,146874703929.0,15841967005.0,53324382087.0,19.89,39.51,4.26,438218951041.0,136578277681.0,124396487465.0,28170737144.0,95169185323.0,31.17,28.39,6.43,1620.0,8816263417.0,423398708.0,124789809095.0,1800050487699.0,4191226473.0,4.8,1415.45,20417.39,8011589603.0,1390583663.0,84249778243.0,56511719844.0,2088643476.0,17.36,1051.6,705.37,184084.0,727126345365.0,223050455460.0,279947856820.0,1912061597858.0,48885.0,127450.0,59169.0,1.01,65.65,1.27,82.62,15.09,13.810000000000002,4116.543942722804,79.79230643492468,19800,774444587400,12.22,51300,0.28,1.05,3.37,226.09,354.55,2021-05-20,158.61,159.09,2021-08-20
1,322000,KOSPI,현대에너지솔루션,반도체 제조업,"태양광 셀·모듈, PV시스템, ESS",2019-11-19,12월,박종환,http://www.hyundai-es.co.kr/,경기도,2022-08-16,11200298.0,264053648031.0,23770035799.0,-34157373669.0,16214415808.0,0.0,9.0,-12.94,6.14,176087540879.0,7735516263.0,-31957698626.0,5589156937.0,0.0,4.39,-18.15,3.17,5788.0,146328637813.0,2902402017.0,-23117832120.0,2578241146.0,0.0,1.98,-15.8,1.76,90094067963.0,1569327185.0,-15462339195.0,-280418244.0,0.0,1.74,-17.16,-0.31,920.0,593163581874.0,9494797191.0,36486270987.0,-6655574104.0,-594.0,59637.0,28599.0,5.67,-1.1,9.71,-2.08,7.02,2.6499999999999995,80.45247463346588,-24.634205830611485,53000,593615794000,9.16,58600,63.7,-98.65,10.67,186.55,10.57,2022-08-08,179.22,10.57,2022-08-08
2,11930,KOSPI,신성이엔지,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",1996-07-31,12월,"이지선, 안윤수",http://www.shinsungeng.com,경기도,2022-08-16,205875266.0,176109772013.0,10244875232.0,-1834539380.0,9650043402.0,7298759894.0,5.82,-1.04,5.48,137902788526.0,2868049866.0,-4105423913.0,-4908629849.0,0.0,2.08,-2.98,-3.56,184.0,99099462926.0,-5376195216.0,-26692962791.0,-6149230533.0,-6141969931.0,-5.43,-26.94,-6.21,75556779621.0,-1420606587.0,-22680936746.0,-2403128049.0,0.0,-1.88,-30.02,-3.18,-116.0,454523692263.0,2386598711.0,-21302798420.0,-15904395825.0,-77.0,1940.0,1010.0,3.92,-3.34,9.48,-7.64,11.25,3.96,77.71011750538496,41.533775749199215,2380,489983133080,12.93,2615,-22.54,-33.96,8.59,338.37,71.85,2020-11-10,44.88,9.87,2021-09-09
3,128820,KOSPI,대성산업,연료 소매업,"주요소운영,기계판매 등",2010-07-30,12월,"김영대,이은우(공동대표)",http://www.daesung.co.kr,서울특별시,2022-08-16,45239451.0,408632545334.0,877820369.0,1895700824.0,-2376041140.0,-3013294788.0,0.21,0.46,-0.58,458810186084.0,16422823883.0,13241249125.0,6922217140.0,8523848847.0,3.58,2.89,1.51,-208.0,248472171782.0,-1412837136.0,-23139712100.0,5071538839.0,7381762667.0,-0.57,-9.31,2.04,239976901101.0,5473975011.0,-9452305612.0,-249764892.0,1467678793.0,2.28,-3.94,-0.1,448.0,1129133659980.0,19343532632.0,-22278857829.0,-60948783298.0,-1347.0,22165.0,10187.0,-0.28,-3.69,-0.94,-13.22,0.7799999999999999,1.3000000000000005,64.45807287124234,113.2173513905223,5180,234340356180,-24.9,7120,15.89,-5.29,2.72,126.03,37.45,2022-06-08,63.42,37.45,2022-06-08
4,5010,KOSPI,휴스틸,1차 철강 제조업,"강관(배관용,구조용,유정용) 제조,도매",1973-06-29,12월,박훈,http://www.husteel.com,서울특별시,2022-08-12,39188500.0,240755397257.0,71890610372.0,76738476241.0,52945742561.0,0.0,29.86,31.87,21.99,197344884585.0,26634307763.0,7041068862.0,17260072686.0,0.0,13.5,3.57,8.75,5404.0,148082007803.0,13881735651.0,13290233889.0,12537602699.0,0.0,9.37,8.97,8.47,107244826402.0,628622485.0,10082264811.0,2308783128.0,0.0,0.59,9.4,2.15,1276.0,616505522303.0,63214154152.0,2864026520.0,37987133196.0,969.0,33960.0,15984.0,10.54,3.99,15.91,6.06,20.49,12.91,62.58247766149111,-97.67670688964031,5840,228860840000,1.08,5840,4.58,6.03,42.02,321.97,0.0,2022-08-12,103.56,0.0,2022-08-12
5,9190,KOSPI,대양금속,1차 철강 제조업,스테인레스 냉연강판 제조,1994-04-29,12월,조상종,http://www.daiyangmetal.co.kr,충청남도,2022-08-10,32356411.0,70823507724.0,8848512012.0,8899240600.0,9323287511.0,0.0,12.49,12.57,13.16,68951947165.0,10188800396.0,3341020178.0,9458549049.0,0.0,14.78,4.85,13.72,1152.0,44901724637.0,2592223380.0,-274306315.0,1824134086.0,0.0,5.77,-0.61,4.06,39572005485.0,1323518721.0,-401030881.0,1859419189.0,0.0,3.34,-1.01,4.7,224.0,203423901636.0,15188009078.0,-5352046822.0,15243418346.0,471.0,7052.0,3077.0,10.4,9.68,16.33,15.31,6.720000000000001,11.44,57.73003887169155,760.6525119456995,4110,132984849210,3.57,6140,27.41,13.04,11.96,451.43,369.59,2019-09-25,53.12,49.39,2021-09-06
