,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2022-08-12,46821382,284179621980,20170600561,-20087975335,9679744944,0,7.1,-7.07,3.41,295803640038,19242745659,2986064682,10854923388,0,6.51,1.01,3.67,824,254879092097,12911892019,10988026457,14507279034,0,5.07,4.31,5.69,240931609871,3854976431,-4407379720,4779675291,0,1.6,-1.83,1.98,1236,1026749457003,45109542821,-11318072318,76737133075,1638,15850,7742,1.4,5.66,5.2,21.17
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2022-08-16,13247873,979895702985,13823301718,-2785772387,-7452320721,0,1.41,-0.28,-0.76,819839856194,-46391573226,-94900791669,-48038859624,0,-5.66,-11.58,-5.86,-2248,839391120730,-17355129930,-15824954031,-21136907302,0,-2.07,-1.89,-2.52,682857038600,-39499619893,-17108375739,-48566833017,0,-5.78,-2.51,-7.11,-6380,3167699652090,-165714944091,-9766237791,-199326056742,-15045,177426,90758,-0.32,-4.38,-1.27,-16.58
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2022-08-16,95714252,111139336494,15330480526,-8369691593,23200477499,26469817700,13.79,-7.53,20.88,120062793464,1268970791,-9759188040,-6588018125,-7271993329,1.06,-8.13,-5.49,968,40134679705,11796258638,4821930649,7999975167,11076342120,29.39,12.01,19.93,38583769810,-3139478131,-5286372493,24830428142,-3004536270,-8.14,-13.7,64.35,332,206770625284,11499330314,1524674595,65537951441,684,36057,18103,2.38,3.31,2.68,3.78
3,282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시,2022-08-16,17282608,1918580371478,70795450039,337349868419,57388012445,0,3.69,17.58,2.99,1692224040773,37755069529,113369985099,25988985646,0,2.23,6.7,1.54,13280,1700416669794,58647738494,329464055123,46793613196,0,3.45,19.38,2.75,1501235771674,21631358848,76751157726,15871350141,0,1.44,5.11,1.06,10828,6781161259022,199441703668,538147659919,147642852239,8542,93892,46828,4.21,5.69,14.14,18.24
4,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2022-08-16,624596,43319446801,3362081973,5551494673,20620982836,0,7.76,12.82,47.6,35803053704,6822316333,1042829001,4878047056,0,19.06,2.91,13.62,132056,39522928414,3638019740,13872373604,4513556584,0,9.2,35.1,11.42,35291531602,5661185295,7015149253,6846960252,0,16.04,19.88,19.4,28904,164445893789,26711346464,35707429153,29858867785,47805,1587819,771398,5.9,4.36,8.32,6.2
6,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2022-08-16,29184633,10309493942000,688045316000,538846478000,111669665000,0,6.67,5.23,1.08,9117963877000,497813404000,-152147130000,82575588000,0,5.46,-1.67,0.91,15304,8336196776000,567470408000,961268582000,93133954000,0,6.81,11.53,1.12,8011706833000,447494209000,564389158000,52226070000,0,5.59,7.04,0.65,12764,34484026554000,1881800099000,3353190728000,274974387000,9421,1164952,564116,0.5,0.66,1.31,1.67
7,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2022-08-16,40867059,318459766203,-16163371622,69102913027,-60102873423,0,-5.08,21.7,-18.87,223264235642,-54943806015,-19144561431,-99377360313,0,-24.61,-8.57,-44.51,-5880,161679293473,-57251577151,-88758827832,-84509010233,0,-35.41,-54.9,-52.27,172482070347,-62841910134,-26274708971,-91830228083,0,-36.43,-15.23,-53.24,-8268,736315366659,-241445734017,-171876627587,-280206951487,-6856,6608,7372,-3.24,-7.4,-88.98,-93.0
8,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,2022-08-16,22815339,3136935075821,116129270715,73249162189,61538949431,0,3.7,2.34,1.96,2856952867961,75661609962,-104637311843,27024718929,0,2.65,-3.66,0.95,10788,2747234851621,90579287805,12018775410,-51812856856,0,3.3,0.44,-1.89,2692602872714,48119805699,2736643192,12800537143,0,1.79,0.1,0.48,-9080,11343651787492,343880765667,344143274398,54742329035,2399,354405,176037,1.34,0.61,3.04,1.36
9,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2022-08-16,36130566,32661290853,395829900,-7551402382,854756695,0,1.21,-23.12,2.62,39138080407,1481843663,-8201878266,1934304571,0,3.79,-20.96,4.94,92,35957627508,657481095,14950662316,674358781,0,1.83,41.58,1.88,40993228768,2516551899,2061081974,2607876109,0,6.14,5.03,6.36,72,162142951631,4499170288,10911064508,2204338963,61,3863,1857,1.21,1.65,2.38,3.28
