,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Revenue2021_6,Quarter_Operating_Profit2021_6,Quarter_Cashflow2021_6,Quarter_Earn2021_6,Quarter_Continue_Earn2021_6,Quarter_Percent_Operating_Profit2021_6,Quarter_Percent_Cashflow2021_6,Quarter_Percent_Earn2021_6,Quarter_Full_EPS,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Last_Revenue2020_6,Last_Operating_Profit2020_6,Last_Cashflow2020_6,Last_Earn2020_6,Last_Continue_Earn2020_6,Last_Percent_Operating_Profit2020_6,Last_Percent_Cashflow2020_6,Last_Percent_Earn2020_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
0,7700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,2022-03-17,145228649589.0,47162247463.0,97888780265.0,11094260545.0,35817304865.0,32.47,67.4,7.64,8816263417.0,423398708.0,124789809095.0,1800050487699.0,4191226473.0,4.8,1415.45,20417.39,1132.0,7056868431.0,1783620793.0,32704484239.0,8518083717.0,2271113110.0,25.27,463.44,120.71,3326586060.0,-2708108339.0,32700366625.0,14192249235.0,-1855400007.0,-81.41,983.0,426.63,868.0,837615841670.0,122578985908.0,154603146149.0,85794641507.0,2193.0,63735.0,14105.0,1.34,10.49,1.78,15.55,7.199999999999999,86.21,1957.975871436507,
1,11200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시,2022-03-21,4016361000000.0,2270761000000.0,4765491000000.0,2299801000000.0,0.0,56.54,118.65,57.26,2906707000000.0,1388943000000.0,2389287000000.0,210498000000.0,0.0,47.78,82.2,7.24,18804.0,1718484000000.0,277069000000.0,802910000000.0,24604000000.0,0.0,16.12,46.72,1.43,1375147000000.0,138716000000.0,404995000000.0,28109000000.0,0.0,10.09,29.45,2.04,200.0,6413270000000.0,980781000000.0,1408546000000.0,123889000000.0,253.0,26379.0,3452.0,32.96,1.32,71.28,7.34,40.42,37.69,133.7153560929284,
2,2380,KOSPI,KCC,기타 화학제품 제조업,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",1973-06-25,12월,"정몽진, 정재훈",http://www.kccworld.co.kr,서울특별시,2022-03-17,1489988423429.0,120038929586.0,234275920029.0,-245139087474.0,-232380271111.0,8.06,15.72,-16.45,1512674055904.0,116987233276.0,120009038614.0,366482788017.0,380919064539.0,7.73,7.93,24.23,-110344.0,1242970013486.0,16487443678.0,325470876814.0,-95552625037.0,-125851536943.0,1.33,26.18,-7.69,1243492723344.0,42915360669.0,213099114601.0,374479236388.0,348380735065.0,3.45,17.14,30.12,-43008.0,5083631492987.0,133845504026.0,679854398097.0,596399352651.0,67115.0,1260301.0,590354.0,-3.62,4.83,-8.76,11.37,6.73,4.28,19.87323968099752,
3,344820,KOSPI,KCC글라스,유리 및 유리제품 제조업,판유리 등,2020-01-21,12월,김내환,http://www.kccglass.co.kr,서울특별시,2022-03-17,269319622702.0,36476233530.0,186180577036.0,29743949745.0,0.0,13.54,69.13,11.04,305832217598.0,49267565061.0,127927135515.0,31029691638.0,0.0,16.11,41.83,10.15,7448.0,163523177458.0,8721289603.0,67098400758.0,10227228534.0,0.0,5.33,41.03,6.25,160734187528.0,2303145846.0,52245111673.0,4705265051.0,0.0,1.43,32.5,2.93,2560.0,708657396421.0,35839370802.0,109679809227.0,132349989001.0,8288.0,168942.0,82653.0,3.32,7.7,4.41,10.03,8.209999999999999,14.68,64.69813447159393,
4,9440,KOSPI,KC그린홀딩스,기타 금융업,"환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",1994-11-05,12월,이태영,http://www.kcgreenholdings.com,서울특별시,2022-03-23,174628992182.0,7983975278.0,8355789691.0,3554459969.0,0.0,4.57,4.78,2.04,182790359398.0,7546720665.0,-11227198841.0,10208755224.0,0.0,4.13,-6.14,5.58,632.0,156451601654.0,-1189749526.0,-59463277400.0,-432957151.0,0.0,-0.76,-38.01,-0.28,156389179916.0,-5819564773.0,-58606925308.0,-4899108966.0,0.0,-3.72,-37.48,-3.13,-76.0,680448181836.0,-47920726519.0,-58163136066.0,-36987172751.0,-1648.0,21822.0,9589.0,0.91,-4.87,2.9,-17.19,5.33,7.85,11.618539111028179,
5,92220,KOSPI,KEC,반도체 제조업,반도체 제조,2006-10-16,12월,박남규 김학남,http://www.kec.co.kr,서울특별시,2022-03-22,70853384954.0,9280440909.0,15848485074.0,14231806052.0,0.0,13.1,22.37,20.09,64447824717.0,7271272452.0,7730550873.0,-905483914.0,0.0,11.28,12.0,-1.4,392.0,54145070586.0,174094287.0,8486359402.0,-913196598.0,0.0,0.32,15.67,-1.69,43486182572.0,-1225311810.0,2008068480.0,-1673805858.0,0.0,-2.82,4.62,-3.85,-24.0,201046480872.0,-2337589190.0,14230533677.0,-45282067509.0,-312.0,2654.0,1165.0,7.39,-12.29,14.77,-26.83,12.78,14.1,30.85842198960985,
6,16380,KOSPI,KG동부제철,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,박성희,http://www.kgdongbusteel.co.kr,서울특별시,2022-03-16,915678164547.0,107644651219.0,-8103769022.0,73104069477.0,0.0,11.76,-0.89,7.98,837325553907.0,91698621683.0,45312161170.0,59751435488.0,0.0,10.95,5.41,7.14,2920.0,586979570709.0,33918726112.0,115949085497.0,23407141355.0,0.0,5.78,19.75,3.99,567436724281.0,27953084962.0,28424547168.0,27613098573.0,0.0,4.93,5.01,4.87,932.0,2342443590900.0,110778751212.0,130038502401.0,66811389544.0,667.0,21688.0,9719.0,5.62,2.96,13.46,6.87,5.9799999999999995,6.02,55.998302196611725,
7,1940,KOSPI,KISCO홀딩스,1차 철강 제조업,지주사업,1989-11-13,12월,"장세홍, 이병제 (각자대표)",http://www.kiscoholdings.co.kr,경상남도,2022-03-17,439254283055.0,63899044758.0,108753074656.0,33274802643.0,51518463963.0,14.55,24.76,7.58,428841723032.0,70682502977.0,33366984817.0,38522062899.0,60483226869.0,16.48,7.78,8.98,7204.0,252347555501.0,19049015100.0,93157093063.0,13001977251.0,20644534318.0,7.55,36.92,5.15,293812388293.0,32326969855.0,76143766562.0,20335284284.0,30308104527.0,11.0,25.92,6.92,2812.0,1064569447471.0,82681994091.0,142787635717.0,34525325678.0,1868.0,146747.0,72249.0,4.21,2.21,4.91,2.59,7.000000000000001,5.48,74.06718372322784,
8,79550,KOSPI,LIG넥스원,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,김지찬,http://www.lignex1.com,경기도,2022-03-18,458864655048.0,35481245615.0,-263584584344.0,40679718123.0,0.0,7.73,-57.44,8.87,439880720257.0,28800975331.0,-3272571288.0,22447021092.0,0.0,6.55,-0.74,5.1,7396.0,412302923842.0,8153683505.0,-207959220137.0,13190418680.0,0.0,1.98,-50.44,3.2,348944855740.0,7823992209.0,-15723189207.0,10678134563.0,0.0,2.24,-4.51,3.06,2396.0,1600344315019.0,63741639085.0,192104829697.0,57881698047.0,2631.0,65398.0,30568.0,2.92,2.23,11.31,8.61,5.75,4.31,11.293087803530367,
9,680,KOSPI,LS네트웍스,상품 종합 도매업,"혁화,의류,등산용품 도매,제조/부동산 임대",1973-11-15,12월,문성준,http://www.lsnetworks.co.kr,경상남도,2022-03-17,90692528506.0,-387476443.0,21602672966.0,15189970109.0,0.0,-0.43,23.82,16.75,101361682408.0,2713664908.0,25919235603.0,20871713968.0,0.0,2.68,25.57,20.59,768.0,73993676684.0,-18306368888.0,17463377178.0,3940842730.0,0.0,-24.74,23.6,5.33,90398116255.0,-3835589247.0,15773548844.0,7153659613.0,0.0,-4.24,17.45,7.91,200.0,334864620662.0,-32273793595.0,29302556344.0,-24705591334.0,-313.0,13684.0,6257.0,2.39,-2.01,5.61,-5.01,24.31,6.92,22.567944411405186,
