,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Full_EPS,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
116,116,35200,KOSDAQ,프럼파스트,플라스틱제품 제조업,주택건설용 플라스틱 배관,2002-01-15,12월,원재희,http://www.plumbfast.co.kr,대전광역시,2021-05-17,7474602997.0,500398117.0,-507281756.0,596915183.0,0.0,6.69,-6.79,7.99,7010021248.0,422674916.0,3805732071.0,402749756.0,402749756.0,6.03,54.29,5.75,204.0,6132722066.0,410540941.0,1545986925.0,324089073.0,0.0,6.69,25.21,5.28,6303347909.0,246091337.0,6831966230.0,263284652.0,578079700.0,3.9,108.39,4.18,120.0,25240245629.0,1508134473.0,3805732071.0,1497263711.0,153.0,3577.0,3600.0,4.98,3.91,5.7,4.27,0.0,2.1300000000000003,21.880674137173592,
112,112,84730,KOSDAQ,팅크웨어,통신 및 방송 장비 제조업,"내비게이션,블랙박스,태블릿 및 위치정보서비스",2006-05-19,12월,이흥복,http://www.thinkware.co.kr,경기도,2021-05-12,46913753342.0,1387490259.0,1313112979.0,1473451261.0,0.0,2.96,2.8,3.14,56127270861.0,6058564585.0,15673414777.0,4462020167.0,0.0,10.79,27.92,7.95,934.0,38547718966.0,153261089.0,-2099929923.0,326588671.0,0.0,0.4,-5.45,0.85,47579862387.0,4450609711.0,20441890458.0,1669007959.0,0.0,9.35,42.96,3.51,314.0,197566474255.0,12491643268.0,15673414777.0,8495617255.0,669.0,12899.0,12432.0,5.04,3.77,7.24,5.39,2.56,1.4399999999999995,21.703059481623388,
281,281,78600,KOSDAQ,대주전자재료,전자부품 제조업,"전도성페이스트,태양전지 페이스트,고분자재료,PIG,이차전지용음극재료",2004-12-10,12월,"임일지,임중규(각자대표)",http://www.daejoo.co.kr,경기도,2021-05-14,45994002425.0,5086120520.0,-4395727355.0,4910469081.0,0.0,11.06,-9.56,10.68,39296011683.0,1402362940.0,10103631570.0,-71637337.0,0.0,3.57,25.71,-0.18,624.0,37830648963.0,2506975379.0,2710213536.0,1728109429.0,0.0,6.63,7.16,4.57,32711811360.0,331590866.0,-6475448368.0,-450114222.0,0.0,1.01,-19.8,-1.38,164.0,154543468825.0,9021433663.0,10103631570.0,5079667426.0,328.0,5890.0,5635.0,4.46,2.47,10.59,5.82,4.430000000000001,2.56,21.57867677602917,
160,160,225530,KOSDAQ,보광산업,기타 비금속 광물제품 제조업,"콘크리트용 부순골재, 아스콘, 레미콘",2015-12-17,12월,김윤수,http://www.bokwangindustry.co.kr,대구광역시,2021-05-14,13677598411.0,1998349118.0,5992315738.0,1652328877.0,0.0,14.61,43.81,12.08,17565491985.0,5052191266.0,13752910269.0,5200705505.0,0.0,28.76,78.3,29.61,376.0,11252199863.0,541242753.0,4877336542.0,649597948.0,0.0,4.81,43.35,5.77,16054467385.0,3744657747.0,12731418970.0,2828869322.0,0.0,23.32,79.3,17.62,190.0,56898163497.0,9722258503.0,13752910269.0,8582617930.0,236.0,2331.0,2179.0,9.28,6.31,16.13,10.84,9.8,5.440000000000001,21.55488328975836,
87,87,24830,KOSDAQ,세원물산,자동차 신품 부품 제조업,라디에이터서포터,1994-12-29,12월,김도현,http://www.se-won.co.kr,경상북도,2021-05-17,44710458164.0,2430512953.0,8585790338.0,4584204962.0,0.0,5.44,19.2,10.25,56088020378.0,6058088227.0,83377888411.0,8045929573.0,0.0,10.8,148.66,14.35,3024.0,36848684954.0,1772236512.0,-8550037702.0,2241924056.0,0.0,4.81,-23.2,6.08,38381679700.0,4695422887.0,39771732861.0,4123573404.0,0.0,12.23,103.62,10.74,1524.0,155789891919.0,13960836040.0,83377888411.0,18360787792.0,2198.0,26218.0,24774.0,7.32,5.78,11.53,8.88,0.6300000000000008,-1.4299999999999995,21.335288409380777,-6.740288804526524
191,191,72990,KOSDAQ,에이치시티,기타 과학기술 서비스업,기술검사서비스,2016-10-17,12월,허 봉 재,http://www.hct.co.kr,경기도,2021-05-17,15098136099.0,3362726941.0,3979897734.0,2832427206.0,0.0,22.27,26.36,18.76,13915905153.0,2322011330.0,16302241398.0,3268130606.0,0.0,16.69,117.15,23.48,1742.0,12464779613.0,2165064207.0,2053869454.0,1780405196.0,0.0,17.37,16.48,14.28,13948071557.0,1370412388.0,11325721929.0,1199239359.0,0.0,9.83,81.2,8.6,850.0,53378373759.0,10444580424.0,16302241398.0,10334147290.0,1477.0,9212.0,8326.0,14.11,12.22,18.91,17.74,4.899999999999999,6.860000000000001,21.126378225360444,
422,422,126600,KOSDAQ,코프라,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,홍정혁,http://www.kopla.com,경기도,2021-05-13,47179660551.0,4102006963.0,6928453517.0,4528938377.0,0.0,8.69,14.69,9.6,45132513128.0,3768863912.0,20082098430.0,3522521859.0,0.0,8.35,44.5,7.8,762.0,38952090821.0,2680082340.0,9824102507.0,2579541934.0,0.0,6.88,25.22,6.62,47149061253.0,2123356609.0,17944258757.0,657547511.0,0.0,4.5,38.06,1.39,306.0,150917162206.0,11544639505.0,20082098430.0,12741803502.0,603.0,5926.0,5620.0,10.05,8.47,12.86,10.74,1.81,3.85,21.12228010508828,
138,138,60480,KOSDAQ,국일신동,1차 비철금속 제조업,황동봉,2014-12-29,12월,"김연경,손장원 (각자대표)",http://www.kukilmetal.com,경기도,2021-05-14,7087735391.0,528023211.0,-413760751.0,428886430.0,0.0,7.45,-5.84,6.05,7042000211.0,554321799.0,1515918548.0,559636626.0,0.0,7.87,21.53,7.95,178.0,5866422231.0,58681669.0,-100857476.0,55446286.0,0.0,1.0,-1.72,0.95,7096645233.0,-670095177.0,938744350.0,-535259714.0,0.0,-9.44,13.23,-7.54,-86.0,25189340421.0,-141097894.0,1515918548.0,93734187.0,8.0,4320.0,4244.0,3.69,0.18,4.12,0.2,6.45,17.31,20.81870536945332,
309,309,17480,KOSDAQ,삼현철강,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외",2001-01-09,12월,조 윤 선,http://www.samsteel.co.kr,경상남도,2021-05-17,68053467384.0,8155564480.0,338234265.0,6464947496.0,0.0,11.98,0.5,9.5,61416794961.0,4296221484.0,9583791664.0,3177828105.0,0.0,7.0,15.6,5.17,1228.0,56468704548.0,1161304941.0,2066764485.0,967411474.0,0.0,2.06,3.66,1.71,60529866145.0,2562530351.0,7303658840.0,1741108583.0,0.0,4.23,12.07,2.88,344.0,224919932912.0,8630240771.0,9583791664.0,7725728871.0,491.0,10292.0,9833.0,9.65,4.19,11.93,5.0,9.92,2.77,20.51536851912837,
399,399,208140,KOSDAQ,정다운,"도축, 육류 가공 및 저장 처리업","통오리,정육,오리털,훈연육",2014-12-17,12월,김 선 철,http://jungdawn.co.kr,전라남도,2021-05-17,31964485944.0,2918106399.0,9510137703.0,2367223614.0,0.0,9.13,29.75,7.41,28986542296.0,2208593.0,2147775490.0,-1347694013.0,1120519640.0,0.01,7.41,-4.65,62.0,26524241707.0,-958432838.0,-1972433136.0,-780255878.0,0.0,-3.61,-7.44,-2.94,30611641274.0,-843048050.0,1746618358.0,-91614967.0,-1127509855.0,-2.75,5.71,-0.3,-52.0,124029506423.0,-1186406095.0,2147775490.0,-2443855103.0,-75.0,2889.0,2171.0,1.19,-1.61,2.15,-3.46,12.74,2.76,20.510460947746036,
