,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Revenue2021_6,Quarter_Operating_Profit2021_6,Quarter_Cashflow2021_6,Quarter_Earn2021_6,Quarter_Continue_Earn2021_6,Quarter_Percent_Operating_Profit2021_6,Quarter_Percent_Cashflow2021_6,Quarter_Percent_Earn2021_6,Quarter_Full_EPS,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Last_Revenue2020_6,Last_Operating_Profit2020_6,Last_Cashflow2020_6,Last_Earn2020_6,Last_Continue_Earn2020_6,Last_Percent_Operating_Profit2020_6,Last_Percent_Cashflow2020_6,Last_Percent_Earn2020_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
0,37370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도,2021-11-15,21643247809.0,2415079110.0,-13148236.0,2348710925.0,0.0,11.16,-0.06,10.85,29410313207.0,2972002760.0,-14914721457.0,1972941706.0,0.0,10.11,-50.71,6.71,1132.0,10367808708.0,-1437007706.0,-590377359.0,-1762756419.0,0.0,-13.86,-5.69,-17.0,9682113609.0,101134224.0,2109978548.0,297716871.0,0.0,1.04,21.79,3.07,-848.0,45057857733.0,-6513050601.0,540008188.0,-4108836555.0,-495.0,12602.0,5774.0,3.32,-3.08,8.98,-8.59,25.02,9.07,108.754312686148,
1,83450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도,2022-03-18,73365369944.0,12125962611.0,27885211631.0,10484482196.0,0.0,16.53,38.01,14.29,77363336337.0,12822592310.0,12938804056.0,10375858620.0,0.0,16.57,16.72,13.41,4500.0,36018284937.0,2115236764.0,21629465861.0,1327889726.0,0.0,5.87,60.05,3.69,44267738562.0,5263867969.0,13639417119.0,4370582737.0,0.0,11.89,30.81,9.87,568.0,166880498008.0,18150174131.0,19591165996.0,15803830847.0,1696.0,29503.0,12206.0,11.06,11.14,15.25,13.9,10.66,4.68,103.68923748680487,
2,108320,KOSDAQ,LX세미콘,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",2010-06-08,12월,손보익,http://lxsemicon.com,대전광역시,2022-03-14,505394416600.0,128984985984.0,252017374165.0,104469838131.0,0.0,25.52,49.87,20.67,449275295664.0,95551329476.0,110656886753.0,72894878482.0,0.0,21.27,24.63,16.22,25692.0,367216639437.0,48479018867.0,50481850818.0,36959400607.0,0.0,13.2,13.75,10.06,219130510361.0,9331613327.0,41382939877.0,6745817757.0,0.0,4.26,18.89,3.08,9088.0,1161896286020.0,94226639156.0,82955981196.0,72528910564.0,4459.0,84432.0,32729.0,20.62,9.66,30.43,13.63,12.32,17.009999999999998,37.62840849882183,
3,218410,KOSDAQ,RFHIC,통신 및 방송 장비 제조업,GaN 트랜지스터,2015-06-30,12월,조덕수,http://rfhic.com,경기도,2022-03-17,19051573788.0,-135578983.0,21257880638.0,105278013.0,0.0,-0.71,111.58,0.55,29989933199.0,2836655845.0,13244708570.0,3821409167.0,0.0,9.46,44.16,12.74,12.0,9722116342.0,-3866555571.0,-21502581557.0,-4539928968.0,0.0,-39.77,-221.17,-46.7,14702352652.0,-2672573678.0,-17768769348.0,-751834463.0,0.0,-18.18,-120.86,-5.11,-680.0,70452303693.0,-2996706640.0,-24172595586.0,2022122542.0,75.0,20176.0,8147.0,0.04,0.65,0.06,0.93,39.06,27.64,95.96117879906771,
4,327260,KOSDAQ,RF머트리얼즈,전자부품 제조업,"광통신, RF통신용 패키지",2019-12-24,12월,한기우,http://www.metal-life.co.kr,경기도,2022-03-16,8892396388.0,225782347.0,4069688105.0,-185465708.0,0.0,2.54,45.77,-2.09,10552908233.0,542892052.0,1460286895.0,-18674257.0,0.0,5.14,13.84,-0.18,-92.0,2316271485.0,-255918814.0,625577302.0,0.0,0.0,-11.05,27.01,0.0,3283366058.0,-274558771.0,94868511.0,-230327423.0,0.0,-8.36,2.89,-7.01,0.0,18213484326.0,-625374065.0,-305131565.0,-609503044.0,-75.0,9845.0,4027.0,-0.52,-1.04,-0.93,-1.88,13.59,13.5,283.90993653319526,
5,192410,KOSDAQ,THQ,통신 및 방송 장비 제조업,"기지국 안테나, 인바운드플랫폼",2014-08-14,12월,"김상기, 위청드어 공동 대표이사",http://www.thehqco.com,서울특별시,2021-11-10,7020009832.0,1109523179.0,-16283469733.0,1211639183.0,0.0,15.81,-231.96,17.26,8419730289.0,1906891887.0,-18610057937.0,1461412848.0,0.0,22.65,-221.03,17.36,164.0,3502054749.0,-1491115223.0,-11639003266.0,-375951060.0,0.0,-42.58,-332.35,-10.74,3203833475.0,-1720904296.0,-6895372903.0,-4164803172.0,0.0,-53.71,-215.22,-129.99,-48.0,13589427437.0,-11779312630.0,-10622408100.0,-9768527824.0,-337.0,2758.0,1094.0,2.57,-14.7,5.94,-30.85,58.39,76.36,100.45402870998919,
6,40300,KOSDAQ,YTN,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고/협찬 및 프로그램 제작,2001-09-04,12월,우장균,http://www.ytn.co.kr,서울특별시,2021-11-12,35369867546.0,-360105068.0,14118766270.0,231775912.0,0.0,-1.02,39.92,0.66,35190457579.0,4459781254.0,11148433341.0,5800127067.0,0.0,12.67,31.68,16.48,20.0,31236064656.0,-1648839154.0,14346305808.0,-1652204993.0,0.0,-5.28,45.93,-5.29,31776148149.0,2311477649.0,15034025431.0,3157544562.0,0.0,7.27,47.31,9.94,-156.0,133102172088.0,2671990470.0,23085234551.0,7999188999.0,190.0,9218.0,4571.0,0.14,2.68,0.22,4.17,4.26,5.4,13.234070730500797,
7,36620,KOSDAQ,감성코퍼레이션,기타 전문 도매업,"고지유통, ERP시스템 운영",2000-01-11,12월,김호선,http://www.virtualtek.co.kr,서울특별시,2021-11-15,10355508496.0,-255590290.0,-1135214666.0,-642647011.0,-745746348.0,-2.47,-10.96,-6.21,9403957702.0,-465583956.0,-3362802064.0,-90134717.0,-111296355.0,-4.95,-35.76,-0.96,-32.0,4195906867.0,-1582282410.0,-3573572473.0,-1034121116.0,-2124779837.0,-37.71,-85.17,-24.65,3441132398.0,-1171467720.0,-3573572473.0,-1034121116.0,-1034768306.0,-34.04,-103.85,-30.05,-52.0,16441421210.0,-5125926310.0,-8623126541.0,-4413237988.0,-56.0,657.0,301.0,-3.04,-12.05,-4.87,-18.69,35.24,29.09,146.8002466271137,
8,98460,KOSDAQ,고영,특수 목적용 기계 제조업,전자제품및반도체생산용 3차원 납도포검사장비,2008-06-03,12월,고광일,http://www.kohyoung.com,서울특별시,2022-03-14,61898434660.0,10364160258.0,22656586010.0,12331231305.0,0.0,16.74,36.6,19.92,67242410303.0,11545924038.0,1824341107.0,10295833711.0,0.0,17.17,2.71,15.31,716.0,41064760796.0,3529373491.0,28224957492.0,1308899505.0,0.0,8.59,68.73,3.19,38863231701.0,2017579789.0,22799100738.0,430372705.0,0.0,5.19,58.66,1.11,76.0,179545133940.0,15842903269.0,37796429425.0,9161038005.0,133.0,7786.0,3582.0,7.15,3.03,9.2,3.72,8.149999999999999,11.98,50.73370320479097,
9,35290,KOSDAQ,골드앤에스,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,신승호,http://www.wfminc.co.kr,서울특별시,2021-11-15,3870104491.0,243586830.0,1298282570.0,224306377.0,266555662.0,6.29,33.55,5.8,3597258452.0,322081889.0,-521601824.0,817150163.0,817150163.0,8.95,-14.5,22.72,24.0,877515881.0,-185402645.0,-565138312.0,-414406811.0,-486899349.0,-21.13,-64.4,-47.22,1053180107.0,-774471101.0,-779942910.0,-2636579122.0,-2636579122.0,-73.54,-74.06,-250.34,-44.0,4138760424.0,-2343111573.0,-498312570.0,1635729853.0,45.0,823.0,397.0,1.77,7.93,2.92,11.36,27.419999999999998,82.49000000000001,341.0295670762909,
