,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Full_EPS,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
0,990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,2022-03-21,367855453111.0,138146823747.0,169150979699.0,117372295503.0,117372295503.0,37.55,45.98,31.91,328439857760.0,118979516396.0,223978135091.0,92666034218.0,92666034218.0,36.23,68.19,28.21,10552.0,227818846946.0,30403226651.0,95699925876.0,13565936085.0,164432197016.0,13.35,42.01,5.95,240646806647.0,67126286680.0,214282703898.0,47042231413.0,47042231413.0,27.89,89.04,19.55,1216.0,935919766484.0,239335181312.0,309982629774.0,166025591077.0,3732.0,24863.0,17862.0,30.29,14.09,42.44,20.89,24.199999999999996,8.339999999999996,61.46840265511173,
1,7700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,2022-03-17,565069842756.0,173484001819.0,182059076555.0,40920338768.0,123963100976.0,30.7,32.22,7.24,145228649589.0,47162247463.0,97888780265.0,11094260545.0,35817304865.0,32.47,67.4,7.64,4184.0,5903880644.0,-1109310990.0,121898661910.0,49195255143.0,168480087893.0,-18.79,2064.72,833.27,7056868431.0,1783620793.0,32704484239.0,8518083717.0,2271113110.0,25.27,463.44,120.71,5028.0,837615841670.0,122578985908.0,154603146149.0,85794641507.0,2193.0,59169.0,14105.0,5.62,10.49,7.07,15.55,49.489999999999995,7.199999999999999,9471.159663098366,
2,11200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시,2022-03-21,4443041000000.0,2698529000000.0,2739542000000.0,2672685000000.0,0.0,60.74,61.66,60.15,4016361000000.0,2270761000000.0,4765491000000.0,2299801000000.0,0.0,56.54,118.65,57.26,21856.0,2006532000000.0,567015000000.0,605636000000.0,136794000000.0,0.0,28.26,30.18,6.82,1718484000000.0,277069000000.0,802910000000.0,24604000000.0,0.0,16.12,46.72,1.43,1116.0,6413270000000.0,980781000000.0,1408546000000.0,123889000000.0,253.0,21177.0,3452.0,59.8,1.32,103.2,7.34,32.480000000000004,40.42,121.42886333235651,
3,344820,KOSPI,KCC글라스,유리 및 유리제품 제조업,판유리 등,2020-01-21,12월,김내환,http://www.kccglass.co.kr,서울특별시,2022-03-17,318292913243.0,38682519038.0,43506745950.0,32620417930.0,0.0,12.15,13.67,10.25,269319622702.0,36476233530.0,186180577036.0,29743949745.0,0.0,13.54,69.13,11.04,8168.0,219500342078.0,16741587641.0,42581408469.0,112795096827.0,0.0,7.63,19.4,51.39,163523177458.0,8721289603.0,67098400758.0,10227228534.0,0.0,5.33,41.03,6.25,28252.0,708657396421.0,35839370802.0,109679809227.0,132349989001.0,8288.0,86945.0,82653.0,6.95,7.7,9.39,10.03,4.5200000000000005,8.209999999999999,45.00793494430811,
4,9440,KOSPI,KC그린홀딩스,기타 금융업,"환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",1994-11-05,12월,이태영,http://www.kcgreenholdings.com,서울특별시,2022-03-23,248246827482.0,4758190380.0,88454029063.0,-12833663545.0,0.0,1.92,35.63,-5.17,174628992182.0,7983975278.0,8355789691.0,3554459969.0,0.0,4.57,4.78,2.04,-2288.0,179429631068.0,-41148137841.0,-4501470671.0,-30912370558.0,0.0,-22.93,-2.51,-17.23,156451601654.0,-1189749526.0,-59463277400.0,-432957151.0,0.0,-0.76,-38.01,-0.28,-5508.0,680448181836.0,-47920726519.0,-58163136066.0,-36987172751.0,-1648.0,11587.0,9589.0,-5.66,-4.87,-19.75,-17.19,24.85,5.33,38.35330653269847,
5,92220,KOSPI,KEC,반도체 제조업,반도체 제조,2006-10-16,12월,박남규 김학남,http://www.kec.co.kr,서울특별시,2022-03-22,71509884123.0,7236832835.0,11372347811.0,-19943927599.0,0.0,10.12,15.9,-27.89,70853384954.0,9280440909.0,15848485074.0,14231806052.0,0.0,13.1,22.37,20.09,-548.0,57283397508.0,-1286606236.0,5744174275.0,-44246834798.0,0.0,-2.25,10.03,-77.24,54145070586.0,174094287.0,8486359402.0,-913196598.0,0.0,0.32,15.67,-1.69,-1220.0,201046480872.0,-2337589190.0,14230533677.0,-45282067509.0,-312.0,1928.0,1165.0,-19.8,-12.29,-28.42,-26.83,12.37,12.78,24.835270311983816,
6,1940,KOSPI,KISCO홀딩스,1차 철강 제조업,지주사업,1989-11-13,12월,"장세홍, 이병제 (각자대표)",http://www.kiscoholdings.co.kr,경상남도,2022-03-17,460016608923.0,53306464704.0,24479263633.0,31232891042.0,49232526451.0,11.59,5.32,6.79,439254283055.0,63899044758.0,108753074656.0,33274802643.0,51518463963.0,14.55,24.76,7.58,6760.0,275211611380.0,13977285470.0,49621442654.0,-10064332934.0,105952955601.0,5.08,18.03,-3.66,252347555501.0,19049015100.0,93157093063.0,13001977251.0,20644534318.0,7.55,36.92,5.15,-2176.0,1064569447471.0,82681994091.0,142787635717.0,34525325678.0,1868.0,76899.0,72249.0,7.4,2.21,8.79,2.59,6.51,7.000000000000001,67.15014552486647,
7,10060,KOSPI,OCI,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,"백우석, 이우현, 김택중(3인, 각자 대표이사)",http://www.oci.co.kr,서울특별시,2022-03-11,1014153917000.0,218035700000.0,-15946799000.0,287578346000.0,289482909000.0,21.5,-1.57,28.36,888729928000.0,194582362000.0,393637381000.0,177804106000.0,177624717000.0,21.89,44.29,20.01,48232.0,564231511000.0,32975178000.0,-127092384000.0,-160043461000.0,742151690000.0,5.84,-22.52,-28.36,468048628000.0,18068689000.0,8584954000.0,6720621000.0,6077684000.0,3.86,1.83,1.44,-26840.0,2002516778000.0,-86145075000.0,-118507430000.0,-246150678000.0,-10321.0,130987.0,100039.0,20.17,-5.55,36.82,-10.32,15.66,18.03,79.74074422085937,
8,5490,KOSPI,POSCO홀딩스,1차 철강 제조업,"열연코일,냉연강판,후판,선재,스테인리스 제조",1988-06-10,12월,"대표이사 회장 최정우, 대표이사 사장 전중선",http://www.posco.co.kr,서울특별시,2022-03-11,21334273351909.0,2368336268990.0,2451239321956.0,1498438951185.0,0.0,11.1,11.49,7.02,20636882442644.0,3116722504973.0,3808125967066.0,2429720200212.0,0.0,15.1,18.45,11.77,68756.0,15264210915695.0,863360069216.0,2698563840888.0,701015620977.0,0.0,5.66,17.68,4.59,14261217575248.0,666708266421.0,5987173374755.0,465457487777.0,0.0,4.67,41.98,3.26,32164.0,57792795732820.0,2403035192908.0,8685737215643.0,1602147657531.0,18378.0,628690.0,546895.0,6.55,2.03,10.94,3.36,5.4399999999999995,10.43,39.76663104132443,
9,1770,KOSPI,SHD,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,12월,신종호,http://www.shinhwatp.com,경기도,2022-03-21,29469052178.0,2181900171.0,-381543704.0,2354932968.0,0.0,7.4,-1.29,7.99,27585959918.0,1277867046.0,-389033986.0,1163325369.0,0.0,4.63,-1.41,4.22,7752.0,22664269254.0,661944523.0,1209224251.0,309361830.0,0.0,2.92,5.34,1.36,18672266518.0,-47897278.0,1426514023.0,384185478.0,0.0,-0.26,7.64,2.06,1016.0,77326954913.0,187172486.0,2635738274.0,489045220.0,402.0,33421.0,28485.0,13.26,0.76,23.19,1.41,4.48,4.89,30.024276749178792,
10,9160,KOSPI,SIMPAC,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,최진식,http://www.simpac.co.kr,인천광역시,2022-03-21,232853504863.0,52165318710.0,29588509205.0,35105408817.0,0.0,22.4,12.71,15.08,139872717467.0,26436503367.0,34158623438.0,25767010066.0,0.0,18.9,24.42,18.42,2144.0,104765312043.0,487877995.0,-8253827481.0,26419377208.0,0.0,0.47,-7.88,25.22,89142134699.0,1233386688.0,-8788933430.0,-257548664.0,0.0,1.38,-9.86,-0.29,1612.0,365863303046.0,7787378466.0,-17042760911.0,34139483966.0,521.0,8355.0,7091.0,15.53,4.63,25.66,7.36,21.93,17.52,122.26202578142214,
11,302440,KOSPI,SK바이오사이언스,기초 의약물질 및 생물학적 제제 제조업,백신 제품 및 제제,2021-03-18,12월,안재용,http://www.skbioscience.com,경기도,2022-03-16,450857868393.0,253943810562.0,337595709468.0,183965530611.0,0.0,56.32,74.88,40.8,220828833017.0,100406230549.0,198997978313.0,76437301133.0,0.0,45.47,90.11,34.61,9616.0,67008976024.0,10911771917.0,82169972053.0,9878284299.0,0.0,16.28,122.63,14.74,98689076308.0,36473576970.0,38053818572.0,32207813579.0,0.0,36.96,38.56,32.64,516.0,225610784857.0,37710447240.0,120223790625.0,32889711957.0,429.0,20931.0,3448.0,34.86,5.85,45.94,12.47,40.04,8.509999999999998,572.8320519799023,
12,285130,KOSPI,SK케미칼,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,12월,"김철, 전광현",http://www.skchemicals.com,경기도,2022-03-18,747713507263.0,293018630560.0,-173986979590.0,93421470957.0,0.0,39.19,-23.27,12.49,527465302301.0,103063221774.0,173986979590.0,-27275382537.0,0.0,19.54,32.99,-5.17,21200.0,305691138202.0,77383540862.0,-119157036807.0,-33334295742.0,0.0,25.31,-38.98,-10.9,352133136014.0,52308642990.0,119157036807.0,35260822261.0,0.0,14.85,33.84,10.01,-7564.0,1214709208859.0,106282993816.0,247009579324.0,254320769913.0,14430.0,145643.0,54412.0,9.45,12.0,14.56,26.52,13.879999999999999,4.6899999999999995,144.5977046180883,119.18649561584598
13,660,KOSPI,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,"박정호, 이석희 (각자대표)",http://www.skhynix.com,경기도,2022-03-22,12376609000000.0,4219524000000.0,5774224000000.0,3316532000000.0,0.0,34.09,46.65,26.8,11805324000000.0,4171821000000.0,14023424000000.0,3310823000000.0,0.0,35.34,118.79,28.05,18220.0,7966225000000.0,958897000000.0,3200146000000.0,1769414000000.0,0.0,12.04,40.17,22.21,8128767000000.0,1301912000000.0,9114425000000.0,1083851000000.0,0.0,16.02,112.13,13.33,9720.0,31900418000000.0,5012624000000.0,12314571000000.0,4755102000000.0,6531.0,85430.0,71306.0,13.76,6.68,21.33,9.16,22.050000000000004,19.320000000000004,55.363537936726615,
14,2710,KOSPI,TCC스틸,1차 철강 제조업,"석도강판,표면처리강판 제조,판매",1984-12-21,12월,"손봉락, 조석희, 손기영 (각자대표)",http://www.tccsteel.com,경상북도,2022-03-18,151933702439.0,10056947733.0,6706996154.0,16587026590.0,16929000026.0,6.62,4.41,10.92,142423459602.0,7523217174.0,923674523.0,5077206641.0,4853916782.0,5.28,0.65,3.56,2820.0,107105709170.0,-1163478398.0,1889909971.0,-1597086077.0,28650976085.0,-1.09,1.76,-1.49,106754552627.0,894045061.0,-7482008190.0,1405861706.0,1403084718.0,0.84,-7.01,1.32,-268.0,431797912297.0,970928249.0,-5592098219.0,-1516386497.0,-64.0,6606.0,5155.0,18.06,-0.49,42.69,-1.25,7.71,4.44,41.85397175966432,
15,37270,KOSPI,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,http://www.ygplus.com,서울특별시,2022-03-16,41979981897.0,8815971603.0,-594712398.0,13905189282.0,14942672562.0,21.0,-1.42,33.12,44558289775.0,10749537029.0,8395429123.0,4480588616.0,5583840315.0,24.12,18.84,10.06,876.0,33367727671.0,3151697221.0,201863040.0,-3285827636.0,21076063421.0,9.45,0.6,-9.85,29082319431.0,2565370008.0,-7658634565.0,280987009.0,1594455463.0,8.82,-26.33,0.97,-204.0,107139764398.0,6138629198.0,-7456771525.0,-6294915529.0,-99.0,2298.0,1642.0,24.89,-4.17,38.11,-6.04,11.55,15.3,25.81013100716756,
16,35250,KOSPI,강원랜드,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,"Lee, Sam-Geol",http://kangwonland.high1.com,강원도,2022-03-23,242137264386.0,-20049795803.0,111574061007.0,-10989658887.0,0.0,-8.28,46.08,-4.54,245246238937.0,24270666788.0,99300207532.0,20414372455.0,0.0,9.9,40.49,8.32,-204.0,131322202551.0,-76119679081.0,-121854593396.0,-33326184067.0,0.0,-57.96,-92.79,-25.38,76617361862.0,-64878088082.0,-533821738763.0,-40856773400.0,0.0,-84.68,-696.74,-53.33,-620.0,478578866341.0,-431583873583.0,-655676332159.0,-275879104412.0,-1289.0,15205.0,15178.0,-1.14,-7.58,-1.34,-8.5,49.68,94.58000000000001,84.38410236986705,
17,50,KOSPI,경방,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시,2022-03-18,113349298945.0,22272864590.0,23376245542.0,4261383664.0,0.0,19.65,20.62,3.76,93476717032.0,9566077780.0,-2466086244.0,797918723.0,0.0,10.23,-2.64,0.85,620.0,84699212816.0,10542210480.0,16697868192.0,6762079653.0,0.0,12.45,19.71,7.98,84321708681.0,4793405238.0,16937783260.0,3841270094.0,0.0,5.68,20.09,4.56,984.0,329224740782.0,21853996547.0,33635651452.0,13028369310.0,475.0,27434.0,27061.0,1.34,1.03,2.26,1.76,7.199999999999999,4.550000000000001,33.82568169935564,
18,12610,KOSPI,경인양행,기초 화학물질 제조업,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",1995-10-05,12월,"김흥준,조성용 (각자대표이사)",http://www.kyungin.co.kr,인천광역시,2022-03-16,111498299363.0,11788545931.0,7628369322.0,6918415196.0,7854558507.0,10.57,6.84,6.2,97428134259.0,3229335624.0,1602593310.0,3653090206.0,4178498002.0,3.31,1.64,3.75,664.0,80681963827.0,743699776.0,16192417940.0,-5670302068.0,29235338274.0,0.92,20.07,-7.03,79132357136.0,-841014343.0,38357215906.0,-1304935951.0,-1151511307.0,-1.06,48.47,-1.65,-544.0,329312078179.0,3369846654.0,54549633846.0,-8927221589.0,-214.0,6057.0,5493.0,4.76,-1.77,10.96,-3.91,9.65,4.37,38.194825800320196,
19,17900,KOSPI,광전자,반도체 제조업,"트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매",1996-10-16,12월,이석렬,http://www.auk.co.kr,전라북도,2022-03-21,41622747571.0,-940347887.0,-4860995508.0,-773390270.0,0.0,-2.26,-11.68,-1.86,45188552579.0,3382562754.0,3552899727.0,5202987707.0,0.0,7.49,7.86,11.51,-52.0,37465082787.0,-6110334126.0,477140265.0,-16049801619.0,0.0,-16.31,1.27,-42.84,37590145661.0,-676558800.0,4705900333.0,-1586988443.0,0.0,-1.8,12.52,-4.22,-1104.0,150172566811.0,-7841404443.0,5183040598.0,-15892048934.0,-274.0,3636.0,3473.0,-1.26,-6.53,-1.43,-7.9,14.049999999999999,9.290000000000001,11.097439201289227,
20,7690,KOSPI,국도화학,기초 화학물질 제조업,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",1989-08-05,12월,"이시창, 허연진",http://www.kukdo.com,서울특별시,2022-03-10,416424298523.0,43697871080.0,63368195657.0,32966439312.0,0.0,10.49,15.22,7.92,408754432286.0,56589724647.0,-89298191742.0,43564409793.0,0.0,13.84,-21.85,10.66,14632.0,274173662662.0,11156321935.0,15145930099.0,5682701711.0,0.0,4.07,5.52,2.07,285038304941.0,9659312471.0,63880835737.0,6361310406.0,0.0,3.39,22.41,2.23,2520.0,1132659694859.0,46017285546.0,79026765836.0,29429287809.0,3265.0,90437.0,61284.0,9.31,3.16,16.18,5.33,6.42,10.45,51.88340648035399,5692.29209503736
