,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
5,226,263800,KOSDAQ,데이타솔루션,기계장비 및 관련 물품 도매업,"EMC스토리지, SPSS, SI",2017-08-03,12월,배복태,http://www.datasolution.kr,서울특별시,2022-08-12,16204729.0,30207969544.0,1756818984.0,-4057242216.0,1165778168.0,0.0,5.82,-13.43,3.86,12861029981.0,174660515.0,-6186302012.0,76905198.0,0.0,1.36,-48.1,0.6,284.0,16286408268.0,-609962918.0,-4049158077.0,-480347314.0,0.0,-3.75,-24.86,-2.95,8424367939.0,-1285937488.0,-4501619570.0,-1288984218.0,0.0,-15.26,-53.44,-15.3,-116.0,100481186660.0,1031053095.0,11138401302.0,1191273916.0,73.0,3601.0,1745.0,3.85,1.58,7.89,4.21,9.57,16.62,85.47962845407407,137.31806609956175,5680,92042860720,20.0,9290,-80.09,127.26,1.56,146.04,80.46,2020-09-08,79.73,63.56,2022-04-05
32,506,11560,KOSDAQ,세보엠이씨,건물설비 설치 공사업,"건설관련설비,ACESS FLOOR,소음기,CHAMMBER,PFP UNIT,BY-PASS UNIT,DUCT,철구조물",1996-12-23,12월,"김우영, 김진호(각자 대표이사)",http://www.sebomec.com,서울특별시,2022-08-16,10530391.0,248329568178.0,9353963181.0,-24413708516.0,6465510434.0,0.0,3.77,-9.83,2.6,190399616337.0,5956813503.0,8948391491.0,5023389874.0,0.0,3.13,4.7,2.64,2452.0,86723302349.0,331873906.0,29719267325.0,2192622610.0,0.0,0.38,34.27,2.53,79152752530.0,866930121.0,9839842721.0,691729558.0,0.0,1.1,12.43,0.87,832.0,432646121559.0,8591768646.0,43274017120.0,11650110873.0,1106.0,31580.0,15273.0,3.71,3.72,7.76,7.24,3.39,2.03,186.34699262102475,1762.2442659130525,8800,92667440800,3.59,11100,13.34,10.04,4.74,100.36,26.14,2022-06-03,75.36,26.14,2022-06-03
40,1357,37230,KOSDAQ,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업","카톤팩, 골판지 상자",1999-12-21,12월,"이명신, 이우진",http://www.hkpak.co.kr,경기도,2022-08-16,29798573.0,53935617098.0,462960337.0,10700061724.0,-1301646495.0,0.0,0.86,19.84,-2.41,53736331956.0,986687380.0,-6327018763.0,83675342.0,0.0,1.84,-11.77,0.16,-172.0,14895274088.0,34176323.0,1279430192.0,39057999.0,0.0,0.23,8.59,0.26,13173108920.0,117971746.0,4888590899.0,307614110.0,0.0,0.9,37.11,2.34,4.0,56223518386.0,-2104043009.0,2501283510.0,-504442585.0,-16.0,5109.0,2608.0,-1.38,-0.28,-3.37,-0.65,0.63,0.94,262.0988561831962,201.4536903496567,3520,104890976960,-20.47,5610,1402.5,-350.62,3.29,276.15,132.95,2020-12-21,59.92,59.38,2021-12-15
4,180,85670,KOSDAQ,뉴프렉스,전자부품 제조업,연성인쇄회로기판,2006-01-17,12월,"임우현, 임시연 (각자대표)",http://www.newflex.co.kr,경기도,2022-08-16,24206354.0,63302000622.0,4887332774.0,9206707810.0,5951025148.0,0.0,7.72,14.54,9.4,66238418244.0,6582313505.0,6049361634.0,7376537612.0,0.0,9.94,9.13,11.14,980.0,31327597290.0,-1530423958.0,-1163525208.0,-1019649379.0,0.0,-4.89,-3.71,-3.25,33222995198.0,-2046376120.0,2495064825.0,-1132650760.0,0.0,-6.16,7.51,-3.41,-168.0,171664202136.0,1536000753.0,7713322584.0,2402933266.0,99.0,5215.0,2161.0,6.81,1.46,18.79,4.59,12.61,16.1,102.06465256818936,69.85455212394356,5250,127083358500,5.36,7790,-46.37,78.69,4.64,369.28,48.38,2021-12-30,118.09,48.38,2021-12-30
15,624,54800,KOSDAQ,아이디스홀딩스,기타 전문 서비스업,비금융지주회사,2001-09-27,12월,김영달,http://www.idisholdings.co.kr,대전광역시,2022-08-16,10349304.0,233860825803.0,26640857467.0,-48738936120.0,12729252124.0,0.0,11.39,-20.84,5.44,194579866592.0,18717938765.0,-42478459009.0,7653611192.0,0.0,9.62,-21.83,3.93,4916.0,126982677496.0,5865505100.0,-1464693737.0,6081552729.0,0.0,4.62,-1.15,4.79,112556679716.0,-37899514.0,-8446298206.0,3048528427.0,0.0,-0.03,-7.5,2.71,2348.0,544386775822.0,19337282762.0,-49226833681.0,4396677525.0,424.0,135557.0,66062.0,2.51,0.47,3.63,0.64,6.7700000000000005,9.65,84.16750254015292,434.5202900754247,13000,134540952000,2.64,14150,6.03,33.37,1.99,29.22,20.77,2020-08-10,15.51,8.85,2021-08-30
37,1022,43910,KOSDAQ,자연과환경,환경 정화 및 복원업,"스테인레스파이프, 다공성식생블록,조경원예자재",2005-11-18,12월,이병용,http://www.e-nne.co.kr,충청남도,2022-08-12,81342159.0,19085119998.0,582746964.0,-7735997444.0,417969016.0,0.0,3.05,-40.53,2.19,16923274626.0,303400697.0,-8128220229.0,342694594.0,0.0,1.79,-48.03,2.02,20.0,10566537672.0,-68045563.0,-2762440901.0,-4765090663.0,0.0,-0.64,-26.14,-45.1,8420321148.0,50423195.0,-4459660483.0,-570827090.0,0.0,0.6,-52.96,-6.78,-232.0,55056210219.0,-6194677125.0,-2687254936.0,-11245045790.0,-138.0,1821.0,678.0,0.69,-10.71,1.1,-20.37,3.69,1.19,80.61848251933247,-74.98081481421181,1690,137468248710,84.5,2254,-9.72,-16.33,16.34,174.51,65.68,2021-06-30,67.58,33.37,2021-11-08
2,86,36620,KOSDAQ,감성코퍼레이션,기타 전문 도매업,"고지유통, ERP시스템 운영",2000-01-11,12월,김호선,http://www.virtualtek.co.kr,서울특별시,2022-08-16,79619613.0,25575644894.0,3386873485.0,1170197794.0,2387149659.0,2387149659.0,13.24,4.58,9.33,15904180690.0,686054020.0,-2211172179.0,2322970270.0,2322970270.0,4.31,-13.9,14.61,116.0,9403957702.0,-465583956.0,-3362802064.0,-111296355.0,-111296355.0,-4.95,-35.76,-1.18,6073100714.0,-1156945975.0,-2845427975.0,-1190355585.0,-1190355585.0,-19.05,-46.85,-19.6,-4.0,48936589545.0,1160109341.0,-1148519446.0,281383557.0,3.0,851.0,365.0,8.1,0.63,13.63,0.97,18.19,23.36,171.96682188990135,161.17807067562055,1750,139334322750,15.09,2665,-666.25,888.33,4.68,262.59,52.29,2021-10-20,66.56,52.29,2021-10-20
14,618,67390,KOSDAQ,아스트,"항공기,우주선 및 부품 제조업",항공기용 부품 제조 및 동체 조립,2014-12-24,12월,김희원,http://www.astk.co.kr,경상남도,2022-08-12,25701528.0,43666681215.0,1528630775.0,4231989352.0,-3785132517.0,0.0,3.5,9.69,-8.67,36009985286.0,1507284714.0,-6242487601.0,-1625628225.0,0.0,4.19,-17.34,-4.51,-588.0,10823762186.0,-7777647605.0,-14113681528.0,-8879953142.0,0.0,-71.86,-130.4,-82.04,14927310292.0,-5665763579.0,-11732135350.0,-252988069.0,0.0,-37.96,-78.6,-1.69,-1380.0,81161917298.0,-13753753148.0,-4866958442.0,-27444686363.0,-1067.0,10607.0,5659.0,-1.51,-5.65,-5.54,-18.87,75.36,42.15,303.4334870317152,327.4502911879524,5510,141615419280,-9.37,8050,-5.83,-7.54,8.34,124.12,81.13,2019-10-15,44.03,46.1,2021-08-12
10,462,46390,KOSDAQ,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,"공동대표이사 안제현, 신상윤",http://www.shnetworks.co.kr,서울특별시,2022-08-12,43171641.0,30438169323.0,3142739275.0,10172437655.0,6681468381.0,0.0,10.32,33.42,21.95,12120937533.0,4675078845.0,1842873519.0,1508480403.0,0.0,38.57,15.2,12.45,616.0,1189030893.0,-793928201.0,-13347776690.0,-731956014.0,0.0,-66.77,-1122.58,-61.56,3420200944.0,-392207368.0,-5157301406.0,-171575723.0,0.0,-11.47,-150.79,-5.02,-64.0,32924849512.0,6750170051.0,-3454101876.0,6409043373.0,148.0,2254.0,1021.0,16.16,7.93,27.32,14.53,77.09,50.04,2459.914086521552,13.338529966778491,3495,150884885295,5.67,5700,-89.06,38.51,12.43,303.97,63.09,2022-04-15,88.12,63.09,2022-04-15
28,1178,52330,KOSDAQ,코텍,영상 및 음향기기 제조업,산업용 모니터,2001-07-10,12월,김영달,http://www.kortek.co.kr,인천광역시,2022-08-12,15574845.0,113539644317.0,6208960760.0,-58431477099.0,11190162434.0,0.0,5.47,-51.46,9.86,90558362577.0,658633786.0,-36263046805.0,2002061055.0,0.0,0.73,-40.04,2.21,2872.0,48431665564.0,-3267940238.0,-4341159026.0,-2244790146.0,0.0,-6.75,-8.96,-4.63,45295807549.0,-5065121905.0,767303723.0,-1179531740.0,0.0,-11.18,1.69,-2.6,-576.0,212907743558.0,-14660982463.0,-71968710044.0,-13443422550.0,-863.0,41288.0,18537.0,5.28,-3.84,6.96,-4.66,12.22,11.91,134.43266506489044,386.8643871642311,9810,152789229450,3.42,11650,-20.23,-13.5,5.03,52.71,37.61,2019-11-15,22.9,18.76,2021-10-26
