,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2020_9,Quarter_Operating_Profit2020_9,Quarter_Cashflow2020_9,Quarter_Earn2020_9,Quarter_Continue_Earn2020_9,Quarter_Percent_Operating_Profit2020_9,Quarter_Percent_Cashflow2020_9,Quarter_Percent_Earn2020_9,Quarter_Revenue2020_6,Quarter_Operating_Profit2020_6,Quarter_Cashflow2020_6,Quarter_Earn2020_6,Quarter_Continue_Earn2020_6,Quarter_Percent_Operating_Profit2020_6,Quarter_Percent_Cashflow2020_6,Quarter_Percent_Earn2020_6,Quarter_Full_EPS,Last_Revenue2019_9,Last_Operating_Profit2019_9,Last_Cashflow2019_9,Last_Earn2019_9,Last_Continue_Earn2019_9,Last_Percent_Operating_Profit2019_9,Last_Percent_Cashflow2019_9,Last_Percent_Earn2019_9,Last_Revenue2019_6,Last_Operating_Profit2019_6,Last_Cashflow2019_6,Last_Earn2019_6,Last_Continue_Earn2019_6,Last_Percent_Operating_Profit2019_6,Last_Percent_Cashflow2019_6,Last_Percent_Earn2019_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
74,17960,KOSPI,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",1995-07-08,12월,"조문수, 이명화 공동대표이사",http://www.hcarbon.com,경상남도,2020-11-16,123913419751.0,25887259915.0,84280894372.0,19013084398.0,19013084407.0,20.89,68.02,15.34,126150955110.0,24461945633.0,50271230457.0,18771419995.0,18771418006.0,19.39,39.85,14.88,1728.0,67627070226.0,2684977339.0,-28284538915.0,2996651899.0,2120738052.0,3.97,-41.82,4.43,64816621315.0,1928892553.0,-32597995233.0,1580524089.0,1580856305.0,2.98,-50.29,2.44,272.0,273402502535.0,25286667254.0,-421619853.0,17701679655.0,402.0,16110.0,7112.0,8.38,4.45,10.73,5.66,16.92,16.41,83.23050124291807,
75,42700,KOSPI,한미반도체,특수 목적용 기계 제조업,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",2005-07-22,12월,곽동신,http://www.hanmisemi.com,인천광역시,2020-11-13,77902632497.0,24868396559.0,-1506064684.0,18260492217.0,0.0,31.92,-1.93,23.44,61911007850.0,20060470712.0,-10699340044.0,14267993380.0,0.0,32.4,-17.28,23.05,1476.0,38833293291.0,8237747779.0,30389415372.0,13673626326.0,0.0,21.21,78.26,35.21,24612755946.0,-1648913515.0,18144677961.0,-508700857.0,0.0,-6.7,73.72,-2.07,1104.0,120377520384.0,13725362614.0,27170525034.0,19262572161.0,389.0,9813.0,4441.0,12.36,7.48,15.04,8.77,10.71,39.1,100.60784418470814,
76,6390,KOSPI,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스",1975-12-26,12월,전근식,http://WWW.HANILHDCEMENT.COM,서울특별시,2020-11-16,74432783970.0,17938893331.0,42219801125.0,14163944595.0,0.0,24.1,56.72,19.03,95625298552.0,25950429487.0,32962616069.0,16817255826.0,0.0,27.14,34.47,17.59,3184.0,91324155393.0,12970265631.0,23736995281.0,9221742132.0,0.0,14.2,25.99,10.1,114369714637.0,21455539667.0,1657690277.0,20276555298.0,0.0,18.76,1.45,17.73,2072.0,384112775417.0,35223407456.0,40865514951.0,41318305873.0,2324.0,24411.0,11512.0,5.24,7.38,13.04,20.19,9.900000000000002,8.379999999999999,-18.49606092748461,
77,64350,KOSPI,현대로템,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30,12월,이용배,http://www.hyundai-rotem.co.kr,경상남도,2020-11-16,693242874000.0,31140372000.0,44923533000.0,8988138000.0,0.0,4.49,6.48,1.3,656635470000.0,25592739000.0,219034771000.0,26515077000.0,0.0,3.9,33.36,4.04,328.0,637248253000.0,-96579630000.0,-219498149000.0,-117292906000.0,0.0,-15.16,-34.44,-18.41,631873642000.0,-38273999000.0,32515710000.0,-57105209000.0,0.0,-6.06,5.15,-9.04,-4296.0,2459346162000.0,-279932221000.0,-200921636000.0,-354302966000.0,-3246.0,22344.0,8089.0,0.44,-8.67,1.47,-40.13,19.65,9.959999999999999,8.786939899229509,
78,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2020-11-16,6342466685000.0,402139040000.0,1440999675000.0,189178038000.0,0.0,6.34,22.72,2.98,5920879356000.0,384860000000.0,616534648000.0,158017419000.0,0.0,6.5,10.41,2.67,46192.0,5858111236000.0,272697683000.0,947999339000.0,17079077000.0,0.0,4.66,16.18,0.29,5515310216000.0,175299866000.0,496216261000.0,39492700000.0,0.0,3.18,9.0,0.72,4168.0,22352462296000.0,896857873000.0,2143095681000.0,191028303000.0,11661.0,1245698.0,578788.0,1.41,0.73,3.71,2.01,1.6799999999999997,3.32,8.268116283341943,
79,12630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시,2020-11-16,1104349232203.0,160001460312.0,111252341348.0,-33701183056.0,0.0,14.49,10.07,-3.05,1235323486963.0,176738061023.0,-282541462727.0,58776214991.0,0.0,14.31,-22.87,4.76,-2256.0,385727269038.0,32766770969.0,103855556963.0,79651948942.0,0.0,8.49,26.92,20.65,422094779460.0,38849954441.0,67695926498.0,74681067076.0,0.0,9.2,16.04,17.69,5332.0,1616692249290.0,128121494512.0,170017140133.0,256577074348.0,4294.0,142479.0,39355.0,-0.72,6.1,-1.58,10.91,6.0,5.110000000000001,186.3031268069888,
80,11200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시,2020-11-13,1718484000000.0,277069000000.0,802910000000.0,24604000000.0,0.0,16.12,46.72,1.43,1375147000000.0,138716000000.0,404995000000.0,28109000000.0,0.0,10.09,29.45,2.04,240.0,1447716000000.0,-46606000000.0,265598000000.0,-124272000000.0,0.0,-3.22,18.35,-8.58,1396973000000.0,-112879000000.0,144449000000.0,-200746000000.0,0.0,-8.08,10.34,-14.37,-1224.0,5513089000000.0,-299695000000.0,399331000000.0,-589927000000.0,-1455.0,8434.0,2689.0,0.55,-8.24,2.85,-54.11,19.34,18.17,18.703115804480987,
81,82740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도,2020-11-13,199729230356.0,1127942009.0,9697709277.0,-1643097223.0,-1643097223.0,0.56,4.86,-0.82,230948174662.0,6636454661.0,33085299763.0,304867537.0,304867537.0,2.87,14.33,0.13,-140.0,162162138362.0,577201643.0,-62648759179.0,-3502249752.0,-3502249752.0,0.36,-38.63,-2.16,171827431579.0,-4822408439.0,-28650184742.0,-8053913659.0,-8053913659.0,-2.81,-16.67,-4.69,-296.0,674278133124.0,-21837810975.0,-64742927585.0,-41444357903.0,-886.0,8280.0,4033.0,-0.42,-4.99,-1.69,-21.98,0.20000000000000007,5.68,23.16637679637507,
82,16380,KOSPI,KG동부제철,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",1986-02-03,12월,박성희,http://www.kgdongbusteel.co.kr,서울특별시,2020-11-16,586979570709.0,33918726112.0,115942085497.0,23407141355.0,0.0,5.78,19.75,3.99,567436724281.0,27953084962.0,28417547168.0,27613098573.0,0.0,4.93,5.01,4.87,932.0,604002791032.0,13145906414.0,-130354697400.0,30486357848.0,0.0,2.18,-21.58,5.05,674727153647.0,11656703565.0,-63852405644.0,-26403028427.0,0.0,1.73,-9.46,-3.91,1216.0,2428250197414.0,34639840274.0,-169803209911.0,-33311633936.0,-332.0,18706.0,8887.0,2.01,-1.41,4.98,-3.75,3.6,3.1999999999999997,-2.8184009371735024,
83,1390,KOSPI,KG케미칼,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,"곽정현, 김재익",http://www.kgchem.co.kr,울산광역시,2020-11-16,916615874369.0,68969087633.0,205316874951.0,-12160017216.0,0.0,7.52,22.4,-1.33,882563697486.0,65143542599.0,55772114646.0,36395304209.0,0.0,7.38,6.32,4.12,-3504.0,520148526814.0,39102035460.0,79588951747.0,107005062434.0,0.0,7.52,15.3,20.57,340030438817.0,27433836978.0,104050652492.0,4957028704.0,0.0,8.07,30.6,1.46,30864.0,2068395230839.0,117974346288.0,146745850908.0,96147983687.0,6933.0,209232.0,97466.0,-0.6,2.32,-1.67,7.11,0.0,-0.6900000000000004,76.22194952342389,
84,40,KOSPI,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,노성석,http://www.krmotors.com,경상남도,2020-11-16,29082795781.0,98645585.0,9547868209.0,-1176607049.0,0.0,0.34,32.83,-4.05,31205138670.0,756181109.0,5255937240.0,-524269991.0,0.0,2.42,16.84,-1.68,-48.0,34004529035.0,-3785830905.0,-6739097327.0,-4951719803.0,0.0,-11.13,-19.82,-14.56,34374993603.0,-2294116938.0,-7207186969.0,-3611239275.0,0.0,-6.67,-20.97,-10.51,-204.0,132579261122.0,-24650440438.0,-7078682177.0,-40478571496.0,-421.0,1230.0,366.0,-1.44,-28.09,-3.9,-114.96,11.47,9.09,-14.473758036566789,
85,3550,KOSPI,LG,기타 금융업,지주회사,1970-02-13,12월,구광모,http://www.lg.co.kr,서울특별시,2020-11-16,1956078000000.0,767107000000.0,668273000000.0,742404000000.0,761689000000.0,39.22,34.16,37.95,1494993000000.0,359256000000.0,731126000000.0,119933000000.0,131211000000.0,24.03,48.9,8.02,18876.0,1675344000000.0,355393000000.0,702374000000.0,332966000000.0,340585000000.0,21.21,41.92,19.87,1619631000000.0,271106000000.0,680703000000.0,515722000000.0,226401000000.0,16.74,42.03,31.84,8464.0,6575339000000.0,1024098000000.0,818667000000.0,1079949000000.0,6865.0,263631.0,120926.0,6.17,4.81,7.16,5.68,18.009999999999998,7.290000000000003,16.75679740996476,
