,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
318,1248,33540,KOSDAQ,파라텍,특수 목적용 기계 제조업,소방기기,1997-12-26,12월,정광원,http://www.paratech.co.kr,경기도,2022-08-16,50664678.0,51940277025.0,727117276.0,-3960939825.0,-46991763.0,0.0,1.4,-7.63,-0.09,44597428461.0,-1998112934.0,-7023243937.0,-1960207037.0,0.0,-4.48,-15.75,-4.4,0.0,26599951696.0,-3800514965.0,-1281220621.0,-2641821126.0,0.0,-14.29,-4.82,-9.93,20379297997.0,-5881639704.0,-4847267590.0,-4961430102.0,0.0,-28.86,-23.79,-24.35,-208.0,112946688188.0,-463247349.0,1173122076.0,883804740.0,17.0,3153.0,1608.0,0.0,0.65,0.0,1.08,15.69,24.38,95.26455393078996,,1335,67637345130,0,3295,-15.84,193.82,1.8,265.01,406.37,2021-01-08,102.64,146.82,2021-08-25
320,1254,150900,KOSDAQ,파수,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션,2013-10-18,12월,조규곤,http://www.fasoo.com,서울특별시,2022-08-11,11642228.0,9636780870.0,523379128.0,3554803377.0,608732146.0,0.0,5.43,36.89,6.32,8200811778.0,-228104957.0,961149392.0,-242369793.0,0.0,-2.78,11.72,-2.96,208.0,7824264581.0,-1705870384.0,744250864.0,-1679222837.0,0.0,-21.8,9.51,-21.46,6261253989.0,-1833526865.0,-1329337628.0,-1791787970.0,0.0,-29.28,-21.23,-28.62,-576.0,42174716141.0,4229246699.0,13445911662.0,4246758526.0,364.0,4551.0,2264.0,2.81,9.49,4.57,16.11,27.23,26.5,23.16532461595703,,10000,116422280000,48.08,13900,-24.13,38.19,6.79,251.9,39.0,2021-12-16,89.76,39.0,2021-12-16
322,1258,49120,KOSDAQ,파인디앤씨,전자부품 제조업,"CHASSIS , 금형",2001-07-26,12월,"홍성천,김종찬(각자대표)",http://www.finednc.co.kr,충청남도,2022-08-16,28177936.0,17144212619.0,-25362083.0,-11444586.0,-2201748365.0,-2201661077.0,-0.15,-0.07,-12.84,14013392036.0,-1295797576.0,-1828082022.0,-2095192231.0,-2105645179.0,-9.25,-13.05,-14.95,-312.0,4848187883.0,-2678285410.0,-3260112087.0,-3011665653.0,-2685475058.0,-55.24,-67.24,-62.12,6409157730.0,-2450597019.0,-4760915900.0,-2788614319.0,-2688770644.0,-38.24,-74.28,-43.51,-424.0,29503430084.0,-8998269841.0,-5630463211.0,-18838519929.0,-668.0,2737.0,1566.0,-4.02,-16.35,-11.4,-42.68,55.09,28.99,253.62104424862696,,1915,53960747440,-6.14,3030,-7.15,-4.54,1.67,89.12,67.89,2021-06-29,57.65,58.22,2021-09-16
323,1275,22100,KOSDAQ,포스코 ICT,"건축기술, 엔지니어링 및 관련 기술 서비스업","SI(System Integration), DVR(Digital Video Recorder)",2000-11-28,12월,정덕균,http://www.poscoict.co.kr,경상북도,2022-08-12,152051635.0,238095963139.0,14455542665.0,29896961016.0,11946509540.0,0.0,6.07,12.56,5.02,232877577785.0,17965573150.0,52596042226.0,15189424106.0,0.0,7.71,22.59,6.52,312.0,185623169940.0,-21162536893.0,-33107695081.0,-9346723628.0,0.0,-11.4,-17.84,-5.04,191746601017.0,-13559632130.0,-23903131435.0,-14073509837.0,0.0,-7.07,-12.47,-7.34,-244.0,869274143659.0,-19477262841.0,-51913027153.0,-14213171659.0,-93.0,4898.0,2362.0,3.58,-2.2,6.37,-3.96,17.47,14.78,28.26845011641654,,6180,939679104300,19.81,7620,-31.23,-81.94,6.4,94.9,48.38,2021-01-25,33.01,23.3,2021-08-12
326,1300,237820,KOSDAQ,플레이디,광고업,온라인 광고 대행,2020-03-12,12월,이준용,http://www.playd.com,경기도,2022-08-12,12826254.0,11394812791.0,2184847577.0,846796928.0,1854801577.0,0.0,19.17,7.43,16.28,9644815260.0,1418356364.0,-470809265.0,1210054743.0,0.0,14.71,-4.88,12.55,576.0,9211832891.0,1035774560.0,1182634895.0,632483857.0,0.0,11.24,12.84,6.87,7960435554.0,408011314.0,-2500428435.0,661243523.0,0.0,5.13,-31.41,8.31,196.0,34680497548.0,3338918401.0,-1353643267.0,2964143190.0,231.0,11881.0,5773.0,2.54,2.09,4.85,4.0,7.9300000000000015,9.580000000000002,23.697562969610324,,5990,76829261460,10.4,9920,50.61,42.94,2.57,145.52,174.62,2020-05-26,67.85,65.61,2021-08-12
330,1319,62970,KOSDAQ,피피아이,통신 및 방송 장비 제조업,"데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등",2019-12-26,12월,김진봉,http://www.ppitek.com,광주광역시,2022-08-16,9308729.0,6361940298.0,630881970.0,-920372705.0,639542522.0,0.0,9.92,-14.47,10.05,3310936718.0,127034233.0,-524467269.0,132621807.0,0.0,3.84,-15.84,4.01,272.0,3650311881.0,-4177749936.0,-3977816496.0,-3628484197.0,0.0,-114.45,-108.97,-99.4,2842308240.0,-2432571525.0,-1468531616.0,-2003002896.0,0.0,-85.58,-51.67,-70.47,-1556.0,13458885814.0,-11814911419.0,-5301823699.0,-14696317737.0,-1578.0,862.0,382.0,5.48,-68.04,31.53,-412.56,124.37,89.42,74.2848421011399,,2940,27367663260,10.81,5800,-3.73,-3.68,1.77,260.12,355.78,2020-01-06,96.08,97.28,2021-08-18
333,1321,161580,KOSDAQ,필옵틱스,특수 목적용 기계 제조업,디스플레이 및 반도체 제조공정용 제작,2017-06-01,12월,한기수,http://www.philoptics.com/,경기도,2022-08-16,21988256.0,91962174882.0,7749351687.0,5161372010.0,6296057965.0,0.0,8.43,5.61,6.85,60080910719.0,1931027844.0,-1013019122.0,653934599.0,0.0,3.21,-1.69,1.09,1144.0,50773453221.0,-1453628919.0,-45907588701.0,-1705772831.0,0.0,-2.86,-90.42,-3.36,37896292913.0,-6630032296.0,-14073135006.0,5674687338.0,0.0,-17.5,-37.14,14.97,-308.0,230791827975.0,-10525310027.0,-67705504482.0,-4277874365.0,-194.0,9375.0,4478.0,4.26,-1.54,12.2,-4.34,11.29,20.71,81.12255331879665,,8120,178544638720,7.1,12150,-39.45,-62.63,4.24,92.35,101.35,2021-01-25,51.93,49.63,2021-11-22
336,1324,299030,KOSDAQ,하나기술,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조,2020-11-25,12월,오태봉,http://www.hn-tech.co.kr,경기도,2022-08-11,7472373.0,37070518931.0,2724626992.0,-6285093129.0,1791901183.0,0.0,7.35,-16.95,4.83,21841798441.0,-50092309.0,-2598955310.0,898441342.0,0.0,-0.23,-11.9,4.11,956.0,13636977296.0,-3125402784.0,-11851699758.0,-3005139637.0,0.0,-22.92,-86.91,-22.04,14645504946.0,-1729479958.0,-5098814771.0,594999021.0,0.0,-11.81,-34.81,4.06,-1608.0,113001413089.0,-4961722430.0,-23239099012.0,-2866792665.0,-383.0,18889.0,9144.0,1.71,-1.52,5.06,-4.2,30.270000000000003,11.58,171.8382389759755,,55200,412474989600,57.74,68800,-42.79,-179.63,4.83,51.38,42.63,2021-01-06,33.08,24.64,2021-08-13
338,1331,106080,KOSDAQ,하이소닉,전자부품 제조업,휴대폰 카메라용 Auto Focus Actuator,2010-02-09,12월,박광제,http://www.hysonic.com,경기도,2022-08-16,12834429.0,6145269635.0,328633317.0,1523088142.0,771792013.0,912662635.0,5.35,24.78,12.56,8634309349.0,199594282.0,-2622068628.0,194659164.0,178109592.0,2.31,-30.37,2.25,240.0,768775894.0,-1456781380.0,-2218040549.0,-2351787249.0,-1936419570.0,-189.49,-288.52,-305.91,2258411260.0,-1130741572.0,-2427829959.0,-1403744495.0,-988118941.0,-50.07,-107.5,-62.16,-732.0,4269512680.0,-3001486828.0,-4083291551.0,-8726534416.0,-679.0,1792.0,774.0,7.3,-51.81,13.39,-87.81,194.84,52.38,699.3577429991581,,5650,72514523850,23.54,5650,-7.72,-8.32,0.0,0.0,0.0,2022-08-16,0.0,0.0,2022-08-16
341,1377,2680,KOSDAQ,한탑,"곡물가공품, 전분 및 전분제품 제조업","소맥분(밀가루),배합사료",1995-07-07,12월,하상경,http://www.hantop.com,부산광역시,2022-08-16,29997271.0,25741758073.0,472665236.0,2787539430.0,-2904097551.0,-2902858933.0,1.84,10.83,-11.28,21200356604.0,842004510.0,-888805004.0,-546231495.0,-546341001.0,3.97,-4.19,-2.58,-384.0,19739374502.0,-866061470.0,-2126726639.0,-38235874.0,-38455718.0,-4.39,-10.77,-0.19,18595038200.0,-1329815945.0,-967288184.0,-375159563.0,-375345821.0,-7.15,-5.2,-2.02,-4.0,78892137329.0,-4630637710.0,-5616192894.0,-9710851282.0,-323.0,3521.0,1746.0,-4.23,-7.12,-10.9,-18.53,6.23,11.12,30.40817514451553,,1895,56844828545,-4.93,4590,-1147.5,-14.21,3.11,244.34,142.22,2022-05-23,287.34,142.22,2022-05-23
