,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2019_12,Quarter_Operating_Profit2019_12,Quarter_Cashflow2019_12,Quarter_Earn2019_12,Quarter_Continue_Earn2019_12,Quarter_Percent_Operating_Profit2019_12,Quarter_Percent_Cashflow2019_12,Quarter_Percent_Earn2019_12,Quarter_Revenue2019_9,Quarter_Operating_Profit2019_9,Quarter_Cashflow2019_9,Quarter_Earn2019_9,Quarter_Continue_Earn2019_9,Quarter_Percent_Operating_Profit2019_9,Quarter_Percent_Cashflow2019_9,Quarter_Percent_Earn2019_9,Quarter_Full_EPS,Last_Revenue2018_12,Last_Operating_Profit2018_12,Last_Cashflow2018_12,Last_Earn2018_12,Last_Continue_Earn2018_12,Last_Percent_Operating_Profit2018_12,Last_Percent_Cashflow2018_12,Last_Percent_Earn2018_12,Last_Revenue2018_9,Last_Operating_Profit2018_9,Last_Cashflow2018_9,Last_Earn2018_9,Last_Continue_Earn2018_9,Last_Percent_Operating_Profit2018_9,Last_Percent_Cashflow2018_9,Last_Percent_Earn2018_9,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
117,117,84680,KOSPI,이월드,귀금속 및 장신용품 제조업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",2005-07-26,12월,"방병순, 이수원",http://www.eworld.kr,대구광역시,2020-03-30,46305004919.0,5931582032.0,-17428322343.0,3734776205.0,0.0,12.81,-37.64,8.07,45694553735.0,230357716.0,35712171983.0,669671490.0,0.0,0.5,78.15,1.47,104.0,9120276919.0,1433656448.0,1422382759.0,6697286256.0,0.0,15.72,15.6,73.43,6375055606.0,-601958872.0,4364979355.0,-702679578.0,0.0,-9.44,68.47,-11.02,188.0,33574122681.0,4576440203.0,0.0,9294039772.0,65.0,2729.0,1156.0,3.06,3.53,3.81,5.67,-2.91,9.94,407.7149008769039,
12,12,16880,KOSPI,웅진,기타 금융업,"교육서비스(웅진아이큐,중.고교학습,어린이마을),도서,잡지 출판/부동산 임대/인터넷관련사업",1994-11-05,12월,이수영,http://www.woongjin.com,서울특별시,2020-03-30,228776336461.0,10097389452.0,23798135326.0,-187979466119.0,-181941405813.0,4.41,10.4,-82.17,243435187168.0,44599752218.0,-1149062071.0,7337112976.0,7121403649.0,18.32,-0.47,3.01,-9404.0,64393108383.0,-33126976124.0,-16600935653.0,-49579066393.0,-183902142962.0,-51.44,-25.78,-76.99,69898382367.0,-4378532280.0,-40101730175.0,-23414194887.0,-17689072412.0,-6.26,-57.37,-33.5,-2480.0,290411590277.0,-84221841397.0,-56702665828.0,-103258776034.0,-1291.0,3432.0,2822.0,-25.82,-13.59,-273.97,-45.76,55.85,24.58,255.28077803027404,
127,127,10100,KOSPI,한국프랜지,자동차 신품 부품 제조업,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",1987-10-02,12월,이현덕,http://www.kofco.com,울산광역시,2020-03-30,262939265813.0,6358986905.0,27618894801.0,410165426.0,0.0,2.42,10.5,0.16,239542792668.0,4828637493.0,26175605719.0,5130256135.0,0.0,2.02,10.93,2.14,52.0,76214944844.0,4876814760.0,28104383707.0,6849965630.0,0.0,6.4,36.88,8.99,244399343543.0,-4200131130.0,13847395243.0,-4250238676.0,0.0,-1.72,5.67,-1.74,896.0,793671741516.0,1999688326.0,41951778950.0,1501421275.0,49.0,7491.0,7236.0,0.24,0.23,0.69,0.68,-3.98,3.74,244.9969902244177,
58,58,1390,KOSPI,KG케미칼,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,"곽정현, 김재익",http://www.kgchem.co.kr,울산광역시,2020-03-30,883286508238.0,27358563518.0,69823878404.0,-18974316625.0,219341422536.0,3.1,7.91,-2.15,520148526814.0,39102035460.0,76921972504.0,107005062434.0,0.0,7.52,14.79,20.57,-5472.0,310197081403.0,-2357009115.0,59446182342.0,-11479091835.0,219341422536.0,-0.76,19.16,-3.7,313121653827.0,24878750366.0,-978729575.0,6440419591.0,0.0,7.95,-0.31,2.06,-3308.0,1282776686622.0,72464667392.0,58934038927.0,3352969503.0,241.0,97466.0,43568.0,-1.83,0.22,-5.61,0.55,3.86,-0.4300000000000006,184.7501028194579,
98,98,17550,KOSPI,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,"김병현, 정석현(각자 대표이사)",http://www.soosan.co.kr,경기도,2020-03-30,40476340890.0,393683686.0,6623765618.0,-2744708335.0,0.0,0.97,16.36,-6.78,38444355421.0,1217381786.0,5968221343.0,271345111.0,0.0,3.17,15.52,0.71,-200.0,16148082368.0,-589447836.0,2131734421.0,5122262543.0,0.0,-3.65,13.2,31.72,18559036347.0,-80053022.0,191195441.0,187475580.0,0.0,-0.43,1.03,1.01,376.0,84621622393.0,423307815.0,2322929862.0,6651218858.0,123.0,1859.0,1833.0,-5.89,3.25,-10.76,6.72,4.62,3.6,150.657260519121,
1,1,82740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도,2020-03-30,238646258405.0,-3764018887.0,-2094168406.0,-17220584578.0,-17220584578.0,-1.58,-0.88,-7.22,162162138362.0,577201643.0,-62648759179.0,-3502249752.0,-3502249752.0,0.36,-38.63,-2.16,-1472.0,116146864047.0,-13339264942.0,33721528066.0,-6164716904.0,-28928859045.0,-11.48,29.03,-5.31,137961789807.0,-13036966004.0,-15283014840.0,-6920444688.0,-6920444688.0,-9.45,-11.08,-5.02,-524.0,511302114055.0,-35326999804.0,18438513226.0,-18680215762.0,-399.0,4033.0,4943.0,-8.29,-2.51,-36.49,-8.09,9.9,9.81,105.4693946006406,
8,8,4770,KOSPI,써니전자,전자부품 제조업,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",1987-04-22,12월,차상권,http://www.sunny.co.kr,충청북도,2020-03-27,8750502942.0,1720635985.0,3456301443.0,-259030891.0,-259030891.0,19.66,39.5,-2.96,7929111848.0,2068841330.0,2661125708.0,2433943937.0,2433943937.0,26.09,33.56,30.7,-28.0,4305235710.0,-22782863.0,656818764.0,-154226989.0,125531825.0,-0.53,15.26,-3.58,5177088125.0,385301537.0,360032252.0,297207036.0,310387182.0,7.44,6.95,5.74,-16.0,18683985285.0,646410957.0,1016851016.0,3788681831.0,108.0,1545.0,1208.0,-1.59,6.94,-1.81,9.0,20.19,18.65,103.25258665105704,
3,3,11420,KOSPI,갤럭시아에스엠,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",1989-11-14,12월,이반석,http://galaxiasme.com,서울특별시,2020-03-30,10451233353.0,92515698.0,229094346.0,-321032568.0,-108027571.0,0.89,2.19,-3.07,7954580820.0,491356757.0,674474341.0,383962154.0,66579226.0,6.18,8.48,4.83,-44.0,5171416754.0,-1805908675.0,-498938685.0,-8031241182.0,6053519016.0,-34.92,-9.65,-155.3,5283433332.0,-791146448.0,-2310930530.0,-869542486.0,-831887175.0,-14.97,-43.74,-16.46,-1164.0,22060412648.0,-10337846361.0,-2809869215.0,-16003254996.0,-580.0,791.0,960.0,-4.29,-48.13,-5.56,-60.45,35.81,21.15,102.09613438940411,
13,13,15590,KOSPI,큐로,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",1989-05-27,12월,서상훈,http://www.curo.co.kr,울산광역시,2020-03-30,30121741271.0,4983151725.0,-1024649542.0,-10352590991.0,6719316992.0,16.54,-3.4,-34.37,43192911302.0,4320435826.0,11925324173.0,7379174506.0,0.0,10.0,27.61,17.08,-176.0,15784163265.0,-3652700791.0,-3518389870.0,8204195624.0,6719316992.0,-23.14,-22.29,51.98,22340590006.0,-2847056782.0,6659337528.0,-1420063019.0,0.0,-12.74,29.81,-6.36,140.0,90218429966.0,-15447300496.0,3140947658.0,-16268117497.0,-70.0,422.0,301.0,-18.75,-8.25,-41.61,-23.37,39.68,22.74,90.83521099780008,
27,27,210980,KOSPI,SK디앤디,부동산 임대 및 공급업,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,12월,함스테판윤성,http://www.skdnd.com,경기도,2020-03-30,236669507611.0,53357817611.0,96400200094.0,38391315716.0,0.0,22.55,40.73,16.22,84378264064.0,22777397384.0,180741417259.0,11071747010.0,0.0,26.99,214.2,13.12,6920.0,126175279680.0,14221010028.0,1186406920.0,5338104333.0,0.0,11.27,0.94,4.23,114904752363.0,9733132667.0,-135642800848.0,4916360695.0,0.0,8.47,-118.05,4.28,960.0,562772314281.0,85096953520.0,-134456393928.0,52411696538.0,2362.0,16289.0,15676.0,10.99,3.52,42.48,15.07,11.28,18.52,87.57200951821183,
