,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2020_3,Quarter_Operating_Profit2020_3,Quarter_Cashflow2020_3,Quarter_Earn2020_3,Quarter_Continue_Earn2020_3,Quarter_Percent_Operating_Profit2020_3,Quarter_Percent_Cashflow2020_3,Quarter_Percent_Earn2020_3,Quarter_Revenue2019_12,Quarter_Operating_Profit2019_12,Quarter_Cashflow2019_12,Quarter_Earn2019_12,Quarter_Continue_Earn2019_12,Quarter_Percent_Operating_Profit2019_12,Quarter_Percent_Cashflow2019_12,Quarter_Percent_Earn2019_12,Quarter_Full_EPS,Last_Revenue2019_3,Last_Operating_Profit2019_3,Last_Cashflow2019_3,Last_Earn2019_3,Last_Continue_Earn2019_3,Last_Percent_Operating_Profit2019_3,Last_Percent_Cashflow2019_3,Last_Percent_Earn2019_3,Last_Revenue2018_12,Last_Operating_Profit2018_12,Last_Cashflow2018_12,Last_Earn2018_12,Last_Continue_Earn2018_12,Last_Percent_Operating_Profit2018_12,Last_Percent_Cashflow2018_12,Last_Percent_Earn2018_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
20,20,222080,KOSDAQ,씨아이에스,특수 목적용 기계 제조업,2차전지 제조설비,2015-09-02,12월,김수하,http://www.cisro.co.kr,대구광역시,2020-05-14,27463263852.0,4093701195.0,16463525833.0,-1570966534.0,0.0,14.91,59.95,-5.72,33781703759.0,4486813882.0,23500870706.0,3404105044.0,0.0,13.28,69.57,10.08,58.0,576430112.0,-1678238535.0,8753509567.0,-1356317347.0,0.0,-291.14,1518.57,-235.3,20059555864.0,-6159752754.0,-25299942133.0,-3694578695.0,0.0,-30.71,-126.12,-18.42,-164.0,100552888045.0,15394050219.0,23500870706.0,11194388752.0,182.0,1040.0,808.0,2.02,6.59,5.58,22.54,306.05,43.99,4664.370091061447,
44,44,23770,KOSDAQ,플레이위드,소프트웨어 개발 및 공급업,게임소프트웨어,1994-11-07,12월,김학준,http://www.playwith.co.kr,경기도,2020-05-12,18588549979.0,6463987877.0,4542962050.0,9500415017.0,0.0,34.77,24.44,51.11,27998337074.0,9356883149.0,18809496156.0,6991856657.0,0.0,33.42,67.18,24.97,3788.0,2247983917.0,-841976907.0,-1237942109.0,-899388181.0,0.0,-37.45,-55.07,-40.01,2121116279.0,-1926164475.0,-2676925886.0,-5756737218.0,0.0,-90.81,-126.2,-271.4,-1528.0,56031811004.0,13587166147.0,18809496156.0,9076281287.0,1042.0,3967.0,2074.0,30.81,7.4,95.48,50.26,72.22,124.23,726.8987085907163,
13,13,35620,KOSDAQ,바른손이앤에이,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 및 콘텐츠 제작,1999-08-13,12월,"박진홍, 곽신애(각자대표)",http://www.barunsonena.com/,서울특별시,2020-05-15,4423871714.0,-217318595.0,-2063957515.0,2803660465.0,0.0,-4.91,-46.66,63.38,11348896995.0,-909810692.0,-20902812548.0,-751755407.0,0.0,-8.02,-184.18,-6.62,54.0,809904279.0,-6116213310.0,-3235751064.0,-4907986531.0,0.0,-755.18,-399.52,-606.0,1252639787.0,-8620634917.0,-32194212038.0,-8400674698.0,0.0,-688.2,-2570.11,-670.64,-362.0,16975339380.0,-17734440678.0,-20902812548.0,-18815367471.0,-256.0,1109.0,966.0,3.8,-18.24,4.87,-26.5,750.27,680.1800000000001,446.2215509544184,
6,6,253590,KOSDAQ,네오셈,특수 목적용 기계 제조업,반도체 검사장비,2018-04-04,12월,염동현,http://www.neosem.com,경기도,2020-05-06,10554892387.0,2588037362.0,2658866120.0,2874392242.0,0.0,24.52,25.19,27.23,12744714421.0,1239457741.0,-4882275628.0,1557607385.0,0.0,9.73,-38.31,12.22,234.0,2965707249.0,-2566681745.0,-4490469626.0,-2197112432.0,0.0,-86.55,-151.41,-74.08,8823597576.0,-332668323.0,11150949814.0,-49239939.0,0.0,-3.77,126.38,-0.56,-118.0,27225588076.0,-3334110125.0,-4882275628.0,-1569501327.0,-41.0,1120.0,996.0,12.78,-2.45,20.88,-4.19,111.07,13.5,255.89798657837787,
18,18,160980,KOSDAQ,싸이맥스,특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",2015-06-17,12월,"정혜승, 엄주용 (각자대표)",http://www.cymechs.com,경기도,2020-05-15,51826871762.0,8038536092.0,8449527259.0,3595167120.0,0.0,15.51,16.3,6.94,32200878102.0,3123278186.0,651713873.0,2635062644.0,0.0,9.7,2.02,8.18,1140.0,17273782180.0,324653878.0,700932859.0,783086603.0,0.0,1.88,4.06,4.53,19869658617.0,-311444891.0,20977064770.0,-1460302671.0,0.0,-1.57,105.57,-7.35,-122.0,83475335219.0,1974606051.0,651713873.0,4240262561.0,388.0,10279.0,9677.0,7.19,2.82,11.09,4.01,13.63,11.27,200.0319861738583,2.858769108503368
7,7,69140,KOSDAQ,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업","경관조명, 경관시설",2010-10-26,12월,"이규홍,이강우 (공동대표)",http://www.nuriplan.com,경기도,2020-05-14,31613233496.0,1688763204.0,1011941425.0,714819092.0,0.0,5.34,3.2,2.26,36879953046.0,1383267613.0,-2444747083.0,-4491804684.0,0.0,3.75,-6.63,-12.18,-1062.0,11336517941.0,-595972563.0,174071112.0,127562909.0,0.0,-5.26,1.54,1.13,13344854701.0,-352767697.0,-1907584062.0,-361561191.0,0.0,-2.64,-14.29,-2.71,-64.0,91289923843.0,-2268367669.0,-2444747083.0,-3243838204.0,-456.0,3123.0,3851.0,-6.88,-2.76,-34.0,-11.86,10.6,6.390000000000001,178.86193680042268,
10,10,263600,KOSDAQ,덕우전자,전자부품 제조업,카메라 모듈 부품,2017-08-28,12월,이준용,http://www.derkwoo.com,경상북도,2020-05-15,43066991910.0,5016541185.0,5685101825.0,4178167917.0,0.0,11.65,13.2,9.7,46584032870.0,5862773781.0,18741587723.0,4092092369.0,9174170015.0,12.59,40.23,8.78,1038.0,16411951954.0,-2049071932.0,-4560620296.0,-1657689752.0,0.0,-12.49,-27.79,-10.1,24457479913.0,188243129.0,-5564135451.0,-2749557338.0,9174170015.0,0.77,-22.75,-11.24,-552.0,129391206180.0,12365619581.0,18741587723.0,8863054076.0,556.0,5775.0,5585.0,13.71,7.46,17.97,9.96,24.14,11.82,162.41236892911758,
21,21,196170,KOSDAQ,알테오젠,자연과학 및 공학 연구개발업,바이오시밀러 및 바이오베터,2014-12-12,12월,박순재,http://www.alteogen.com,대전광역시,2020-05-15,9876046066.0,1317439095.0,-1454772367.0,2138957801.0,0.0,13.34,-14.73,21.66,14610701382.0,6604962164.0,9133183987.0,6025084033.0,0.0,45.21,62.51,41.24,376.0,3863043032.0,-3566647580.0,-1508906339.0,-3278625546.0,0.0,-92.33,-39.06,-84.87,3393165278.0,-1271761610.0,-9112552126.0,-1123423138.0,0.0,-37.48,-268.56,-33.11,-202.0,29229181883.0,-2252031255.0,9133183987.0,-1738267459.0,-40.0,1816.0,1621.0,15.45,-2.02,20.7,-2.48,105.67,82.69,155.65457035271254,
29,29,131390,KOSDAQ,원익피앤이,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 공정용 장비, 산업용 정류기",2011-09-27,12월,박동찬,http://www.pnesolution.com,경기도,2020-05-12,35486721362.0,4952663618.0,18059751305.0,4823944263.0,0.0,13.96,50.89,13.59,84368922822.0,10127835331.0,-16470753677.0,8630254365.0,0.0,12.0,-19.52,10.23,1814.0,14033017520.0,314677271.0,-8553885711.0,598182453.0,0.0,2.24,-60.96,4.26,47364275362.0,3531781520.0,7891955459.0,2926543393.0,0.0,7.46,16.66,6.18,474.0,147158084223.0,17764701391.0,-16470753677.0,15651933831.0,1056.0,6424.0,5393.0,16.34,8.82,28.23,19.58,11.72,4.54,152.88018996216576,
249,249,138690,KOSDAQ,엘아이에스,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C",2011-06-02,12월,임태원,http://www.liser.co.kr,경기도,2020-05-12,52748644763.0,4432114166.0,-7187962989.0,8562158966.0,8547320869.0,8.4,-13.63,16.23,62293116437.0,3187388647.0,-18517659592.0,-4673807438.0,-1953181713.0,5.12,-29.73,-7.5,468.0,22961710487.0,1025512076.0,-11701142914.0,418277791.0,1320548965.0,4.47,-50.96,1.82,29639177885.0,-1120004727.0,18859027358.0,-6186619545.0,-6728531187.0,-3.78,63.63,-20.87,-694.0,145119083456.0,8494764012.0,-18517659592.0,-2109105638.0,-127.0,2857.0,2521.0,3.4,-0.97,16.38,-5.04,3.9300000000000006,8.9,129.72437002401963,
