,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2018_9,Quarter_Operating_Profit2018_9,Quarter_Cashflow2018_9,Quarter_Earn2018_9,Quarter_Continue_Earn2018_9,Quarter_Percent_Operating_Profit2018_9,Quarter_Percent_Cashflow2018_9,Quarter_Percent_Earn2018_9,Quarter_Revenue2018_6,Quarter_Operating_Profit2018_6,Quarter_Cashflow2018_6,Quarter_Earn2018_6,Quarter_Continue_Earn2018_6,Quarter_Percent_Operating_Profit2018_6,Quarter_Percent_Cashflow2018_6,Quarter_Percent_Earn2018_6,Quarter_Full_EPS,Last_Revenue2017_9,Last_Operating_Profit2017_9,Last_Cashflow2017_9,Last_Earn2017_9,Last_Continue_Earn2017_9,Last_Percent_Operating_Profit2017_9,Last_Percent_Cashflow2017_9,Last_Percent_Earn2017_9,Last_Revenue2017_6,Last_Operating_Profit2017_6,Last_Cashflow2017_6,Last_Earn2017_6,Last_Continue_Earn2017_6,Last_Percent_Operating_Profit2017_6,Last_Percent_Cashflow2017_6,Last_Percent_Earn2017_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
8,8,134790,KOSPI,시디즈,가구 제조업,의자,2011-01-25,12월,대표이사 이상배,http://www.sidiz.com,경기도,2018-11-14,40878225683.0,970299977.0,5034865347.0,803128071.0,0.0,2.37,12.32,1.96,43463440396.0,2130980106.0,-1317932691.0,1958755888.0,0.0,4.9,-3.03,4.51,1604.0,2358219965.0,-45893898.0,54307791.0,117718912.0,0.0,-1.95,2.3,4.99,2703683617.0,-253982020.0,340677225.0,-95873881.0,0.0,-9.39,12.6,-3.55,232.0,12520488308.0,-237673335.0,-797467424.0,308326900.0,154.0,23888.0,10885.0,2.28,1.32,6.71,1.42,4.32,14.29,1633.4356544216605,
122,122,1800,KOSPI,오리온홀딩스,기타 금융업,자회사 관리 지주사업 등,1975-06-27,12월,허인철,http://www.oriongroup.co.kr,서울특별시,2018-11-14,494790747478.0,52508028806.0,283948835029.0,12544371984.0,12544371984.0,10.61,57.39,2.54,436061072310.0,32065886591.0,141080463256.0,28557085948.0,28557085948.0,7.35,32.35,6.55,800.0,57615231396.0,11022972193.0,-23199525024.0,13690749931.0,18176666457.0,19.13,-40.27,23.76,15928474191.0,-3724607310.0,-35983165589.0,1496439266087.0,-3397015645.0,-23.38,-225.9,9394.74,872.0,112748277933.0,4900910146.0,-8784025368.0,1480312927908.0,23627.0,101690.0,49765.0,0.58,34.4,0.79,47.48,-8.52,30.73,758.7846225544299,
18,18,5870,KOSPI,휴니드,통신 및 방송 장비 제조업,"무선통신기기,군납용무전기,위성방송수신기 제조",1991-09-03,12월,신종석,http://www.huneed.com,인천광역시,2018-11-13,52205716163.0,4381251191.0,50844288209.0,3993536601.0,0.0,8.39,97.39,7.65,39180350210.0,3488915200.0,37682280635.0,2934557569.0,0.0,8.9,96.18,7.49,1128.0,7583919606.0,-1995100634.0,-23857277720.0,-2529575741.0,0.0,-26.31,-314.58,-33.35,6969984746.0,-701940775.0,-20980747350.0,-145441945.0,0.0,-10.07,-301.02,-2.09,-716.0,180853581251.0,16809732046.0,-8403801541.0,17577614503.0,1245.0,16544.0,7763.0,4.09,11.9,6.82,16.04,34.7,18.97,588.3738076772013,
0,0,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2018-11-14,66228622234.0,14239127350.0,-28258722970.0,15001526099.0,15001526099.0,21.5,-42.67,22.65,59596768674.0,12364453860.0,-34498409990.0,14184769285.0,14184769285.0,20.75,-57.89,23.8,624.0,27796878247.0,3136628270.0,324701844297.0,93332856140.0,5426463720.0,11.28,1168.12,335.77,29408746023.0,3947074459.0,242852588379.0,61005240432.0,4469944370.0,13.42,825.78,207.44,3900.0,123842619339.0,10447735458.0,384116106715.0,3497647213475.0,36539.0,32040.0,7576.0,1.83,407.59,1.95,482.28,10.22,7.33,138.25920898562694,
49,49,3000,KOSPI,부광약품,의약품 제조업,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",1988-08-05,12월,유희원,http://www.bukwang.co.kr,서울특별시,2018-11-12,76265944382.0,29508912489.0,7752225163.0,143893507019.0,0.0,38.69,10.16,188.67,40541274803.0,3762835899.0,6873901552.0,2525996996.0,0.0,9.28,16.96,6.23,8100.0,38356048868.0,3705930314.0,5557572857.0,3213407289.0,0.0,9.66,14.49,8.38,38929737854.0,319616543.0,7977048671.0,1902888419.0,0.0,0.82,20.49,4.89,180.0,150743453786.0,7675927716.0,8562581716.0,11090626648.0,156.0,9680.0,2973.0,70.29,4.69,83.67,5.25,29.03,8.459999999999999,98.83681096680368,
11,11,4920,KOSPI,씨아이테크,그외 기타 제품 제조업,"컴퓨터 소프트웨어,하드웨어 서버,도매",1989-11-30,12월,김대영,http://www.citech.kr,서울특별시,2018-11-14,7543204261.0,-715672953.0,-3154223391.0,-965264915.0,0.0,-9.49,-41.82,-12.8,7445337373.0,-463612374.0,-1365952240.0,-347172176.0,0.0,-6.23,-18.35,-4.66,-96.0,4452834123.0,-1410395628.0,274818205.0,-42549936.0,0.0,-31.67,6.17,-0.96,4509380767.0,-1687596617.0,-420313467.0,-2798590538.0,0.0,-37.42,-9.32,-62.06,-4.0,21725114391.0,-2899994750.0,916915101.0,-10847281343.0,-271.0,1145.0,551.0,-5.07,-28.36,-8.38,-49.2,22.18,31.19,69.40231889702486,
2,2,37270,KOSPI,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,http://www.ygplus.com,서울특별시,2018-11-14,27677257883.0,914303254.0,553578226.0,-650036349.0,-650036349.0,3.3,2.0,-2.35,28059105005.0,124386860.0,5246809.0,-685077007.0,-685077007.0,0.44,0.02,-2.44,-40.0,17326693482.0,-1219376977.0,-1063302799.0,-1112430245.0,-1232437273.0,-7.04,-6.14,-6.42,21821214908.0,-895151573.0,-361411212.0,80503248.0,113011442.0,-4.1,-1.66,0.37,-68.0,72462525143.0,-6011798387.0,-5103187749.0,-8154974317.0,-128.0,3499.0,1799.0,-0.9,-6.0,-1.14,-7.15,10.34,4.54,59.73767823475831,-4.589250479923464
15,15,145270,KOSPI,케이탑리츠,부동산 임대 및 공급업,부동산 임대,2012-01-31,12월,이명식,http://www.ktopreits.co.kr,서울특별시,2018-11-12,2769648337.0,1757582660.0,-48308513653.0,669336037.0,0.0,63.46,-1744.21,24.17,2612663646.0,1643827767.0,-48791431252.0,679029261.0,0.0,62.92,-1867.5,25.99,68.0,1761257552.0,989679090.0,-1040319232.0,491236212.0,0.0,56.19,-59.07,27.89,1968709857.0,901656111.0,-358476364.0,297556028.0,0.0,45.8,-18.21,15.11,48.0,8564156392.0,4969529901.0,-9799622709.0,2479301924.0,64.0,3214.0,1592.0,0.66,1.66,2.12,4.03,7.270000000000003,17.120000000000005,57.25402192626056,
20,20,181710,KOSPI,NHN,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도,2018-11-14,338881488926.0,21797012541.0,369070506.0,26064480225.0,0.0,6.43,0.11,7.69,325212843923.0,14893950189.0,16371177011.0,25635048706.0,0.0,4.58,5.03,7.88,5328.0,219737830867.0,5523312454.0,-40399077639.0,2683418645.0,0.0,2.51,-18.39,1.22,224944394687.0,9910976180.0,-49014124761.0,7399170652.0,0.0,4.41,-21.79,3.29,548.0,909115708183.0,34732711952.0,-43474521378.0,16601028540.0,848.0,189224.0,84741.0,2.26,0.78,2.82,1.0,3.92,0.1699999999999999,54.22082196265681,
34,34,192820,KOSPI,코스맥스,기타 화학제품 제조업,화장품,2014-04-07,12월,"이병만, 심상배",http://www.cosmax.com,경기도,2018-11-14,314642929648.0,13246666451.0,-28819146717.0,4214603872.0,0.0,4.21,-9.16,1.34,327531361364.0,18577928583.0,-32273910609.0,9740285256.0,0.0,5.67,-9.85,2.97,1484.0,208528655189.0,5024391762.0,-4659159495.0,3275156872.0,0.0,2.41,-2.23,1.57,232299318754.0,14320166337.0,-2628395944.0,10538837134.0,0.0,6.16,-1.13,4.54,1152.0,883950013573.0,35140124481.0,-6616556836.0,18855174648.0,1660.0,42833.0,20116.0,0.83,2.02,3.46,8.26,1.7999999999999998,-0.4900000000000002,50.88714275878454,
