,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Full_EPS,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2021-05-17,6895303260.0,-1959028511.0,1031605948.0,967721837.0,967721837.0,-28.41,14.96,14.03,8507283181.0,-2203513782.0,-8405977345.0,-46612394737.0,-45564380183.0,-25.9,-98.81,-547.91,-4476.0,5235574241.0,-2356519723.0,-10519961.0,-413901012.0,-599659468.0,-45.01,-0.2,-7.91,7451079263.0,-2146043479.0,-4095940638.0,2052443130.0,-40182328662.0,-28.8,-54.97,27.55,160.0,25345952537.0,-10877059034.0,-8405977345.0,-46872920717.0,-2298.0,5954.0,8167.0,-38.56,-17.03,-75.17,-28.14
1,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2021-05-14,112719094448.0,12194348715.0,2040412186.0,13990103356.0,0.0,10.82,1.81,12.41,178615515889.0,12457314211.0,63603566505.0,649884801.0,0.0,6.97,35.61,0.36,1916.0,121063859453.0,7936871351.0,8544349079.0,8211291126.0,0.0,6.56,7.06,6.78,164516311606.0,11201173160.0,18066603027.0,2023002472.0,0.0,6.81,10.98,1.23,1338.0,591795352612.0,46277808090.0,63603566505.0,24951026992.0,1632.0,9853.0,9041.0,8.55,6.72,19.44,18.06
2,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2021-05-14,5896003439.0,-981792965.0,2604569363.0,122590527.0,0.0,-16.65,44.18,2.08,19551936394.0,4038407679.0,15507478599.0,-2431294707.0,0.0,20.65,79.31,-12.44,-306.0,7254426867.0,11184636.0,38542687.0,1115308706.0,0.0,0.15,0.53,15.37,22353174388.0,6939577412.0,7119962177.0,-841231086.0,0.0,31.05,31.85,-3.76,36.0,45379281619.0,4376442736.0,15507478599.0,-1361421642.0,-90.0,5163.0,5297.0,-4.31,-1.21,-5.93,-1.7
3,32790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,2021-05-14,12467896512.0,-406594036.0,515244417.0,-278971924.0,0.0,-3.26,4.13,-2.24,14497574500.0,236304125.0,565554068.0,-3121889573.0,0.0,1.63,3.9,-21.53,-230.0,11920989597.0,-1229723354.0,-142541874.0,-1750515016.0,0.0,-10.32,-1.2,-14.68,13219416945.0,-874261921.0,-5940527352.0,-6795786434.0,0.0,-6.61,-44.94,-51.41,-578.0,54588246084.0,-1516977958.0,565554068.0,-6591115646.0,-223.0,976.0,771.0,-15.64,-15.79,-23.56,-28.92
4,13720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,2021-05-17,5743664931.0,-1510677112.0,-737668908.0,-1534891158.0,0.0,-26.3,-12.84,-26.72,5391489794.0,-706107402.0,-1040353985.0,-1355745220.0,0.0,-13.1,-19.3,-25.15,-140.0,4683205798.0,-411716097.0,-827884873.0,-353969035.0,0.0,-8.79,-17.68,-7.56,5182232838.0,-71152991.0,2740767309.0,-123214787.0,0.0,-1.37,52.89,-2.38,-22.0,16710124584.0,-2452531875.0,-1040353985.0,-3028248235.0,-74.0,438.0,485.0,-7.73,-6.83,-31.91,-15.25
5,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2021-05-17,791892518197.0,93616824114.0,178056021088.0,73560592046.0,0.0,11.82,22.48,9.29,944270288497.0,87912814095.0,566412764825.0,-32488778022.0,-36581500660.0,9.31,59.98,-3.44,3744.0,810766913727.0,39725632258.0,56136204412.0,26875251693.0,0.0,4.9,6.92,3.31,1014120293751.0,42684654836.0,743378557941.0,-30473583489.0,-99405122378.0,4.21,73.3,-3.0,-328.0,3391184002869.0,272067865192.0,566412764825.0,56926322621.0,2595.0,192634.0,172594.0,1.23,0.91,1.94,1.5
6,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2021-05-17,546068559585.0,3148013050.0,38570556826.0,-4429156353.0,0.0,0.58,7.06,-0.81,600267391639.0,-5464016646.0,126251239674.0,-15574391264.0,0.0,-0.91,21.03,-2.59,-3368.0,602479627165.0,-12612946685.0,18775907268.0,-20023494997.0,0.0,-2.09,3.12,-3.32,780813598938.0,14535344726.0,78647570575.0,2155837609.0,0.0,1.86,10.07,0.28,-3010.0,2478528727709.0,-3545694413.0,126251239674.0,-42517696613.0,-3581.0,23779.0,24110.0,-4.59,-3.79,-14.16,-14.85
7,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2021-05-14,15781252914.0,126446654.0,754029112.0,1292503740.0,1292503740.0,0.8,4.78,8.19,16858568864.0,495912640.0,2944288629.0,-2458798269.0,-2458798269.0,2.94,17.46,-14.58,-16.0,14547705662.0,222470766.0,1787751589.0,1219380463.0,1219380463.0,1.53,12.29,8.38,16023275801.0,991813788.0,2823387027.0,346100632.0,-2490079526.0,6.19,17.62,2.16,22.0,64459891270.0,1822364992.0,2944288629.0,214996493.0,1.0,1300.0,1304.0,-1.18,0.11,-1.23,0.12
8,23460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도,2021-05-17,75935815062.0,11308454615.0,-21068405405.0,8375266115.0,8375266115.0,14.89,-27.75,11.03,108026418171.0,31483099536.0,-9806763425.0,14074625786.0,14074625786.0,29.14,-9.08,13.03,1206.0,58047810668.0,-10725192635.0,-67475419346.0,-10024936409.0,-10024936409.0,-18.48,-116.24,-17.27,64154595805.0,6935088403.0,-20488736456.0,2340388766.0,17043178948.0,10.81,-31.94,3.65,-412.0,308789569737.0,55610775660.0,-9806763425.0,29442437096.0,791.0,4206.0,3618.0,6.7,5.28,28.67,21.87
9,56730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,박종승,http://www.cnt85.com,경기도,2021-05-17,6999382566.0,-39014419.0,-2533920268.0,-205688073.0,-205688073.0,-0.56,-36.2,-2.94,822073043.0,-2530971284.0,-12228599901.0,656378486.0,-89485670.0,-307.88,-1487.53,79.84,12.0,552608685.0,-1108910861.0,306594153.0,-2180365421.0,-2178727838.0,-200.67,55.48,-394.56,-5837980020.0,-233745728.0,-2497716979.0,-25337985176.0,-1550946900.0,4.0,42.78,434.02,-778.0,896922665.0,-4763804179.0,-12228599901.0,-7131802782.0,-100.0,192.0,319.0,1.11,-11.91,6.23,-31.58
