,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Full_EPS,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
152,88790,KOSPI,진도,기타 전문 도매업,"모피제품 제조,가공",2006-03-28,12월,임병남,http://www.jindofand.co.kr,서울특별시,2022-08-16,12447056.0,14642736158.0,963364415.0,10706336765.0,1038630662.0,0.0,6.58,73.12,7.09,22454810616.0,522444592.0,5608187908.0,-594512502.0,0.0,2.33,24.98,-2.65,332.0,14792131906.0,81916863.0,12614536795.0,146964829.0,0.0,0.55,85.28,0.99,26800346973.0,96975066.0,6188271347.0,463905904.0,0.0,0.36,23.09,1.73,44.0,54469358174.0,-1691198041.0,12623530642.0,-1810582912.0,-145.0,7845.0,7800.0,3.31,-1.41,4.23,-1.86,6.03,1.97,-1.009967656787876,,3070,38212461920,9.25,4100,93.18,-28.28,7.8,148.31,115.96,2021-04-02,44.47,33.55,2022-04-05
93,1770,KOSPI,SHD,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,12월,신종호,http://www.shinhwatp.com,경기도,2022-08-12,1214746.0,23166145869.0,144370135.0,5135446558.0,290722023.0,0.0,0.62,22.17,1.25,22664269254.0,661944523.0,1209224251.0,309361830.0,0.0,2.92,5.34,1.36,956.0,17793477352.0,-42326816.0,-2200796859.0,88390874.0,0.0,-0.24,-12.37,0.5,20183653227.0,31560483.0,-48209886.0,-60108328.0,0.0,0.16,-0.24,-0.3,288.0,77326954913.0,187172486.0,2635738274.0,489045220.0,402.0,29351.0,28486.0,1.58,0.76,3.26,1.41,0.86,2.76,30.19459552910892,,32300,39236295800,33.79,43000,149.31,106.97,3.94,125.52,34.06,2021-04-12,52.54,33.13,2022-06-14
16,7120,KOSPI,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시,2022-08-16,129468965.0,1938172189.0,246608072.0,730914626.0,1650399246.0,0.0,12.72,37.71,85.15,1789198311.0,589635076.0,2359580845.0,423848758.0,0.0,32.96,131.88,23.69,48.0,1029958371.0,-171783587.0,-1276621100.0,2573917143.0,0.0,-16.68,-123.95,249.9,1578641174.0,105887976.0,-163346631.0,11964217376.0,0.0,6.71,-10.35,757.88,76.0,5770766444.0,687037164.0,2983007328.0,19674056457.0,151.0,708.0,691.0,6.47,21.31,6.78,21.99,29.4,26.25,88.179662748719,,350,45314137750,7.29,593,7.8,3.93,3.52,129.84,106.86,2021-06-25,69.43,69.43,2021-08-18
49,25530,KOSPI,SJM홀딩스,자동차 부품 및 내장품 판매업,지주회사및경영자문,1997-02-12,12월,"김용호, 김휘중(각자대표이사)",http://www.sjmholdings.co.kr,경기도,2022-08-16,14936126.0,39868930250.0,4426395770.0,-897752297.0,3112243636.0,0.0,11.1,-2.25,7.81,40430640911.0,3900977323.0,8797590308.0,-154805506.0,0.0,9.65,21.76,-0.38,832.0,39010549438.0,2735561542.0,677228071.0,2721065364.0,0.0,7.01,1.74,6.98,40804139617.0,1352956514.0,3968973776.0,-101987900.0,0.0,3.32,9.73,-0.25,728.0,141553459488.0,6417568301.0,22076635654.0,2997628184.0,200.0,16858.0,16597.0,3.93,0.97,4.94,1.21,4.09,6.33,2.200381241397885,,3145,46974116270,3.78,4185,5.75,20.93,0.8,111.41,76.79,2021-07-02,33.2,33.07,2022-03-31
15,25560,KOSPI,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",1996-11-22,12월,선종업,http://www.mirae.co.kr,충청남도,2022-08-16,4452371.0,9990720136.0,1383617925.0,-1496272807.0,1748557152.0,0.0,13.85,-14.98,17.5,16673603524.0,1556623920.0,495499210.0,-630322760.0,-6722372567.0,9.34,2.97,-3.78,1568.0,4907814442.0,-671570200.0,1964072558.0,80988317.0,0.0,-13.68,40.02,1.65,-16634280250.0,1931918928.0,3634295363.0,-3794656.0,-6722372567.0,-11.61,-21.85,0.02,72.0,41560381733.0,1265380568.0,-683396325.0,-6722372567.0,-1509.0,15748.0,14391.0,6.58,-7.02,9.96,-10.49,27.53,20.95,103.56760130337462,,11100,49421318100,7.08,24350,338.19,-16.14,1.92,282.93,353.65,2019-08-21,117.66,119.37,2022-04-04
24,9310,KOSPI,참엔지니어링,특수 목적용 기계 제조업,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매),1987-11-12,12월,변인재,http://www.charmeng.com,경기도,2022-08-16,58870986.0,51731530042.0,-731707191.0,8262229799.0,982988322.0,0.0,-1.41,15.97,1.9,41934870487.0,2713198421.0,36969843796.0,-8478475421.0,0.0,6.47,88.16,-20.22,64.0,21447009049.0,-4032192127.0,-53458028984.0,633348663.0,0.0,-18.8,-249.26,2.95,28659853483.0,-1675917229.0,19646264964.0,-7568962578.0,0.0,-5.85,68.55,-26.41,40.0,168672528847.0,7046068143.0,7974082409.0,6827301840.0,115.0,1421.0,1474.0,0.44,0.91,4.5,7.86,17.39,12.32,141.20626761432763,,978,57575824308,15.28,1685,42.12,14.65,15.74,56.83,82.0,2021-07-06,94.57,72.29,2022-04-14
173,14130,KOSPI,한익스프레스,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",1989-07-25,12월,"유인철, 이석환 (각자대표)",http://www.hanex.co.kr,경기도,2022-08-16,11998898.0,188430966788.0,3363701121.0,425292887.0,2165155630.0,0.0,1.79,0.23,1.15,157311499739.0,1331557285.0,6642524817.0,-6870012993.0,0.0,0.85,4.22,-4.37,720.0,153828026728.0,2144387885.0,-5154160953.0,1355256026.0,0.0,1.39,-3.35,0.88,151727640430.0,591966864.0,6298097064.0,16032155.0,0.0,0.39,4.15,0.01,448.0,615258839122.0,10659805644.0,20120682584.0,-1905833208.0,-158.0,5213.0,5716.0,2.78,-0.63,13.81,-2.78,0.4000000000000001,0.4599999999999999,22.494561489230573,,5310,63714148380,7.38,6950,15.51,-43.99,2.57,89.66,69.3,2020-12-16,31.38,30.89,2021-09-07
6,23150,KOSPI,MH에탄올,알코올음료 제조업,"주정,탄산가스 제조",1996-12-24,12월,최동호,http://www.mhethanol.com,경상남도,2022-08-12,7378785.0,22126812076.0,4019872468.0,5963389151.0,1661425970.0,0.0,18.17,26.95,7.51,24875341642.0,8122699636.0,10212352378.0,4198179709.0,0.0,32.65,41.05,16.88,900.0,19766181220.0,-5096240491.0,-5404522072.0,-1172801400.0,0.0,-25.78,-27.34,-5.93,21617407816.0,3572258205.0,450100541.0,-1706589656.0,0.0,16.52,2.08,-7.89,-632.0,94645239210.0,15781923138.0,18985795759.0,6825562286.0,925.0,11340.0,10899.0,1.51,1.52,7.94,8.49,43.95,16.13,11.942776552161956,,9150,67515882750,10.17,16300,-25.79,17.62,1.76,156.69,78.14,2021-09-16,80.31,78.14,2021-09-16
141,8600,KOSPI,윌비스,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",1989-07-28,12월,"임찬혁(대표집행임원), 송주호(대표집행임원)",http://www.willbes.com,충청남도,2022-08-16,67241644.0,72119530277.0,3309694508.0,2439527022.0,-762899876.0,0.0,4.59,3.38,-1.06,59167208744.0,2031055462.0,370741391.0,1495674890.0,0.0,3.43,0.63,2.53,-44.0,69058187581.0,2459566955.0,1309001893.0,-258760705.0,0.0,3.56,1.9,-0.37,67601132954.0,-22516261854.0,12396427134.0,-30613781583.0,0.0,-33.31,18.34,-45.29,-12.0,239612065664.0,2385302936.0,-5933774029.0,-2484687644.0,-36.0,1526.0,1474.0,-0.97,-0.87,-2.88,-2.51,1.0299999999999998,36.74,4.4329902119271205,,1015,68250268660,-23.07,2555,-212.92,-70.97,2.84,143.48,175.86,2021-06-03,156.27,151.72,2021-09-09
26,6200,KOSPI,한국전자홀딩스,기타 금융업,"시장조사,경영컨설팅",1979-11-30,12월,박 명 덕,http://www.kecholdings.co.kr,서울특별시,2022-08-16,46808182.0,72455609016.0,2998900501.0,787526982.0,13546919428.0,13546919428.0,4.14,1.09,18.7,62314829168.0,216169857.0,6354278874.0,-34998309371.0,-34929668399.0,0.35,10.2,-56.16,1156.0,52287346598.0,-1109933042.0,3791337854.0,558240692.0,580102440.0,-2.12,7.25,1.07,50595356167.0,-11818832919.0,10493289756.0,-26819667793.0,-36942376053.0,-23.36,20.74,-53.01,44.0,221480449265.0,-195791683.0,18284001041.0,-34799537719.0,-743.0,3998.0,4432.0,12.24,-8.44,28.91,-16.77,6.26,23.71,38.57197530610865,,1515,70914395730,1.31,2565,58.3,-3.45,4.12,322.57,69.31,2021-12-07,82.56,69.31,2021-12-07
