,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2019_9,Quarter_Operating_Profit2019_9,Quarter_Cashflow2019_9,Quarter_Earn2019_9,Quarter_Continue_Earn2019_9,Quarter_Percent_Operating_Profit2019_9,Quarter_Percent_Cashflow2019_9,Quarter_Percent_Earn2019_9,Quarter_Revenue2019_6,Quarter_Operating_Profit2019_6,Quarter_Cashflow2019_6,Quarter_Earn2019_6,Quarter_Continue_Earn2019_6,Quarter_Percent_Operating_Profit2019_6,Quarter_Percent_Cashflow2019_6,Quarter_Percent_Earn2019_6,Quarter_Full_EPS,Last_Revenue2018_9,Last_Operating_Profit2018_9,Last_Cashflow2018_9,Last_Earn2018_9,Last_Continue_Earn2018_9,Last_Percent_Operating_Profit2018_9,Last_Percent_Cashflow2018_9,Last_Percent_Earn2018_9,Last_Revenue2018_6,Last_Operating_Profit2018_6,Last_Cashflow2018_6,Last_Earn2018_6,Last_Continue_Earn2018_6,Last_Percent_Operating_Profit2018_6,Last_Percent_Cashflow2018_6,Last_Percent_Earn2018_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
32,32,2620,KOSPI,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",1988-01-20,12월,한상철,http://www.jeilpharm.co.kr,서울특별시,2019-11-14,182101711118.0,4845700898.0,22502320778.0,2880505868.0,2880505868.0,2.66,12.36,1.58,185349357615.0,6834904998.0,28402273674.0,3819965772.0,3819965772.0,3.69,15.32,2.06,720.0,16481176898.0,2457910500.0,2853656515.0,1856110144.0,1856110144.0,14.91,17.31,11.26,16294275482.0,1917420979.0,2667985961.0,2055445258.0,2055445258.0,11.77,16.37,12.61,464.0,142736342504.0,10949406740.0,-3432762666.0,7301628910.0,457.0,74288.0,36908.0,0.64,0.79,0.97,1.24,-12.25,-8.08,1004.907205626184,
149,149,84680,KOSPI,이월드,귀금속 및 장신용품 제조업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",2005-07-26,12월,"방병순, 이수원",http://www.eworld.kr,대구광역시,2019-11-14,45694553735.0,230357716.0,35712171983.0,669671490.0,0.0,0.5,78.15,1.47,51492454665.0,4588768883.0,34188585890.0,3393052917.0,0.0,8.91,66.4,6.59,16.0,6375055606.0,-601958872.0,4364979355.0,-702679578.0,0.0,-9.44,68.47,-11.02,9850108795.0,2307999727.0,6004209589.0,1995589953.0,0.0,23.43,60.96,20.26,-16.0,33574122681.0,4576440203.0,0.0,9294039772.0,65.0,5471.0,1156.0,0.23,3.53,0.29,5.67,9.94,-14.52,616.7710614475855,
8,8,6880,KOSPI,신송홀딩스,산업용 농·축산물 및 동·식물 도매업,사업경영 및 관리자문,2013-11-21,12월,조갑주,http://www.singsongholdings.com,서울특별시,2019-11-14,114534655280.0,-2280818847.0,-308256145.0,-1645200899.0,-1754526557.0,-1.99,-0.27,-1.44,62615026313.0,-328532275.0,-20033487654.0,-631531458.0,-606934271.0,-0.52,-31.99,-1.01,-556.0,25561853055.0,-1904294065.0,-7698098147.0,-2391514996.0,-2295928510.0,-7.45,-30.12,-9.36,43682663953.0,-2589722602.0,-14519892764.0,-11640190169.0,-1130143160.0,-5.93,-33.24,-26.65,-808.0,163341579807.0,-2970860399.0,14262948987.0,-13908345839.0,-1175.0,20946.0,10571.0,-1.47,-6.78,-2.65,-11.12,5.46,5.41,348.0686710527685,
13,13,16880,KOSPI,웅진,기타 금융업,"교육서비스(웅진아이큐,중.고교학습,어린이마을),도서,잡지 출판/부동산 임대/인터넷관련사업",1994-11-05,12월,이수영,http://www.woongjin.com,서울특별시,2019-11-14,243435187168.0,44599752218.0,-1149062071.0,7337112976.0,7121403649.0,18.32,-0.47,3.01,245265908202.0,30063522788.0,-6681680793.0,-22380923069.0,-11760702904.0,12.26,-2.72,-9.13,364.0,69898382367.0,-4378532280.0,-40101730175.0,-23414194887.0,-17689072412.0,-6.26,-57.37,-33.5,74431864737.0,-4899717857.0,-17449049725.0,-19550789000.0,-4344697190.0,-6.58,-23.44,-26.27,-1168.0,290411590277.0,-84221841397.0,-56702665828.0,-103258776034.0,-1291.0,11595.0,2822.0,0.49,-13.59,3.14,-45.76,24.58,18.84,248.2701300437092,
100,100,13700,KOSPI,까뮤이앤씨,건물 건설업,"토목공사,건축공사/부동산 임대",1989-11-30,12월,손병재,http://www.camusenc.com,경기도,2019-11-13,80838036633.0,5546295019.0,-9637056565.0,3392463136.0,0.0,6.86,-11.92,4.2,84320586310.0,5929028776.0,-8425039876.0,4307250522.0,0.0,7.03,-9.99,5.11,300.0,25182548478.0,-91043636.0,-18505698279.0,-292705547.0,0.0,-0.36,-73.49,-1.16,22893028308.0,713952543.0,-13905893779.0,-533650321.0,0.0,3.12,-60.74,-2.33,-24.0,116296827608.0,4050403632.0,-6807594676.0,1738795778.0,38.0,3019.0,1319.0,3.78,1.22,9.94,2.92,7.220000000000001,3.91,221.008164458104,
14,14,31820,KOSPI,콤텍시스템,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수",1997-02-12,12월,권창완 집행임원,http://www.comtec.co.kr,서울특별시,2019-11-14,71435558545.0,3694358575.0,-27889305442.0,2342609612.0,0.0,5.17,-39.04,3.28,49374462107.0,1510939277.0,-15406556440.0,1802650363.0,0.0,3.06,-31.2,3.65,76.0,30013391730.0,-983600285.0,-4796899672.0,-1866879422.0,0.0,-3.28,-15.98,-6.22,25402872914.0,-1173655933.0,1351994245.0,988780724.0,0.0,-4.62,5.32,3.89,-60.0,125165448085.0,3160832304.0,4060659469.0,6553667543.0,54.0,1273.0,635.0,3.36,5.77,5.97,8.51,8.45,7.68,138.0122819427846,
17,17,3300,KOSPI,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업",지주사업,1969-11-20,12월,"허기호, 전근식(각자대표)",http://www.hanil.com,서울특별시,2019-11-14,402425627770.0,17551328897.0,102236587943.0,1054327518.0,9411134842.0,4.36,25.41,0.26,466248480637.0,53150779814.0,38595333800.0,41925662176.0,41925662176.0,11.4,8.28,8.99,144.0,178765333210.0,-5634352695.0,62789868620.0,357939742969.0,-8137982050.0,-3.15,35.12,200.23,339173329244.0,24406257942.0,46059186737.0,-14482753920.0,-35737489661.0,7.2,13.58,-4.27,49684.0,1186663442416.0,41120356161.0,126727442961.0,511738905731.0,17758.0,120069.0,59854.0,0.06,15.73,0.12,29.67,7.51,4.2,125.11390801775912,
136,136,17550,KOSPI,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,"김병현, 정석현(각자 대표이사)",http://www.soosan.co.kr,경기도,2019-11-12,38444355421.0,1217381786.0,5968221343.0,271345111.0,0.0,3.17,15.52,0.71,41709323790.0,3754065784.0,6431577284.0,1266804528.0,0.0,9.0,15.42,3.04,20.0,18559036347.0,-80053022.0,191195441.0,187475580.0,0.0,-0.43,1.03,1.01,25960074682.0,626841457.0,708562534.0,774042333.0,0.0,2.41,2.73,2.98,12.0,84621622393.0,423307815.0,2322929862.0,6651218858.0,123.0,3804.0,1833.0,0.27,3.25,0.53,6.72,3.6,6.59,107.1462909075793,
25,25,2410,KOSPI,범양건영,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",1988-05-25,12월,"강병주, 이동주 (각자대표)",http://www.iby.co.kr,부산광역시,2019-11-13,79797019868.0,4988793440.0,2535692647.0,4486958503.0,4486958503.0,6.25,3.18,5.62,67873841789.0,2521482192.0,3788136751.0,2154728094.0,2154728094.0,3.71,5.58,3.17,720.0,40939909011.0,1847205236.0,17501791119.0,1618224934.0,1618224934.0,4.51,42.75,3.95,31432994376.0,733204771.0,11054734411.0,594855369.0,594855369.0,2.33,35.17,1.89,260.0,155644035118.0,6811554223.0,22944431438.0,5426688440.0,218.0,4594.0,2019.0,6.97,4.59,15.67,10.82,1.7400000000000002,1.38,94.91254816067035,
15,15,15590,KOSPI,큐로,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",1989-05-27,12월,서상훈,http://www.curo.co.kr,울산광역시,2019-10-29,43192911302.0,4320435826.0,11925324173.0,7379174506.0,0.0,10.0,27.61,17.08,42283854869.0,8336046142.0,17053286696.0,600444018.0,0.0,19.71,40.33,1.42,124.0,22340590006.0,-2847056782.0,6659337528.0,-1420063019.0,0.0,-12.74,29.81,-6.36,24134076451.0,-1005522621.0,-8586193199.0,6034037518.0,0.0,-4.17,-35.58,25.0,-24.0,90218429966.0,-15447300496.0,3140947658.0,-16268117497.0,-70.0,704.0,301.0,6.68,-8.25,17.61,-23.37,22.74,23.880000000000003,93.3382748190612,
